sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,stopped_vehicles,controller_action
0,0,0,0,0,0,0,0.000,0,INIT
5,0,0,0,0,0,0,0.000,0,GLOBAL_NOOP
10,1,0,0,0,1,0,58.324,0,GLOBAL_NOOP
15,3,0,1,0,2,0,55.896,0,GLOBAL_NOOP
20,3,0,1,0,2,0,53.618,0,GLOBAL_NOOP
25,3,0,1,0,2,0,56.878,0,GLOBAL_NOOP
30,4,0,1,0,3,0,54.511,0,GLOBAL_NOOP
35,5,0,2,0,3,0,54.176,0,GLOBAL_NOOP
40,6,0,2,0,3,1,55.509,0,GLOBAL_NOOP
45,7,1,2,1,3,0,54.359,0,GLOBAL_NOOP
50,7,1,2,1,3,0,54.590,0,GLOBAL_NOOP
55,8,1,1,1,4,1,54.393,0,GLOBAL_NOOP
60,8,1,1,0,3,3,55.355,0,GLOBAL_NOOP
