sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,6,0,2,0,4,0,55.493395,56.477464,0,VISSIM_ADAPTER_PFO,ok,19.793662
5,24,0,9,0,15,0,57.899165,63.435723,0,VISSIM_ADAPTER_PFO,ok,19.793662
10,42,0,18,0,24,0,61.912501,73.501285,0,VISSIM_ADAPTER_PFO,ok,19.793662
15,66,0,23,0,43,0,65.487013,89.214886,0,VISSIM_ADAPTER_PFO,ok,19.793662
20,84,0,30,0,54,0,68.136706,96.200293,0,VISSIM_ADAPTER_PFO,ok,19.793662
25,109,0,40,0,68,1,69.027845,95.214343,0,VISSIM_ADAPTER_PFO,ok,19.793662
30,129,0,46,0,79,4,69.449448,96.612043,0,VISSIM_ADAPTER_PFO,ok,19.793662
35,146,1,53,1,86,5,69.209258,99.760466,3,VISSIM_ADAPTER_PFO,ok,19.793662
40,174,4,65,2,94,9,67.122058,99.533590,7,VISSIM_ADAPTER_PFO,ok,19.793662
45,196,9,73,4,101,9,65.145129,101.640298,18,VISSIM_ADAPTER_PFO,ok,19.793662
50,212,12,76,4,107,13,65.660198,105.076286,30,VISSIM_ADAPTER_PFO,ok,19.793662
55,231,16,79,6,113,17,64.095452,106.253043,36,VISSIM_ADAPTER_PFO,ok,19.793662
60,250,21,81,7,119,22,62.413300,107.135155,47,VISSIM_ADAPTER_PFO,ok,10.222481
65,269,24,82,6,123,34,64.941044,107.609885,32,VISSIM_ADAPTER_PFO,ok,10.222481
70,294,34,90,7,131,32,66.858650,105.808423,16,VISSIM_ADAPTER_PFO,ok,10.222481
75,312,46,96,4,132,34,68.982625,105.730077,12,VISSIM_ADAPTER_PFO,ok,10.222481
80,336,63,104,7,131,31,69.614558,105.320199,17,VISSIM_ADAPTER_PFO,ok,10.222481
85,357,78,109,8,133,29,68.408212,103.366938,28,VISSIM_ADAPTER_PFO,ok,10.222481
90,378,87,116,4,144,27,65.520848,99.882496,41,VISSIM_ADAPTER_PFO,ok,10.222481
95,397,94,116,5,156,26,64.011013,95.337897,51,VISSIM_ADAPTER_PFO,ok,10.222481
100,421,96,122,5,166,32,60.847782,89.703570,60,VISSIM_ADAPTER_PFO,ok,10.222481
105,435,99,127,9,172,28,57.700014,84.732460,80,VISSIM_ADAPTER_PFO,ok,10.222481
110,451,108,131,12,181,19,52.827593,79.167365,87,VISSIM_ADAPTER_PFO,ok,10.222481
115,461,98,131,9,183,40,48.932445,71.650684,79,VISSIM_ADAPTER_PFO,ok,10.222481
120,482,99,133,15,191,44,47.809413,68.685823,74,VISSIM_ADAPTER_PFO,ok,10.065056
125,503,106,133,17,203,44,47.026561,65.945815,66,VISSIM_ADAPTER_PFO,ok,10.065056
130,527,114,139,17,204,53,47.459094,64.417516,77,VISSIM_ADAPTER_PFO,ok,10.065056
135,551,134,146,25,205,41,48.097279,65.588195,89,VISSIM_ADAPTER_PFO,ok,10.065056
140,569,150,147,27,203,42,47.510267,63.717634,100,VISSIM_ADAPTER_PFO,ok,10.065056
145,591,160,157,29,206,39,47.147668,65.355246,115,VISSIM_ADAPTER_PFO,ok,10.065056
150,613,167,159,30,216,41,45.717681,64.419247,115,VISSIM_ADAPTER_PFO,ok,10.065056
155,635,172,168,36,215,44,44.919092,64.650453,130,VISSIM_ADAPTER_PFO,ok,10.065056
160,644,174,170,38,214,48,43.354214,62.366507,128,VISSIM_ADAPTER_PFO,ok,10.065056
165,644,172,165,36,210,61,42.258214,60.751686,136,VISSIM_ADAPTER_PFO,ok,10.065056
170,669,183,167,33,228,58,41.871163,59.729527,155,VISSIM_ADAPTER_PFO,ok,10.065056
175,677,186,168,35,231,57,41.872740,59.978356,158,VISSIM_ADAPTER_PFO,ok,10.065056
180,681,192,163,32,229,65,42.117792,60.509115,156,VISSIM_ADAPTER_PFO,ok,10.545091
185,689,205,164,31,233,56,42.442369,62.217413,132,VISSIM_ADAPTER_PFO,ok,10.545091
190,700,209,160,34,239,58,43.209178,65.464710,140,VISSIM_ADAPTER_PFO,ok,10.545091
195,710,219,159,29,247,56,43.951270,64.548028,148,VISSIM_ADAPTER_PFO,ok,10.545091
200,720,232,160,28,255,45,44.524717,66.635020,159,VISSIM_ADAPTER_PFO,ok,10.545091
205,720,251,161,15,246,47,43.861966,69.926255,187,VISSIM_ADAPTER_PFO,ok,10.545091
210,720,256,158,14,245,47,43.570780,73.968209,212,VISSIM_ADAPTER_PFO,ok,10.545091
215,716,262,149,14,255,36,41.565240,75.736850,241,VISSIM_ADAPTER_PFO,ok,10.545091
220,720,259,147,14,261,39,39.203863,75.986948,266,VISSIM_ADAPTER_PFO,ok,10.545091
225,716,264,140,12,262,38,37.430674,79.326314,287,VISSIM_ADAPTER_PFO,ok,10.545091
230,715,265,137,9,262,42,36.704181,82.697142,297,VISSIM_ADAPTER_PFO,ok,10.545091
235,710,267,131,1,262,49,36.743491,85.475861,288,VISSIM_ADAPTER_PFO,ok,10.545091
240,713,273,129,3,266,42,37.242873,87.106602,280,VISSIM_ADAPTER_PFO,ok,10.183989
245,721,260,123,10,264,64,39.373843,87.622524,218,VISSIM_ADAPTER_PFO,ok,10.183989
250,732,262,126,16,260,68,41.922489,88.394306,177,VISSIM_ADAPTER_PFO,ok,10.183989
255,741,271,127,22,262,59,42.721831,86.406708,161,VISSIM_ADAPTER_PFO,ok,10.183989
260,745,270,121,32,263,59,43.403616,84.373994,143,VISSIM_ADAPTER_PFO,ok,10.183989
265,756,270,120,37,262,67,43.609101,82.951269,141,VISSIM_ADAPTER_PFO,ok,10.183989
270,762,272,121,41,265,63,42.792655,81.100725,143,VISSIM_ADAPTER_PFO,ok,10.183989
275,772,269,123,41,272,67,41.634985,76.608853,158,VISSIM_ADAPTER_PFO,ok,10.183989
280,775,269,123,43,268,72,41.304767,75.991679,172,VISSIM_ADAPTER_PFO,ok,10.183989
285,768,278,121,44,245,80,40.821360,75.881562,184,VISSIM_ADAPTER_PFO,ok,10.183989
290,769,280,121,50,241,77,39.706739,73.649229,195,VISSIM_ADAPTER_PFO,ok,10.183989
295,771,289,121,56,236,69,38.612306,73.036455,200,VISSIM_ADAPTER_PFO,ok,10.183989
300,774,288,126,51,229,80,38.067465,70.856841,190,VISSIM_ADAPTER_PFO,ok,10.629295
305,778,297,133,49,224,75,38.532267,71.698735,187,VISSIM_ADAPTER_PFO,ok,10.629295
310,783,304,131,45,231,72,40.287662,72.344544,189,VISSIM_ADAPTER_PFO,ok,10.629295
315,794,312,134,44,236,68,41.899295,72.721380,175,VISSIM_ADAPTER_PFO,ok,10.629295
320,803,316,141,37,247,62,43.665376,76.564268,174,VISSIM_ADAPTER_PFO,ok,10.629295
325,803,322,141,33,256,51,43.569856,78.313589,190,VISSIM_ADAPTER_PFO,ok,10.629295
330,809,333,137,26,268,45,42.415634,79.679201,219,VISSIM_ADAPTER_PFO,ok,10.629295
335,823,332,141,13,285,52,41.380971,80.588006,247,VISSIM_ADAPTER_PFO,ok,10.629295
340,822,340,139,7,295,41,39.546817,82.303704,280,VISSIM_ADAPTER_PFO,ok,10.629295
345,827,340,135,4,307,41,37.820365,80.780756,311,VISSIM_ADAPTER_PFO,ok,10.629295
350,836,344,140,8,311,33,36.666227,82.435291,334,VISSIM_ADAPTER_PFO,ok,10.629295
355,833,334,140,10,307,42,35.252066,82.741032,344,VISSIM_ADAPTER_PFO,ok,10.629295
360,836,328,146,14,295,53,33.964842,81.922204,332,VISSIM_ADAPTER_PFO,ok,10.898306
365,840,327,150,21,284,58,34.397414,81.756497,303,VISSIM_ADAPTER_PFO,ok,10.898306
370,853,318,154,23,295,63,35.721297,79.585807,262,VISSIM_ADAPTER_PFO,ok,10.898306
375,860,318,152,27,293,70,36.792215,77.486856,245,VISSIM_ADAPTER_PFO,ok,10.898306
380,865,313,152,33,293,74,38.130301,75.403073,236,VISSIM_ADAPTER_PFO,ok,10.898306
385,883,312,152,39,298,82,39.911822,76.462329,220,VISSIM_ADAPTER_PFO,ok,10.898306
390,903,320,149,42,309,83,40.635554,76.279687,211,VISSIM_ADAPTER_PFO,ok,10.898306
395,906,330,146,48,308,74,41.268783,79.057013,225,VISSIM_ADAPTER_PFO,ok,10.898306
400,908,329,144,51,302,82,40.863069,80.923321,226,VISSIM_ADAPTER_PFO,ok,10.898306
405,906,339,140,55,297,75,40.595764,85.416109,219,VISSIM_ADAPTER_PFO,ok,10.898306
410,908,336,141,58,288,85,40.694163,88.655278,217,VISSIM_ADAPTER_PFO,ok,10.898306
415,900,345,135,61,279,80,40.206857,92.710701,216,VISSIM_ADAPTER_PFO,ok,10.898306
420,891,347,133,61,274,76,40.224278,95.643976,217,VISSIM_ADAPTER_PFO,ok,10.741583
425,885,346,138,56,269,76,40.371483,96.950392,220,VISSIM_ADAPTER_PFO,ok,10.741583
430,879,349,137,57,259,77,40.995225,98.273476,221,VISSIM_ADAPTER_PFO,ok,10.741583
435,882,355,135,51,263,78,41.151736,98.139822,219,VISSIM_ADAPTER_PFO,ok,10.741583
440,889,353,137,49,274,76,41.922034,96.693082,238,VISSIM_ADAPTER_PFO,ok,10.741583
445,883,362,132,37,277,75,41.606716,97.377589,259,VISSIM_ADAPTER_PFO,ok,10.741583
450,905,365,131,30,303,76,42.468177,99.158003,269,VISSIM_ADAPTER_PFO,ok,10.741583
455,917,376,133,23,318,67,41.811298,98.183638,286,VISSIM_ADAPTER_PFO,ok,10.741583
460,931,386,138,25,330,52,40.478380,96.313639,304,VISSIM_ADAPTER_PFO,ok,10.741583
465,928,388,131,18,336,55,38.721994,94.848979,332,VISSIM_ADAPTER_PFO,ok,10.741583
470,927,390,134,15,339,49,36.782635,90.683842,361,VISSIM_ADAPTER_PFO,ok,10.741583
475,928,398,134,16,339,41,35.240607,87.834570,382,VISSIM_ADAPTER_PFO,ok,10.741583
480,922,391,128,14,331,58,33.183067,84.603259,372,VISSIM_ADAPTER_PFO,ok,11.081603
485,916,395,132,16,320,53,32.975380,83.639040,363,VISSIM_ADAPTER_PFO,ok,11.081603
490,920,389,139,19,319,54,32.278632,77.006527,339,VISSIM_ADAPTER_PFO,ok,11.081603
495,937,376,143,24,330,64,33.275065,71.965251,316,VISSIM_ADAPTER_PFO,ok,11.081603
500,948,378,143,31,337,59,34.195301,70.326079,303,VISSIM_ADAPTER_PFO,ok,11.081603
505,952,375,144,37,333,63,34.816741,67.497118,295,VISSIM_ADAPTER_PFO,ok,11.081603
510,961,380,146,45,337,53,34.938702,64.059638,295,VISSIM_ADAPTER_PFO,ok,11.081603
515,969,384,153,48,329,55,34.505060,63.377703,289,VISSIM_ADAPTER_PFO,ok,11.081603
520,972,387,156,48,323,58,34.124134,62.632675,283,VISSIM_ADAPTER_PFO,ok,11.081603
525,978,387,155,53,322,61,34.131408,62.039848,293,VISSIM_ADAPTER_PFO,ok,11.081603
530,983,392,154,57,320,60,34.315159,64.424767,300,VISSIM_ADAPTER_PFO,ok,11.081603
535,977,391,151,56,298,81,34.495140,64.767156,302,VISSIM_ADAPTER_PFO,ok,11.081603
540,969,405,149,53,280,82,34.013836,65.251668,309,VISSIM_ADAPTER_PFO,ok,10.890288
545,957,409,151,52,260,85,34.251484,67.302089,316,VISSIM_ADAPTER_PFO,ok,10.890288
550,967,406,152,54,271,84,34.829961,68.795735,302,VISSIM_ADAPTER_PFO,ok,10.890288
555,969,404,154,43,279,89,34.548995,69.604511,273,VISSIM_ADAPTER_PFO,ok,10.890288
560,966,399,153,35,280,99,36.010186,73.225854,252,VISSIM_ADAPTER_PFO,ok,10.890288
565,971,412,156,34,288,81,38.031688,76.909320,252,VISSIM_ADAPTER_PFO,ok,10.890288
570,980,412,160,31,297,80,39.041506,78.332464,265,VISSIM_ADAPTER_PFO,ok,10.890288
575,985,418,164,26,304,73,38.939047,77.677932,281,VISSIM_ADAPTER_PFO,ok,10.890288
