sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,6,0,1,0,5,0,54.713706,55.611930,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
5,27,0,8,0,19,0,57.256110,63.063146,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
10,61,0,16,0,45,0,58.593308,75.734163,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
15,85,0,21,0,64,0,61.609500,88.912748,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
20,107,0,27,0,80,0,63.663073,97.496270,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
25,135,0,31,0,99,5,64.211259,94.085888,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
30,157,0,30,0,118,9,64.044147,101.968051,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
35,179,1,32,2,130,14,60.715082,101.474716,5,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
40,208,4,39,6,144,15,56.507033,101.536699,17,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
45,234,12,41,9,158,14,54.126536,101.862313,27,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
50,266,16,49,14,170,17,51.999745,100.062903,42,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
55,292,24,50,18,184,16,50.458134,101.488909,57,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.567662
60,326,27,53,21,207,18,48.870367,103.190591,71,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
65,365,30,59,16,229,31,48.084778,98.566413,62,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
70,397,34,63,10,239,51,49.413057,98.496284,60,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
75,429,49,68,6,254,52,51.670578,101.673852,66,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
80,471,63,73,11,277,47,52.279484,102.552159,74,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
85,504,77,75,18,287,47,51.652282,102.049803,88,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
90,536,88,77,26,298,47,49.904499,101.708069,110,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
95,562,101,76,27,309,49,48.179539,100.552598,125,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
100,588,108,80,28,321,51,46.339409,99.752230,133,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
105,613,118,79,29,328,59,44.954210,98.365006,151,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
110,650,125,87,27,351,60,45.360610,100.274052,166,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
115,677,129,89,25,360,74,45.059905,99.968169,172,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.4917
120,697,145,83,32,373,64,43.994685,102.843586,193,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
125,714,153,81,33,383,64,40.847894,104.850954,196,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
130,739,157,82,45,390,65,38.229288,103.560331,206,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
135,766,159,86,58,400,63,36.205841,103.595894,216,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
140,789,165,87,67,405,65,33.890764,101.635300,242,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
145,814,173,96,76,405,64,32.338842,100.773784,277,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
150,829,181,94,85,404,65,30.267784,99.404013,303,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
155,856,192,99,92,411,62,29.481737,99.602626,343,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
160,885,200,96,103,427,59,29.291413,100.898080,362,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
165,911,205,98,113,436,59,28.160367,100.027353,396,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
170,928,211,84,120,445,68,26.190395,103.681771,432,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
175,943,218,75,122,449,79,24.929821,103.516166,466,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.450479
180,956,224,73,125,451,83,23.939881,103.540285,498,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
185,978,222,71,126,461,98,24.267190,100.682994,490,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
190,1005,217,76,133,476,103,24.618860,100.338797,458,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
195,1033,222,83,129,493,106,25.312053,98.152185,462,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
200,1073,237,89,124,519,104,26.566020,96.060833,461,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
205,1093,255,86,119,524,109,26.939409,98.080805,472,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
210,1110,272,82,108,525,123,26.981410,96.847083,487,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
215,1133,285,80,97,543,128,26.677403,94.502206,488,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
220,1153,304,76,85,560,128,26.222222,88.474441,508,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
225,1181,311,77,85,580,128,26.226259,84.571574,527,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
230,1199,324,86,85,585,119,25.480047,82.616038,537,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
235,1213,333,90,81,593,116,24.311461,80.921458,572,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.628915
240,1233,334,91,83,608,117,22.767075,79.596550,589,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
245,1247,344,99,83,604,117,21.362511,75.968014,599,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
250,1252,355,102,86,599,110,19.266585,71.620591,603,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
255,1264,357,104,95,595,113,17.539291,68.859323,645,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
260,1284,362,110,101,597,114,17.211912,68.272077,630,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
265,1301,369,111,105,599,117,16.864852,67.333496,670,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
270,1317,376,108,113,603,117,16.926599,71.568287,674,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
275,1325,379,105,119,605,117,16.586843,74.076617,705,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
280,1347,384,106,125,615,117,16.490935,75.102936,723,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
285,1374,392,111,132,626,113,16.301027,74.473682,749,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
290,1395,399,109,138,635,114,16.171497,77.057050,774,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.509067
