sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,6,0,1,0,5,0,54.713706,55.611930,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
5,27,0,8,0,19,0,57.256110,63.063146,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
10,61,0,16,0,45,0,58.593308,75.734163,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
15,85,0,21,0,64,0,61.609500,88.912748,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
20,107,0,27,0,80,0,63.651389,97.457908,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
25,135,0,34,0,99,2,64.366842,97.948579,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
30,157,0,35,0,118,4,64.172570,106.598334,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
35,179,1,41,0,129,8,61.465528,107.477535,4,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
40,208,5,45,2,144,12,57.854814,105.689343,17,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
45,234,10,51,4,159,10,55.662591,106.178339,28,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
50,266,16,59,5,172,14,54.369822,104.470690,37,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
55,292,24,63,8,188,9,54.228278,107.336034,49,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.351067
60,326,27,66,10,210,13,53.066932,109.916417,60,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
65,365,33,76,8,230,18,51.680925,105.672372,60,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
70,397,38,82,4,244,29,52.418519,105.190586,56,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
75,427,51,89,1,258,28,53.710380,107.637279,55,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
80,469,63,94,3,281,28,53.923212,109.244572,58,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
85,500,73,98,6,291,32,52.567015,109.212589,80,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
90,524,82,102,6,300,34,50.934689,108.421582,95,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
95,554,95,103,9,319,28,49.997324,110.188469,114,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
100,583,101,107,7,332,36,50.207476,110.184657,124,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
105,601,115,110,8,336,32,48.329751,107.765614,142,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
110,635,129,113,4,352,37,46.881793,106.950349,168,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
115,658,141,120,8,356,33,44.905254,106.524356,196,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.943943
120,678,153,119,13,368,25,42.424504,107.068268,220,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
125,696,156,113,12,384,31,39.630761,104.845344,218,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
130,720,144,114,12,390,60,40.113993,103.230450,209,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
135,744,155,114,17,391,67,41.429031,104.235944,197,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
140,764,163,119,25,391,66,42.210986,103.920848,195,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
145,786,184,123,30,397,52,42.740140,104.182058,193,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
150,805,194,127,36,395,53,42.738673,105.431014,205,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
155,831,206,126,37,401,61,43.108704,105.586301,207,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
160,851,223,121,42,414,51,42.548813,107.248480,218,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
165,874,231,128,47,417,51,42.154860,107.671059,228,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
170,880,236,118,49,417,60,40.308682,109.891321,246,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
175,884,246,116,51,404,67,39.469295,107.443897,272,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.955816
180,895,262,115,53,405,60,38.910085,105.563889,287,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
185,903,258,109,56,413,67,36.815399,102.575597,281,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
190,925,259,110,57,432,67,36.362021,101.130788,281,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
195,946,250,117,47,447,85,37.810811,101.388486,271,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
200,978,256,127,44,478,73,38.773011,101.014729,281,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
205,990,266,125,44,495,60,38.455960,103.640880,296,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
210,1006,268,126,39,514,59,38.229700,103.306032,326,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
215,1024,273,124,32,528,67,37.698148,103.097205,359,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
220,1031,282,119,27,545,58,36.677540,101.904604,376,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
225,1047,282,123,21,568,53,36.503691,100.610661,394,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
230,1053,293,128,20,570,42,35.363351,97.933455,412,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
235,1064,298,131,14,573,48,34.168621,97.532163,442,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.119768
240,1072,312,129,7,580,44,32.207875,97.250439,469,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
245,1079,322,132,9,572,44,29.690767,92.029456,468,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
250,1073,323,126,11,560,53,28.333149,87.299875,448,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
255,1080,304,128,20,556,72,27.935502,82.913569,431,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
260,1094,306,131,26,560,71,29.359485,83.110758,411,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
265,1105,310,135,29,567,64,30.416251,83.020499,370,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
270,1122,320,131,29,571,71,31.121158,83.279535,380,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
275,1134,327,127,28,571,81,31.583001,83.958856,380,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
280,1152,338,125,33,579,77,32.152821,83.895439,390,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
285,1168,333,122,40,586,87,33.050244,82.617789,378,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
290,1178,328,119,46,600,85,33.307196,85.545311,381,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
295,1186,326,121,59,604,76,32.479476,87.253971,384,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.463742
300,1195,337,127,58,600,73,31.493593,86.811189,406,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.248241
