sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,5,0,1,0,4,0,55.123474,55.611930,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
5,25,0,8,0,17,0,57.607054,63.063146,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
10,47,0,16,0,31,0,61.024268,75.734163,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
15,77,0,21,0,56,0,62.695696,88.912748,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
20,98,0,27,0,71,0,64.473399,97.457908,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
25,127,0,34,0,91,2,65.365248,97.948579,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
30,146,0,35,0,107,4,65.427653,106.598334,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
35,167,1,41,0,119,6,64.108028,107.477535,3,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
40,195,6,45,3,131,10,61.499656,105.689343,10,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
45,216,11,51,5,136,13,58.609242,106.178339,17,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
50,239,18,59,7,142,13,57.336716,104.470690,27,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
55,259,27,63,8,148,13,56.277068,107.336034,38,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.549074
60,283,31,66,11,160,15,53.364345,109.916417,47,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
65,313,36,76,9,173,19,51.806370,105.672372,46,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
70,340,41,82,7,182,28,53.551874,105.190586,36,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
75,369,52,89,1,192,35,56.410683,107.637279,32,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
80,387,66,94,3,189,35,58.482558,109.244572,34,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
85,412,81,98,6,191,36,59.322577,109.212589,45,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
90,434,92,103,4,201,34,58.610794,107.449190,58,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
95,456,98,105,9,217,27,58.058882,108.142832,72,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
100,482,103,109,7,233,30,56.521014,108.873740,84,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
105,498,110,111,9,241,27,54.554062,108.545666,105,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
110,513,117,116,5,247,28,52.920080,106.183859,110,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
115,536,118,122,9,260,27,50.864367,105.909282,142,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.135341
120,549,121,120,14,270,24,47.911213,106.631985,162,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
125,562,126,116,12,283,25,44.789498,104.805293,170,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
130,574,108,115,14,278,59,45.583995,103.640296,139,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
135,595,112,114,16,281,72,48.472444,104.512673,125,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
140,608,130,118,20,274,66,49.733869,104.630970,106,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
145,638,142,122,32,286,56,50.620799,103.056666,117,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
150,655,156,127,37,282,53,50.957692,104.129049,132,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
155,675,175,127,40,281,52,49.945104,103.287672,148,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
160,685,195,125,43,278,44,48.570424,104.971052,163,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
165,706,204,131,47,283,41,47.158470,105.653877,178,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
170,710,207,124,47,283,49,44.939860,108.528034,202,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.121855
