case_id,tuning_name,demand_profile,returncode,timed_out,elapsed_sec,sim_period_sec,urban_volume_vph,freeway_volume_vph,rand_seed,state_csv,action_csv,state_rows,completed_sim_sec,vehicle_hours_total,vehicle_hours_freeway,vehicle_hours_urban,stopped_vehicle_hours,mean_total_vehicles,mean_freeway_vehicles,mean_urban_vehicles,mean_speed_kph,freeway_mean_speed_kph,mean_stopped_vehicles,final_total_vehicles,final_urban_vehicles,final_freeway_vehicles,controller_fallback_rows,mean_decision_wall_sec,max_decision_wall_sec,controller_statuses,analysis_time_h,decision_count,vsl_mean_abs_step_kph,ramp_green_abs_step_sec,signal_green_abs_step_sec,mean_vsl_kph,mean_ramp_green_sec,mean_signal_green_sec,primary_rank_key
mpc_00_calibrated_base_d_ramp_bias_u2200_fw3000_seed13_300s,00_calibrated_base,d_ramp_bias,0,False,82.808,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_d_ramp_bias_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_d_ramp_bias_u2200_fw3000_seed13_300s\actions.csv,61,300.0,64.32638888888889,5.954166666666667,15.541666666666666,27.565277777777776,945.204081632653,87.48979591836735,228.3673469387755,30.851984755102038,92.28884465306123,405.0408163265306,1443.0,416.0,112.0,0,4.332560655737705,4.628915,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,71.21770833333333
mpc_00_calibrated_base_f_ramp_bias_u2200_fw3000_seed13_300s,00_calibrated_base,f_ramp_bias,0,False,76.302,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_f_ramp_bias_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_f_ramp_bias_u2200_fw3000_seed13_300s\actions.csv,61,300.0,65.6875,5.993055555555555,17.630555555555556,27.630555555555556,965.204081632653,88.06122448979592,259.0612244897959,30.80777173469388,93.42808848979591,406.0,1502.0,487.0,112.0,0,3.6943570655737705,3.794207,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,72.59513888888888
mpc_00_calibrated_base_fw_eb_heavy_u2200_fw3000_seed13_300s,00_calibrated_base,fw_eb_heavy,0,False,77.943,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_fw_eb_heavy_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_fw_eb_heavy_u2200_fw3000_seed13_300s\actions.csv,61,300.0,58.8,8.897222222222222,14.623611111111112,18.836111111111112,864.0,130.73469387755102,214.87755102040816,36.90807855102041,76.90875548979592,276.7755102040816,1207.0,327.0,143.0,0,4.030619180327869,4.48518,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,63.509027777777774
mpc_00_calibrated_base_fw_wb_heavy_u2200_fw3000_seed13_300s,00_calibrated_base,fw_wb_heavy,0,False,78.184,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_fw_wb_heavy_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_fw_wb_heavy_u2200_fw3000_seed13_300s\actions.csv,61,300.0,58.52638888888889,8.834722222222222,14.594444444444445,18.680555555555557,859.9795918367347,129.81632653061226,214.44897959183675,36.83730479591837,79.51087322448979,274.48979591836735,1202.0,331.0,144.0,0,4.062991229508197,4.560666,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,63.196527777777774
mpc_00_calibrated_base_sym_u2200_fw3000_seed13_300s,00_calibrated_base,sym,0,False,75.941,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_sym_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_sym_u2200_fw3000_seed13_300s\actions.csv,61,300.0,58.40555555555556,7.923611111111111,14.822222222222223,18.219444444444445,858.204081632653,116.42857142857143,217.79591836734693,39.92654220408163,100.12957144897959,267.7142857142857,1195.0,337.0,127.0,0,3.774758573770492,4.248241,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,62.96041666666667
mpc_00_calibrated_base_urban_d_heavy_u2200_fw3000_seed13_300s,00_calibrated_base,urban_d_heavy,0,False,76.575,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_d_heavy_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_d_heavy_u2200_fw3000_seed13_300s\actions.csv,61,300.0,45.13611111111111,7.894444444444445,12.720833333333333,11.425,663.2244897959183,116.0,186.91836734693877,46.42698993877551,100.15449863265306,167.87755102040816,852.0,284.0,124.0,0,3.976314573770492,4.146485,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,47.992361111111116
mpc_00_calibrated_base_urban_east_heavy_u2200_fw3000_seed13_300s,00_calibrated_base,urban_east_heavy,0,False,77.288,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_east_heavy_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_east_heavy_u2200_fw3000_seed13_300s\actions.csv,61,300.0,51.875,7.981944444444444,13.959722222222222,16.09722222222222,762.2448979591836,117.28571428571429,205.12244897959184,42.43439742857143,99.83619279591838,236.53061224489795,998.0,322.0,126.0,0,4.013797131147541,4.44547,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,55.89930555555556
mpc_00_calibrated_base_urban_f_heavy_u2200_fw3000_seed13_300s,00_calibrated_base,urban_f_heavy,0,False,77.695,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_f_heavy_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_f_heavy_u2200_fw3000_seed13_300s\actions.csv,61,300.0,46.36944444444445,7.9319444444444445,13.125,11.994444444444444,681.3469387755102,116.55102040816327,192.85714285714286,45.92836679591837,99.8602466122449,176.24489795918367,881.0,307.0,123.0,0,4.004567081967213,4.461491,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,49.36805555555556
mpc_00_calibrated_base_urban_north_heavy_u2200_fw3000_seed13_300s,00_calibrated_base,urban_north_heavy,0,False,78.269,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_north_heavy_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_north_heavy_u2200_fw3000_seed13_300s\actions.csv,61,300.0,52.01111111111111,7.875,12.305555555555555,16.593055555555555,764.2448979591836,115.71428571428571,180.81632653061226,39.22670614285714,100.19885234693878,243.81632653061226,913.0,273.0,125.0,0,3.9596217213114753,4.535277,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,56.159375000000004
mpc_00_calibrated_base_urban_west_heavy_u2200_fw3000_seed13_300s,00_calibrated_base,urban_west_heavy,0,False,76.435,300.0,2200.0,3000.0,13,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_west_heavy_u2200_fw3000_seed13_300s\state.csv,evaluation\runs\mpc_asym_all_300s_20260627\mpc_00_calibrated_base_urban_west_heavy_u2200_fw3000_seed13_300s\actions.csv,61,300.0,50.50833333333333,7.879166666666666,13.705555555555556,14.995833333333334,742.1632653061224,115.77551020408163,201.3877551020408,42.16287265306122,100.31909804081633,220.3469387755102,949.0,296.0,123.0,0,3.9889199344262294,4.5608,ok,0.06805555555555555,6,0.0,0.0,0.0,120.0,10.0,57.0,54.25729166666667
