case_id,tuning_name,demand_profile,returncode,elapsed_sec,timed_out,timeout_reason,case_timeout_sec,startup_timeout_sec,first_progress_sec,last_progress_sec,progress_marker_count,sim_period_sec,urban_volume_vph,freeway_volume_vph,control_interval_sec,rand_seed,tuning_json,state_csv,action_csv,decision_dir,stdout,stderr
mpc_00_calibrated_base_d_ramp_bias_u2600_fw3400_seed13_300s,00_calibrated_base,d_ramp_bias,0,73.543,False,,540.0,,,,,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\00_calibrated_base.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_d_ramp_bias_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_d_ramp_bias_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_d_ramp_bias_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_d_ramp_bias_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_d_ramp_bias_u2600_fw3400_seed13_300s\stderr.txt
mpc_00_calibrated_base_sym_u2600_fw3400_seed13_300s,00_calibrated_base,sym,0,80.133,False,,540.0,,,,,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\00_calibrated_base.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_sym_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_sym_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_sym_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_sym_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_sym_u2600_fw3400_seed13_300s\stderr.txt
mpc_00_calibrated_base_urban_d_heavy_u2600_fw3400_seed13_300s,00_calibrated_base,urban_d_heavy,0,71.472,False,,540.0,,,,,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\00_calibrated_base.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_urban_d_heavy_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_urban_d_heavy_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_urban_d_heavy_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_urban_d_heavy_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_00_calibrated_base_urban_d_heavy_u2600_fw3400_seed13_300s\stderr.txt
mpc_04_smooth_low_d_ramp_bias_u2600_fw3400_seed13_300s,04_smooth_low,d_ramp_bias,0,75.646,False,,540.0,,,,,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\04_smooth_low.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_d_ramp_bias_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_d_ramp_bias_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_d_ramp_bias_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_d_ramp_bias_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_d_ramp_bias_u2600_fw3400_seed13_300s\stderr.txt
mpc_04_smooth_low_sym_u2600_fw3400_seed13_300s,04_smooth_low,sym,0,71.832,False,,540.0,,,,,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\04_smooth_low.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_sym_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_sym_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_sym_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_sym_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_sym_u2600_fw3400_seed13_300s\stderr.txt
mpc_04_smooth_low_urban_d_heavy_u2600_fw3400_seed13_300s,04_smooth_low,urban_d_heavy,0,72.179,False,,900.0,60.0,26.087,71.677,85,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\04_smooth_low.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_urban_d_heavy_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_urban_d_heavy_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_urban_d_heavy_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_urban_d_heavy_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_04_smooth_low_urban_d_heavy_u2600_fw3400_seed13_300s\stderr.txt
mpc_05_activation_early_d_ramp_bias_u2600_fw3400_seed13_300s,05_activation_early,d_ramp_bias,0,75.711,False,,900.0,60.0,27.609,75.21,89,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\05_activation_early.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_d_ramp_bias_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_d_ramp_bias_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_d_ramp_bias_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_d_ramp_bias_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_d_ramp_bias_u2600_fw3400_seed13_300s\stderr.txt
mpc_05_activation_early_sym_u2600_fw3400_seed13_300s,05_activation_early,sym,0,73.564,False,,540.0,,,,,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\05_activation_early.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_sym_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_sym_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_sym_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_sym_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_sym_u2600_fw3400_seed13_300s\stderr.txt
mpc_05_activation_early_urban_d_heavy_u2600_fw3400_seed13_300s,05_activation_early,urban_d_heavy,0,72.176,False,,900.0,60.0,0.017,71.675,144,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\05_activation_early.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_urban_d_heavy_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_urban_d_heavy_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_urban_d_heavy_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_urban_d_heavy_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_05_activation_early_urban_d_heavy_u2600_fw3400_seed13_300s\stderr.txt
mpc_07_boundary_queue_priority_d_ramp_bias_u2600_fw3400_seed13_300s,07_boundary_queue_priority,d_ramp_bias,0,74.716,False,,900.0,60.0,27.614,74.215,88,300,2600.0,3400.0,60,13,evaluation\configs\mpc_tuning\07_boundary_queue_priority.json,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_07_boundary_queue_priority_d_ramp_bias_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_07_boundary_queue_priority_d_ramp_bias_u2600_fw3400_seed13_300s\actions.csv,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_07_boundary_queue_priority_d_ramp_bias_u2600_fw3400_seed13_300s\decisions,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_07_boundary_queue_priority_d_ramp_bias_u2600_fw3400_seed13_300s\stdout.txt,evaluation\runs\mpc_tuning_physical_300s_20260628\mpc_07_boundary_queue_priority_d_ramp_bias_u2600_fw3400_seed13_300s\stderr.txt
