sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,7,0,1,0,6,0,54.644834,55.611930,0,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
5,30,0,9,0,21,0,57.003140,62.757569,0,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
10,65,0,16,0,49,0,58.654858,77.719340,0,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
15,99,0,24,0,75,0,60.754900,87.972739,0,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
20,125,0,31,0,94,0,62.703270,95.108040,0,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
25,154,0,34,0,116,4,63.268953,97.054741,0,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
30,179,0,34,0,135,10,63.025144,100.863572,0,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
35,208,1,37,1,153,16,59.633596,101.898243,4,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
40,240,5,42,6,168,19,56.829043,100.888377,20,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
45,280,13,51,11,189,16,54.016072,99.187120,30,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
50,315,18,53,16,208,20,51.561376,100.262201,47,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
55,358,26,58,22,237,15,49.710604,99.525281,64,VISSIM_ADAPTER_STACKELBERG,ok,3.321532
60,397,29,66,16,259,27,48.434732,96.336205,80,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
65,438,39,75,11,286,27,47.058776,93.976789,102,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
70,483,46,77,11,319,30,47.032932,95.262033,122,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
75,521,50,83,12,341,35,46.069543,93.631528,146,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
80,558,55,88,14,366,35,43.255583,91.615619,167,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
85,591,60,89,17,389,36,39.914069,85.148593,203,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
90,624,65,92,22,409,36,37.216098,83.316116,231,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
95,663,66,96,25,433,43,35.589777,79.076070,258,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
100,694,64,104,26,448,52,34.784896,75.578257,280,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
105,729,75,106,29,473,46,34.400352,71.909796,287,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
110,758,84,104,32,487,51,33.428957,66.295182,314,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
115,788,96,107,34,500,51,32.307097,59.826665,326,VISSIM_ADAPTER_STACKELBERG,ok,3.123367
120,803,109,110,38,509,37,29.249139,54.232565,327,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
125,830,111,118,43,515,43,26.837864,52.071989,348,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
130,853,115,123,50,523,42,25.459547,52.924379,358,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
135,889,123,122,55,537,52,23.944923,52.115060,400,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
140,919,131,128,59,550,51,22.859577,55.127655,419,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
145,945,136,129,67,559,54,22.285590,56.649244,452,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
150,959,141,128,77,558,55,21.655738,58.504541,459,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
155,983,148,129,81,568,57,22.000310,59.437990,472,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
160,1014,159,127,87,583,58,22.002421,62.318971,490,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
165,1042,172,126,87,595,62,22.523633,62.342888,505,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
170,1079,175,132,87,614,71,22.764401,62.823681,494,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
175,1108,185,133,84,628,78,22.722618,63.323918,509,VISSIM_ADAPTER_STACKELBERG,ok,3.035814
180,1137,188,138,79,646,86,22.913561,64.026454,529,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
185,1164,197,134,80,664,89,22.862806,60.061083,555,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
190,1191,199,133,85,683,91,22.780570,59.185160,576,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
195,1210,210,134,83,692,91,21.768906,53.919974,606,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
200,1226,222,141,81,702,80,20.549164,51.290882,623,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
205,1247,228,146,79,712,82,20.213601,51.060275,656,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
210,1259,237,149,79,712,82,19.966766,49.316630,648,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
215,1276,237,148,79,723,89,19.210668,45.430027,678,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
220,1288,239,146,82,728,93,18.918779,45.108873,666,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
225,1305,247,145,78,741,94,19.347099,46.799631,691,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
230,1311,267,142,78,741,83,18.863118,45.533679,702,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
235,1326,277,141,74,740,94,19.298284,47.151298,727,VISSIM_ADAPTER_STACKELBERG,ok,3.011517
240,1335,292,141,78,742,82,18.400889,50.182659,719,VISSIM_ADAPTER_STACKELBERG,ok,3.0554
245,1348,296,139,86,748,79,17.721815,52.996967,760,VISSIM_ADAPTER_STACKELBERG,ok,3.0554
250,1366,297,138,90,757,84,17.168209,56.152714,773,VISSIM_ADAPTER_STACKELBERG,ok,3.0554
255,1383,297,140,100,758,88,17.037283,58.356368,804,VISSIM_ADAPTER_STACKELBERG,ok,3.0554
260,1396,299,135,108,763,91,16.450181,57.245919,818,VISSIM_ADAPTER_STACKELBERG,ok,3.0554
265,1423,305,141,111,769,97,15.832716,57.185771,841,VISSIM_ADAPTER_STACKELBERG,ok,3.0554
270,1443,303,139,114,775,112,15.237943,55.788252,873,VISSIM_ADAPTER_STACKELBERG,ok,3.0554
275,1465,317,143,126,780,99,14.353082,54.780548,889,VISSIM_ADAPTER_STACKELBERG,ok,3.0554
