sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,7,0,1,0,6,0,54.644834,55.611930,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
5,26,0,5,0,21,0,56.899615,66.822785,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
10,63,0,14,0,49,0,57.304125,74.364538,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
15,92,0,17,0,75,0,59.233763,90.948052,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
20,117,0,23,0,94,0,60.829393,96.981231,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
25,143,0,26,0,116,1,61.360370,103.100473,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
30,169,0,31,0,135,3,59.927870,101.228197,0,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
35,196,1,34,1,153,7,57.109093,105.352293,3,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
40,223,5,37,2,168,11,54.586672,109.702934,16,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
45,257,13,39,4,191,10,51.526534,108.426782,31,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
50,291,20,45,4,209,13,50.163714,107.161878,45,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
55,329,25,47,7,237,13,49.769696,107.571845,62,STACKELBERG_MPC_VISSIM_ADAPTER,ok,3.639272
60,362,33,52,8,252,17,48.143499,108.376159,71,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
65,398,42,56,7,278,15,46.643348,109.152220,68,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
70,438,45,59,5,303,26,46.629313,110.874207,77,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
75,468,57,63,3,323,22,45.476015,112.239178,85,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
80,510,66,71,3,341,29,44.777118,107.222299,111,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
85,543,81,74,4,353,31,43.671331,109.183871,142,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
90,574,95,80,5,367,27,42.733355,107.556253,153,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
95,604,100,81,8,390,25,40.715132,109.749184,179,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
100,629,111,84,8,399,27,39.674161,109.001371,192,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
105,662,117,90,5,422,28,38.937669,108.330897,215,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
110,685,127,91,5,437,25,36.335831,105.754650,253,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
115,707,131,87,8,451,30,35.463455,107.820952,278,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.490595
120,729,144,93,13,452,27,33.789376,106.387652,299,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.460431
125,748,159,89,6,475,19,30.532417,102.871028,323,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.460431
130,769,140,93,9,474,53,31.396680,99.423652,290,STACKELBERG_MPC_VISSIM_ADAPTER,ok,4.460431
