candidate,internal_storage_fraction,offramp_storage_fraction,scenario_id,case_dir,state_json,action_json,sim_sec,status,metric,predicted,observed,error,abs_error,metadata_internal_storage_fraction,metadata_offramp_storage_fraction
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000001.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000001.json,1,ok,total_model_vehicles,0.0,0.0,0.0,0.0,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000001.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000001.json,1,ok,protected_accumulation_veh,0.0,0.0,0.0,0.0,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000001.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000001.json,1,ok,urban_queue_plus_link_occupancy_total_veh,0.0,0.0,0.0,0.0,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000001.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000001.json,1,ok,urban_link_occupancy_total_veh,0.0,0.0,0.0,0.0,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000001.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000001.json,1,ok,urban_movement_queue_total_veh,0.0,0.0,0.0,0.0,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000001.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000001.json,1,ok,freeway_total_veh,0.0,0.0,0.0,0.0,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000060.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000060.json,60,ok,total_model_vehicles,318.0880581283634,317.99999710012224,-0.08806102824115669,0.08806102824115669,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000060.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000060.json,60,ok,protected_accumulation_veh,95.24356267622846,31.525000000000006,-63.71856267622846,63.71856267622846,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000060.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000060.json,60,ok,urban_queue_plus_link_occupancy_total_veh,257.32964356622335,252.0,-5.3296435662233534,5.3296435662233534,0.35,0.5
int035_off050,0.35,0.5,ramp_d_bias,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s,evaluation\runs\prediction_holdout_v2_profiled_no_control_20260629\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\state_000060.json,evaluation\runs\observation_split_grid_20260629\int035_off050\no-control_ramp_d_bias_u2200_fw3000_seed47_300s\decisions\action_000060.json,60,ok,urban_link_occupancy_total_veh,96.53250592367966,18.200000000000003,-78.33250592367966,78.33250592367966,0.35,0.5
