scope,candidate,scenario_id,internal_storage_fraction,offramp_storage_fraction,metric,n,mean_abs_error
overall,int035_off050,,0.35,0.5,freeway_total_veh,18,14.413885594718817
overall,int035_off050,,0.35,0.5,protected_accumulation_veh,18,50.55902224207938
overall,int035_off050,,0.35,0.5,total_model_vehicles,18,42.36677832045683
overall,int035_off050,,0.35,0.5,urban_link_occupancy_total_veh,18,110.68143831579471
overall,int035_off050,,0.35,0.5,urban_movement_queue_total_veh,18,105.74336419753088
overall,int035_off050,,0.35,0.5,urban_queue_plus_link_occupancy_total_veh,18,50.77234909310867
overall,int070_off010,,0.7,0.1,freeway_total_veh,18,14.334503650628346
overall,int070_off010,,0.7,0.1,protected_accumulation_veh,18,48.142552453055075
overall,int070_off010,,0.7,0.1,total_model_vehicles,18,46.13780750223085
overall,int070_off010,,0.7,0.1,urban_link_occupancy_total_veh,18,79.17768683847137
overall,int070_off010,,0.7,0.1,urban_movement_queue_total_veh,18,74.26651234567902
overall,int070_off010,,0.7,0.1,urban_queue_plus_link_occupancy_total_veh,18,51.73219816679571
overall,int070_off020,,0.7,0.2,freeway_total_veh,18,14.336306079230237
overall,int070_off020,,0.7,0.2,protected_accumulation_veh,18,48.627137710076546
overall,int070_off020,,0.7,0.2,total_model_vehicles,18,46.06223685642217
overall,int070_off020,,0.7,0.2,urban_link_occupancy_total_veh,18,77.88318696050115
overall,int070_off020,,0.7,0.2,urban_movement_queue_total_veh,18,73.78132716049383
overall,int070_off020,,0.7,0.2,urban_queue_plus_link_occupancy_total_veh,18,51.802470113937844
overall,int070_off030,,0.7,0.3,freeway_total_veh,18,14.338846618898247
overall,int070_off030,,0.7,0.3,protected_accumulation_veh,18,49.32505437674322
overall,int070_off030,,0.7,0.3,total_model_vehicles,18,45.97990935086658
overall,int070_off030,,0.7,0.3,urban_link_occupancy_total_veh,18,76.55324341552738
overall,int070_off030,,0.7,0.3,urban_movement_queue_total_veh,18,73.72114197530865
overall,int070_off030,,0.7,0.3,urban_queue_plus_link_occupancy_total_veh,18,51.88045162123399
overall,int070_off035,,0.7,0.35,freeway_total_veh,18,14.340391099173
overall,int070_off035,,0.7,0.35,protected_accumulation_veh,18,49.664984932298765
overall,int070_off035,,0.7,0.35,total_model_vehicles,18,45.93004587487001
overall,int070_off035,,0.7,0.35,urban_link_occupancy_total_veh,18,75.90562268059975
overall,int070_off035,,0.7,0.35,urban_movement_queue_total_veh,18,73.88503086419755
overall,int070_off035,,0.7,0.35,urban_queue_plus_link_occupancy_total_veh,18,51.92857465232899
overall,int070_off040,,0.7,0.4,freeway_total_veh,18,14.342116690738633
overall,int070_off040,,0.7,0.4,protected_accumulation_veh,18,50.00491548785434
overall,int070_off040,,0.7,0.4,total_model_vehicles,18,45.88039932921237
overall,int070_off040,,0.7,0.4,urban_link_occupancy_total_veh,18,75.25799526506148
overall,int070_off040,,0.7,0.4,urban_movement_queue_total_veh,18,74.04891975308642
overall,int070_off040,,0.7,0.4,urban_queue_plus_link_occupancy_total_veh,18,51.976691269020456
overall,int070_off050,,0.7,0.5,freeway_total_veh,18,14.346105169493189
overall,int070_off050,,0.7,0.5,protected_accumulation_veh,18,51.12317066227739
overall,int070_off050,,0.7,0.5,total_model_vehicles,18,45.78175072888329
overall,int070_off050,,0.7,0.5,urban_link_occupancy_total_veh,18,73.96272052025675
overall,int070_off050,,0.7,0.5,urban_movement_queue_total_veh,18,74.37669753086422
overall,int070_off050,,0.7,0.5,urban_queue_plus_link_occupancy_total_veh,18,52.07290538839197
overall,int075_off010,,0.75,0.1,freeway_total_veh,18,14.33203193755326
overall,int075_off010,,0.75,0.1,protected_accumulation_veh,18,48.467095560571465
overall,int075_off010,,0.75,0.1,total_model_vehicles,18,46.721690191006864
overall,int075_off010,,0.75,0.1,urban_link_occupancy_total_veh,18,74.2203740293987
overall,int075_off010,,0.75,0.1,urban_movement_queue_total_veh,18,69.9786265432099
overall,int075_off010,,0.75,0.1,urban_queue_plus_link_occupancy_total_veh,18,52.105067121270544
overall,int075_off020,,0.75,0.2,freeway_total_veh,18,14.333834550580683
overall,int075_off020,,0.75,0.2,protected_accumulation_veh,18,48.8474878397983
overall,int075_off020,,0.75,0.2,total_model_vehicles,18,46.646119362533824
overall,int075_off020,,0.75,0.2,urban_link_occupancy_total_veh,18,72.92587415318967
overall,int075_off020,,0.75,0.2,urban_movement_queue_total_veh,18,70.1832561728395
overall,int075_off020,,0.75,0.2,urban_queue_plus_link_occupancy_total_veh,18,52.17533907019611
overall,int075_off030,,0.75,0.3,freeway_total_veh,18,14.336375313800549
overall,int075_off030,,0.75,0.3,protected_accumulation_veh,18,49.54540450646497
overall,int075_off030,,0.75,0.3,total_model_vehicles,18,46.563791636209324
overall,int075_off030,,0.75,0.3,urban_link_occupancy_total_veh,18,71.59593061099878
overall,int075_off030,,0.75,0.3,urban_movement_queue_total_veh,18,70.45825617283951
overall,int075_off030,,0.75,0.3,urban_queue_plus_link_occupancy_total_veh,18,52.253320580310344
overall,int075_off035,,0.75,0.35,freeway_total_veh,18,14.337919920478392
overall,int075_off035,,0.75,0.35,protected_accumulation_veh,18,49.885335062020516
overall,int075_off035,,0.75,0.35,total_model_vehicles,18,46.51392803558275
overall,int075_off035,,0.75,0.35,urban_link_occupancy_total_veh,18,70.9483098778443
overall,int075_off035,,0.75,0.35,urban_movement_queue_total_veh,18,70.62214506172842
overall,int075_off035,,0.75,0.35,urban_queue_plus_link_occupancy_total_veh,18,52.301443613200924
overall,int075_off040,,0.75,0.4,freeway_total_veh,18,14.339645648171576
overall,int075_off040,,0.75,0.4,protected_accumulation_veh,18,50.22526561757609
overall,int075_off040,,0.75,0.4,total_model_vehicles,18,46.464281355824184
overall,int075_off040,,0.75,0.4,urban_link_occupancy_total_veh,18,70.30068246433264
overall,int075_off040,,0.75,0.4,urban_movement_queue_total_veh,18,70.78603395061728
overall,int075_off040,,0.75,0.4,urban_queue_plus_link_occupancy_total_veh,18,52.349560231944636
overall,int075_off050,,0.75,0.5,freeway_total_veh,18,14.343634428265041
overall,int075_off050,,0.75,0.5,protected_accumulation_veh,18,51.28453785523102
overall,int075_off050,,0.75,0.5,total_model_vehicles,18,46.36563245896646
overall,int075_off050,,0.75,0.5,urban_link_occupancy_total_veh,18,69.0054077243382
overall,int075_off050,,0.75,0.5,urban_movement_queue_total_veh,18,71.11381172839508
overall,int075_off050,,0.75,0.5,urban_queue_plus_link_occupancy_total_veh,18,52.44577435618727
overall,int080_off010,,0.8,0.1,freeway_total_veh,18,14.367413013289726
overall,int080_off010,,0.8,0.1,protected_accumulation_veh,18,48.60831114020059
overall,int080_off010,,0.8,0.1,total_model_vehicles,18,47.333304755582596
overall,int080_off010,,0.8,0.1,urban_link_occupancy_total_veh,18,68.9949858443877
overall,int080_off010,,0.8,0.1,urban_movement_queue_total_veh,18,67.66543209876544
overall,int080_off010,,0.8,0.1,urban_queue_plus_link_occupancy_total_veh,18,52.341188421879764
overall,int080_off020,,0.8,0.2,freeway_total_veh,18,14.369215810569777
overall,int080_off020,,0.8,0.2,protected_accumulation_veh,18,48.884498633275726
overall,int080_off020,,0.8,0.2,total_model_vehicles,18,47.257733744622236
overall,int080_off020,,0.8,0.2,urban_link_occupancy_total_veh,18,67.70048596994397
overall,int080_off020,,0.8,0.2,urban_movement_queue_total_veh,18,67.61265432098766
overall,int080_off020,,0.8,0.2,urban_queue_plus_link_occupancy_total_veh,18,52.41146037259303
overall,int080_off030,,0.8,0.3,freeway_total_veh,18,14.371756797117403
overall,int080_off030,,0.8,0.3,protected_accumulation_veh,18,49.58241529994238
overall,int080_off030,,0.8,0.3,total_model_vehicles,18,47.175405797757904
overall,int080_off030,,0.8,0.3,urban_link_occupancy_total_veh,18,66.37054243054101
overall,int080_off030,,0.8,0.3,urban_movement_queue_total_veh,18,67.5320987654321
overall,int080_off030,,0.8,0.3,urban_queue_plus_link_occupancy_total_veh,18,52.48944188553044
overall,int080_off035,,0.8,0.35,freeway_total_veh,18,14.373301530067152
overall,int080_off035,,0.8,0.35,protected_accumulation_veh,18,49.92234585549795
overall,int080_off035,,0.8,0.35,total_model_vehicles,18,47.12554207263537
overall,int080_off035,,0.8,0.35,urban_link_occupancy_total_veh,18,65.72292169916244
overall,int080_off035,,0.8,0.35,urban_movement_queue_total_veh,18,67.51820987654322
overall,int080_off035,,0.8,0.35,urban_queue_plus_link_occupancy_total_veh,18,52.53756492021935
overall,int080_off040,,0.8,0.4,freeway_total_veh,18,14.375027393743974
overall,int080_off040,,0.8,0.4,protected_accumulation_veh,18,50.262276411053506
overall,int080_off040,,0.8,0.4,total_model_vehicles,18,47.07589525892273
overall,int080_off040,,0.8,0.4,urban_link_occupancy_total_veh,18,65.07529428768042
overall,int080_off040,,0.8,0.4,urban_movement_queue_total_veh,18,67.50432098765431
