# 2026-08-18. boundary_extra_legs_20260814.csv 에서 **중복 게이트 15건**을 뺀 것.
# 같은 VISSIM 링크가 정렬표(유입 이름의 진행방향 접미사 NB->S)와 이 표(기하)에서
# 서로 다른 이름을 받아 게이트가 둘로 계상됐다. 정방위 쪽(정렬표)을 남긴다 —
# 유입 이름은 실제 통행방향이고 기하는 교차로 회전각(9~80도)에 흔들린다.
# 신호군 이름과 대조하면 겹치는 7건 전부 정방위 쪽과 일치한다.
model_node,leg,status,veh,inflow_veh_h,source_links,note
SC1004,SE,mapped,1384,849,66,상류 종단에 vehicleInput 있음 — 자동 확정
SC1005,SW,mapped,226,1400,69,상류 종단에 vehicleInput 있음 — 자동 확정
SC5,SE,mapped,165,168,256,상류 종단에 vehicleInput 있음 — 자동 확정
SC1004,SW,mapped,163,1400,69,상류 종단에 vehicleInput 있음 — 자동 확정
SC11,SW,mapped,29,168,236 247 242 240,상류 종단에 vehicleInput 있음 — 자동 확정
SC10,SE,mapped,19,420,138,상류 종단에 vehicleInput 있음 — 자동 확정
SC7,NE,mapped,17,84,201 197,상류 종단에 vehicleInput 있음 — 자동 확정
SC1,NE,mapped,16,168,236 249 242 251,상류 종단에 vehicleInput 있음 — 자동 확정
SC12,W,mapped,14,126,217 225 224,상류 종단에 vehicleInput 있음 — 자동 확정
SC108,SW,mapped,14,404,379,상류 종단에 vehicleInput 있음 — 자동 확정
SC11,NE,mapped,12,126,217 225 224,상류 종단에 vehicleInput 있음 — 자동 확정
SC15,NE,mapped,9,294,341,상류 종단에 vehicleInput 있음 — 자동 확정
SC15,SW,mapped,9,294,343,상류 종단에 vehicleInput 있음 — 자동 확정
SC16,SE,mapped,7,252,164,상류 종단에 vehicleInput 있음 — 자동 확정
SC16,SW,mapped,5,84,201 197,상류 종단에 vehicleInput 있음 — 자동 확정
