sim_sec,model_link,direction,segment_index,segment_id,physical_link,count,stopped_count,mean_speed_kph,length_km,lanes,density_veh_km_lane,flow_vph
900.0,FW_E,E,0,RW_FW_E_S0,2,159.0,0.0,63.519579,1.346639,4.0,29.517933,7499.866708440828
900.0,FW_E,E,1,RW_FW_E_S1,2,104.0,0.0,87.699536,1.346639,4.0,19.307327,6772.974477201088
900.0,FW_E,E,2,RW_FW_E_S2,2,186.0,11.0,45.287896,1.346639,4.0,34.530412,6255.238829972608
900.0,FW_E,E,3,RW_FW_E_S3,2,218.0,24.0,28.160588,1.346639,4.0,40.471128,4558.763046013056
900.0,FW_E,E,4,RW_FW_E_S4,2,58.0,0.0,109.418104,1.346639,4.0,10.767548,4712.658747555968
900.0,FW_E,E,5,RW_FW_E_S5,2,55.0,1.0,88.920474,1.346639,4.0,10.210606,3631.727701388976
900.0,FW_E,E,6,RW_FW_E_S6,2,42.0,0.0,101.074771,1.346639,4.0,7.79719,3152.39677477396
900.0,FW_E,E,7,RW_FW_E_S7,2,32.0,0.0,120.425949,1.346639,4.0,5.940716,2861.665448157936
900.0,FW_W,W,0,RW_FW_W_S0,26,139.0,0.0,70.875687,1.347212,4.0,25.79401,7312.67271693948
900.0,FW_W,W,1,RW_FW_W_S1,26,230.0,27.0,39.318201,1.347212,4.0,42.680736,6712.519027503745
900.0,FW_W,W,2,RW_FW_W_S2,26,210.0,29.0,32.910871,1.347212,4.0,38.969368,5130.063372798112
900.0,FW_W,W,3,RW_FW_W_S3,26,67.0,0.0,106.956388,1.347212,4.0,12.433084,5319.191025362368
900.0,FW_W,W,4,RW_FW_W_S4,26,114.0,3.0,80.11983,1.347212,4.0,21.1548,6779.675918736
900.0,FW_W,W,5,RW_FW_W_S5,26,61.0,0.0,92.890973,1.347212,4.0,11.319674,4205.982127611208
900.0,FW_W,W,6,RW_FW_W_S6,26,52.0,0.0,113.276339,1.347212,4.0,9.649558,4372.266412832648
900.0,FW_W,W,7,RW_FW_W_S7,26,42.0,0.0,117.298942,1.347212,4.0,7.793874,3656.8526971252318
960.0,FW_E,E,0,RW_FW_E_S0,2,152.0,3.0,55.304759,1.346639,4.0,28.218402,6242.4476879004715
960.0,FW_E,E,1,RW_FW_E_S1,2,122.0,1.0,88.130337,1.346639,4.0,22.64898,7984.24896042504
960.0,FW_E,E,2,RW_FW_E_S2,2,214.0,18.0,40.797402,1.346639,4.0,39.728539,6483.284705822712
960.0,FW_E,E,3,RW_FW_E_S3,2,188.0,7.0,39.787979,1.346639,4.0,34.901707,5554.673540720612
960.0,FW_E,E,4,RW_FW_E_S4,2,75.0,0.0,98.951216,1.346639,4.0,13.923553,5511.010001561792
960.0,FW_E,E,5,RW_FW_E_S5,2,65.0,1.0,70.680067,1.346639,4.0,12.06708,3411.60809157744
960.0,FW_E,E,6,RW_FW_E_S6,2,38.0,0.0,110.828214,1.346639,4.0,7.0546,3127.3948739376
960.0,FW_E,E,7,RW_FW_E_S7,2,42.0,0.0,119.825538,1.346639,4.0,7.79719,3737.2099465528795
960.0,FW_W,W,0,RW_FW_W_S0,26,139.0,0.0,72.150837,1.347212,4.0,25.79401,7444.23764434548
960.0,FW_W,W,1,RW_FW_W_S1,26,270.0,38.0,27.706451,1.347212,4.0,50.103473,5552.7576784172925
960.0,FW_W,W,2,RW_FW_W_S2,26,202.0,25.0,34.885452,1.347212,4.0,37.484821,5230.699694896368
960.0,FW_W,W,3,RW_FW_W_S3,26,65.0,0.0,112.625483,1.347212,4.0,12.061947,5433.9304271816045
960.0,FW_W,W,4,RW_FW_W_S4,26,96.0,6.0,61.722978,1.347212,4.0,17.814568,4398.272754974017
960.0,FW_W,W,5,RW_FW_W_S5,26,83.0,0.0,81.543786,1.347212,4.0,15.402179,5023.807953238776
960.0,FW_W,W,6,RW_FW_W_S6,26,47.0,0.0,110.268061,1.347212,4.0,8.721716,3846.9068476507045
960.0,FW_W,W,7,RW_FW_W_S7,26,34.0,0.0,118.763672,1.347212,4.0,6.309326,2997.274894420288
1020.0,FW_E,E,0,RW_FW_E_S0,2,146.0,1.0,70.287997,1.346639,4.0,27.104517,7620.488838329797
1020.0,FW_E,E,1,RW_FW_E_S1,2,125.0,1.0,83.027008,1.346639,4.0,23.205922,7706.873086165504
1020.0,FW_E,E,2,RW_FW_E_S2,2,239.0,23.0,36.857644,1.346639,4.0,44.369723,6541.453818850448
1020.0,FW_E,E,3,RW_FW_E_S3,2,193.0,10.0,36.366606,1.346639,4.0,35.829944,5212.053825800255
1020.0,FW_E,E,4,RW_FW_E_S4,2,62.0,0.0,101.351785,1.346639,4.0,11.510137,4666.291722178181
1020.0,FW_E,E,5,RW_FW_E_S5,2,80.0,5.0,67.775976,1.346639,4.0,14.85179,4026.37825038816
1020.0,FW_E,E,6,RW_FW_E_S6,2,46.0,0.0,112.311643,1.346639,4.0,8.539779,3836.466441387588
1020.0,FW_E,E,7,RW_FW_E_S7,2,37.0,0.0,117.922638,1.346639,4.0,6.868953,3240.0202322320565
1020.0,FW_W,W,0,RW_FW_W_S0,26,147.0,1.0,64.588157,1.347212,4.0,27.278557,7047.486888997795
1020.0,FW_W,W,1,RW_FW_W_S1,26,282.0,44.0,27.659023,1.347212,4.0,52.330294,5789.619221371048
1020.0,FW_W,W,2,RW_FW_W_S2,26,228.0,21.0,29.670626,1.347212,4.0,42.309599,5021.409152555895
1020.0,FW_W,W,3,RW_FW_W_S3,26,50.0,0.0,112.116647,1.347212,4.0,9.278421,4161.061807897548
