model_link,density_bin_center_veh_km_lane,n,flow_mean_vph,flow_p85_vph,speed_mean_kph,count_mean_veh
FW_E,3.0,4,1574.668138793464,1804.4857029392979,118.2355685,18.0
FW_E,5.0,20,2290.8028390267864,2596.6850736175916,113.28235305,27.25
FW_E,7.0,48,3238.0877513967644,3641.481385897092,113.35874445833333,38.479166666666664
FW_E,9.0,61,3909.6021411731545,4267.115438454272,109.40131568852459,48.21311475409836
FW_E,11.0,47,4284.896376156718,4822.666759438048,98.61924308510639,58.659574468085104
FW_E,13.0,37,4720.477346652428,5690.178458204131,91.36562229729729,69.5945945945946
FW_E,15.0,10,5132.008986120027,5740.225421557329,87.9576713,78.8
FW_E,17.0,10,4659.596743918255,5037.023581883094,68.792978,90.9
FW_E,19.0,6,5035.177868774837,5841.85572543803,67.06137933333333,101.0
FW_E,23.0,5,6646.0968682514185,7289.933755324148,70.9784178,126.0
FW_E,25.0,5,7047.603847329588,7374.735048108954,70.7266088,134.4
FW_E,27.0,4,5620.849267352213,7915.371629613572,52.0156775,145.5
FW_E,29.0,13,5668.441860333528,7366.094691427578,49.45977353846154,154.76923076923077
FW_E,31.0,9,5124.766247536221,6812.406899487243,41.09061988888889,167.88888888888889
FW_E,33.0,11,5146.6813035887935,6159.299276311248,39.11213709090909,177.1818181818182
FW_E,35.0,10,4785.3779955838345,5676.12277898502,34.1440231,188.9
FW_E,37.0,9,5480.254662531848,5773.708211789549,36.42739244444444,202.66666666666666
FW_E,39.0,8,4930.477750873623,5510.528245430016,31.8950215,208.375
FW_E,41.0,6,5939.030380023309,6639.576688168216,36.288070499999996,220.33333333333334
FW_E,43.0,4,5867.341598095424,6751.580372554732,34.46837225,229.75
FW_E,45.0,3,5784.389784282067,6033.13715542409,31.984346666666667,243.66666666666666
FW_E,47.0,5,5932.906983893922,6649.1297929038155,31.450669,254.2
FW_E,49.0,10,5775.044915512846,6256.38032283939,29.3277864,265.2
FW_E,51.0,10,5908.857674303582,6053.798230196198,29.007869,274.4
FW_E,53.0,14,5770.059616945287,6033.630379154181,27.194027214285715,285.85714285714283
FW_E,55.0,15,5832.772050840192,6021.166701000501,26.7053418,294.2
FW_E,57.0,15,5475.741736923461,5704.933806023945,24.081717266666665,306.2
FW_E,59.0,12,5346.305562869874,5655.176506637971,22.7526205,316.4166666666667
FW_E,61.0,5,5284.257134521507,5431.816707177197,21.6889556,328.2
FW_E,63.0,5,5056.362275128815,5234.480835906967,20.0118286,340.4
FW_E,65.0,11,4942.305149192015,5078.3524489924675,19.021300363636364,349.90909090909093
FW_E,67.0,3,4803.299572157536,4979.254378430616,17.806291,363.3333333333333
FW_E,69.0,7,4769.9193568967385,4952.165073156483,17.208139285714285,373.2857142857143
FW_E,71.0,12,4670.291231898054,4781.251596525157,16.436139666666666,382.6666666666667
FW_E,73.0,16,4517.737784334124,4688.757846140654,15.50147175,392.5
FW_E,75.0,10,4333.51648882443,4535.325479073049,14.4577665,403.6
FW_E,77.0,6,4308.21463001274,4395.018718467525,13.974554333333334,415.1666666666667
FW_E,79.0,2,4271.083225541648,4318.436617833538,13.5651115,424.0
FW_W,5.0,2,2700.988139874134,2713.0619680104746,117.4788275,31.0
FW_W,7.0,23,3283.7774957623355,3588.0004763036277,114.84533726086957,38.56521739130435
FW_W,9.0,55,3996.5032505850077,4396.743246398105,110.85317170909092,48.61818181818182
FW_W,11.0,57,4659.90708371684,5067.2713708529245,105.90053559649122,59.36842105263158
FW_W,13.0,63,5179.951783136532,5749.557646339483,100.07893847619047,69.7936507936508
FW_W,15.0,39,5331.8944996972405,6266.152016499369,88.52742435897436,81.1025641025641
FW_W,17.0,28,5118.420766117149,5777.405798041685,76.04057432142856,90.64285714285714
FW_W,19.0,23,4877.249339174939,5636.574965623888,64.08123495652174,102.56521739130434
FW_W,21.0,10,5453.232975700702,6481.214765276252,64.3449031,114.4
FW_W,23.0,6,6485.810195449869,7246.769309232606,71.050301,123.0
FW_W,25.0,2,4660.822674649192,5342.91746896477,47.788582,131.5
FW_W,27.0,3,5759.53769225248,6333.594653155207,54.184915333333336,143.0
FW_W,31.0,1,6779.553006759552,6779.553006759552,53.101716,172.0
FW_W,33.0,2,6434.92656410207,7100.954193781167,48.0489065,180.5
FW_W,35.0,3,6188.7776754163715,6558.469402213555,43.42876566666666,192.0
FW_W,37.0,15,5966.4103595239785,6444.1534615441005,40.404853466666665,199.06666666666666
FW_W,39.0,15,5544.36128297051,5972.202504903732,35.45834446666667,210.73333333333332
FW_W,41.0,16,5471.589142776063,6089.236470173868,33.482117625,220.1875
FW_W,43.0,10,5372.895866175017,6149.171017749793,31.2345464,231.9
FW_W,45.0,9,5528.474237552706,6375.2027297741415,30.88759911111111,241.11111111111111
FW_W,47.0,12,5820.033931970001,6540.69776653024,31.073951916666665,252.41666666666666
FW_W,49.0,11,6130.603547766382,6456.4148409409645,31.301134545454545,264.0
FW_W,51.0,13,5971.964489276162,6211.596287999947,29.32029053846154,274.46153846153845
FW_W,53.0,13,5944.605585571601,6304.778164787146,28.001841923076924,286.0769230769231
FW_W,55.0,13,5749.952874248251,6084.507242052704,26.080906923076924,297.0769230769231
FW_W,57.0,17,5615.378095200494,5956.174475941916,24.691993647058823,306.4117647058824
FW_W,59.0,14,5477.183093325827,5765.781371540537,23.194391500000002,318.14285714285717
FW_W,61.0,5,5229.229309964213,5508.351167275007,21.5999552,326.2
FW_W,63.0,2,4946.38393887743,4995.318052314846,19.456874499999998,342.5
FW_W,65.0,4,4909.645372712252,5211.4466337575395,18.94731875,349.25
FW_W,67.0,2,4721.594108158903,4753.922979646975,17.596366500000002,361.5
