model_link,density_bin_center_veh_km_lane,n,flow_mean_vph,flow_p85_vph,speed_mean_kph,count_mean_veh
FW_E,5.0,4,2569.2375316928133,2712.999131982588,115.23120375,30.0
FW_E,7.0,23,3261.1237044960135,3641.6640691725397,113.21014956521739,38.78260869565217
FW_E,9.0,44,3942.4912139604853,4281.095443823841,110.12759754545455,48.25
FW_E,11.0,56,4537.453262357409,5034.288814009696,103.13173485714286,59.339285714285715
FW_E,13.0,64,5206.5884031529395,5768.776473414892,100.926487546875,69.5
FW_E,15.0,29,5424.472983674312,6205.887306929554,91.054124,80.34482758620689
FW_E,17.0,28,6130.44760000661,7116.0022398618385,90.36090885714286,91.28571428571429
FW_E,19.0,29,6321.592483941309,7594.750618025439,83.46480596551724,101.93103448275862
FW_E,21.0,20,6532.709990557633,7283.224716334657,79.1509594,111.3
FW_E,23.0,32,6054.270478848345,7370.059915925464,65.43495265625,124.625
FW_E,25.0,27,6128.995403657161,7230.335284258219,61.258265370370374,134.88888888888889
FW_E,27.0,22,6099.588029348904,7270.7314752310185,56.6673955,144.86363636363637
FW_E,29.0,15,6780.48910944504,7633.439359572074,58.9264682,155.26666666666668
FW_E,31.0,9,6580.45728719795,7394.680070582843,53.33444522222222,166.22222222222223
FW_E,33.0,1,7413.613260938152,7413.613260938152,56.403733,177.0
FW_E,35.0,1,6627.901440950639,6627.901440950639,47.729361,187.0
FW_E,37.0,2,6955.000102066364,7064.085719777232,47.780854,196.0
FW_E,39.0,1,6283.5791929473835,6283.5791929473835,39.540714,214.0
FW_E,41.0,1,6303.454689294167,6303.454689294167,38.409402,221.0
FW_E,43.0,2,6439.794394041515,6492.904126040978,37.540448999999995,231.0
FW_E,45.0,1,6763.87707304464,6763.87707304464,37.329921,244.0
FW_E,49.0,2,5559.2427767142235,5730.084770613034,28.301318000000002,264.5
FW_E,51.0,1,6062.140430481324,6062.140430481324,29.365161,278.0
FW_E,53.0,3,5482.67912032552,5676.648124786401,26.063931666666665,283.3333333333333
FW_E,55.0,1,4997.919131459396,4997.919131459396,22.360109,301.0
FW_E,57.0,8,5494.371091209042,5753.360119702653,24.222006375,305.625
FW_E,59.0,13,5337.15359366225,5634.743602909971,22.55399023076923,318.6923076923077
FW_E,61.0,13,5157.958955936983,5303.756297800088,21.073371153846153,329.61538461538464
FW_E,63.0,24,5166.626357741942,5415.640147769001,20.519441125,339.0833333333333
FW_E,65.0,7,5009.091025890932,5128.3816725537745,19.416863,347.42857142857144
FW_E,67.0,3,4916.698145534084,5117.2913724925575,18.427769333333334,359.3333333333333
FW_E,69.0,1,4910.90930213328,4910.90930213328,17.970712,368.0
FW_E,71.0,1,4661.541990749775,4661.541990749775,16.606916,378.0
FW_W,5.0,5,2622.923019573413,2727.884115807693,115.5173874,30.6
FW_W,7.0,8,3313.129085001391,3518.6009015393556,113.599567,39.375
FW_W,9.0,11,4123.052275982216,4422.206619511153,111.93964718181817,49.63636363636363
FW_W,11.0,37,4707.370403120571,5152.63903074792,108.16469651351352,58.67567567567568
FW_W,13.0,56,5311.465967419728,5776.25660067694,101.54765389285714,70.57142857142857
FW_W,15.0,57,5988.196352530536,6573.343821351615,99.21762889473685,81.3157894736842
FW_W,17.0,53,6281.926415006531,6950.163500368864,93.05933966037736,90.9622641509434
FW_W,19.0,36,6266.680002617977,7229.791359194973,83.59091502777778,101.19444444444444
FW_W,21.0,34,6426.202710276913,7118.280627457885,76.87296179411764,112.70588235294117
FW_W,23.0,30,5927.992182319409,6604.934930135253,64.5747584,123.66666666666667
FW_W,25.0,35,6533.4622294483,7128.644690645747,64.87524642857143,135.74285714285713
FW_W,27.0,28,6907.484654791161,7475.190172678203,64.14073175,145.10714285714286
FW_W,29.0,30,6904.008748721364,7438.27171514365,59.93246896666667,155.2
FW_W,31.0,19,7033.1997840540735,7573.027548766394,56.83945389473684,166.78947368421052
FW_W,33.0,14,6922.435195169968,7450.250660141623,52.18898728571428,178.71428571428572
FW_W,35.0,21,6745.099882877355,7241.209449121665,48.35898461904762,187.95238095238096
FW_W,37.0,5,6482.027464719171,7013.080998409663,43.7774016,199.4
FW_W,39.0,6,6276.457475969191,7005.740022888984,40.28096216666667,210.16666666666666
FW_W,43.0,1,4927.847436639039,4927.847436639039,28.371176,234.0
FW_W,47.0,1,4910.298028636175,4910.298028636175,26.355428,251.0
FW_W,49.0,1,4390.3414179804195,4390.3414179804195,22.661765,261.0
