model_link,density_bin_center_veh_km_lane,n,flow_mean_vph,flow_p85_vph,speed_mean_kph,count_mean_veh
FW_E,7.0,27,3230.8658143068083,3548.541184311251,113.12481370370371,38.51851851851852
FW_E,9.0,48,3956.566557225456,4290.772275862136,110.7916086875,48.083333333333336
FW_E,11.0,60,4477.304324170338,4974.714380155756,103.61623251666667,58.25
FW_E,13.0,50,5281.58013105644,5777.062009719348,101.57995958,70.04
FW_E,15.0,39,5450.405830481429,6288.273319743136,91.49544325641025,80.2051282051282
FW_E,17.0,25,5872.449752051041,6299.936280649354,87.4179184,90.56
FW_E,19.0,19,6041.0465096506505,6723.647084842978,78.73393652631579,103.42105263157895
FW_E,21.0,10,6442.990693236419,6976.970491178479,75.45395930000001,114.9
FW_E,23.0,26,6347.968020361175,7714.443301358337,68.17013876923077,125.61538461538461
FW_E,25.0,33,6154.342343046743,7394.807019642667,61.07807060606061,135.75757575757575
FW_E,27.0,23,6661.241891124363,7577.843631137468,61.48364326086956,145.82608695652175
FW_E,29.0,22,6504.178660472341,7147.330050255411,56.227523636363635,155.5909090909091
FW_E,31.0,24,6972.662095103613,7557.207371930345,56.617237583333335,165.91666666666666
FW_E,33.0,7,7019.238675960459,7213.132435488087,53.677842285714284,176.14285714285714
FW_E,35.0,3,7216.270625355178,7575.312215774462,51.761164666666666,187.66666666666666
FW_E,37.0,3,6376.9877828119625,6645.863655363622,43.387252000000004,198.0
FW_E,39.0,2,6210.466887364742,6326.351531656048,39.9156395,209.5
FW_E,41.0,2,6239.77661903751,6825.177595344043,37.7326555,222.5
FW_E,43.0,1,6465.4538300234635,6465.4538300234635,37.049499,235.0
FW_E,47.0,1,6110.987110104121,6110.987110104121,32.917174,250.0
FW_E,49.0,1,6635.2443458948965,6635.2443458948965,33.845753,264.0
FW_E,51.0,2,5301.8937479031265,5317.619048339584,26.018769499999998,274.5
FW_E,53.0,2,5549.220093118746,5579.886066886934,26.228409499999998,285.0
FW_E,55.0,5,5466.571668109959,5712.763561687739,24.7563606,297.4
FW_E,57.0,16,5293.7544377262575,5562.62490522342,23.1380091875,308.1875
FW_E,59.0,15,5317.490435718969,5621.5007430394535,22.541032933333334,317.73333333333335
FW_E,61.0,12,5147.3092647386575,5363.934787881101,21.090205,328.75
FW_E,63.0,10,5098.686223419452,5238.433418464997,20.2455433,339.2
FW_W,7.0,6,3127.1870826797012,3255.392222282048,111.14920733333334,38.0
FW_W,9.0,25,4066.2252765984117,4386.046670086131,112.28584032,48.8
FW_W,11.0,39,4766.731737291304,5201.071574171382,108.3177343076923,59.30769230769231
FW_W,13.0,39,5378.45915491329,5827.846150680331,103.73068602564102,69.8974358974359
FW_W,15.0,55,5864.648425535335,6509.553355241619,97.65766227272726,80.98181818181818
FW_W,17.0,70,6209.492627636133,6925.720674815229,91.79028788571429,91.22857142857143
FW_W,19.0,34,6386.802888815309,7147.423382540134,85.78064882352942,100.41176470588235
FW_W,21.0,36,6255.185121160506,7447.841391197586,74.88184547222222,112.63888888888889
FW_W,23.0,34,6528.04988462373,7292.673108750225,70.61973570588235,124.52941176470588
FW_W,25.0,35,7079.2757888284705,7483.300960012595,70.93843534285715,134.4857142857143
FW_W,27.0,33,6947.361296663252,7603.720684873142,64.34206584848485,145.5151515151515
FW_W,29.0,50,6924.749756897802,7379.915565035712,59.94666112,155.66
FW_W,31.0,17,6861.210987356519,7344.961458181949,55.585331352941175,166.47058823529412
FW_W,33.0,11,6819.926989129024,7080.188147552855,51.45517345454545,178.63636363636363
FW_W,35.0,4,6927.04077131462,7083.832533143545,50.51615325,184.75
