model_link,density_bin_center_veh_km_lane,n,flow_mean_vph,flow_p85_vph,speed_mean_kph,count_mean_veh
FW_E,5.0,1,2741.069079697984,2741.069079697984,115.350956,32.0
FW_E,7.0,24,3306.9572367170153,3674.54034756156,113.57746570833334,39.166666666666664
FW_E,9.0,28,3882.2876084507957,4249.529925226494,107.54405957142858,48.57142857142857
FW_E,11.0,54,4608.535537639059,5097.52860807903,104.54052146296296,59.425925925925924
FW_E,13.0,62,5198.591925699075,5797.226684903497,100.74553317741936,69.59677419354838
FW_E,15.0,48,5855.140138165029,6707.860438596452,96.8141621875,81.45833333333333
FW_E,17.0,42,6308.979602861683,7297.258568660748,92.92446597619048,91.54761904761905
FW_E,19.0,29,6149.415571387475,7259.29503482795,80.84455413793104,102.58620689655173
FW_E,21.0,31,6472.950238518061,7361.820216032547,77.23987796774193,112.93548387096774
FW_E,23.0,19,5913.669697168616,7022.420069670054,63.78903278947368,124.84210526315789
FW_E,25.0,26,5886.577010553943,7315.3098642970635,58.35454811538462,135.80769230769232
FW_E,27.0,23,6224.814008006706,7314.04772558193,57.68736056521739,145.34782608695653
FW_E,29.0,15,6423.303731311511,7432.033044705548,55.8811262,154.66666666666666
FW_E,31.0,5,6940.004175640749,7441.849554091776,56.6556122,165.0
FW_E,33.0,5,6772.62424767975,7282.965268678782,51.3245702,178.0
FW_E,35.0,4,6534.624907216437,6884.20047930723,47.6468265,184.75
FW_E,39.0,2,6242.117067708132,6308.633837694683,39.648404,212.0
FW_E,43.0,2,6772.755499850218,6825.3968815289745,39.059606,233.5
FW_E,47.0,3,5982.272145586532,6384.558537165176,32.198053333333334,250.33333333333334
FW_E,49.0,2,6126.10845621159,6169.78858841158,30.901681500000002,267.0
FW_E,51.0,7,5978.584996263992,6130.725533626387,29.117276999999998,276.57142857142856
FW_E,53.0,9,5700.657253217496,5950.007130534608,26.80970611111111,286.3333333333333
FW_E,55.0,8,5529.8590882314875,5974.170594762263,25.02514125,297.875
FW_E,57.0,10,5541.085400547623,5736.946698960512,24.3423156,306.6
FW_E,59.0,12,5234.751448097944,5612.63327287185,22.155643333333334,318.25
FW_E,61.0,6,5327.538572003847,5504.555436969755,21.877091166666666,328.0
FW_E,63.0,4,5224.24188389788,5259.348446368796,20.708022,339.75
FW_E,65.0,5,5186.040413259291,5327.197671165033,19.9073474,350.8
FW_E,67.0,1,4855.894329391195,4855.894329391195,17.915443,365.0
FW_E,69.0,1,4980.1348032940805,4980.1348032940805,18.224032,368.0
FW_W,3.0,1,1850.463246718152,1850.463246718152,118.712674,21.0
FW_W,7.0,9,3173.594705513565,3589.587010623872,113.20581666666666,37.77777777777778
FW_W,9.0,17,4047.58318492111,4339.073325117437,107.72524688235293,50.705882352941174
FW_W,11.0,32,4793.860770076002,5144.8584206834785,109.87138215625001,58.84375
FW_W,13.0,41,5355.949636198412,5814.640597709216,102.94969556097561,70.2439024390244
FW_W,15.0,49,5890.159439730048,6561.230254587161,97.91176971428571,81.08163265306122
FW_W,17.0,55,6203.753040208702,6897.924634434286,91.7419618909091,91.21818181818182
FW_W,19.0,36,6044.930062502122,6829.490707780735,80.78370213888888,100.94444444444444
FW_W,21.0,26,6605.02802765407,7367.376171907212,78.77263523076923,113.03846153846153
FW_W,23.0,31,6414.959835628847,7441.647851948568,69.45006725806452,124.54838709677419
FW_W,25.0,29,6549.631872326073,7211.19354349362,65.44794106896552,135.0
FW_W,27.0,31,6359.382643743467,7101.995525708468,59.18540538709677,144.74193548387098
FW_W,29.0,30,6659.472688859717,7265.41565017541,57.9399942,154.9
FW_W,31.0,21,6924.295754277624,7496.406805502783,55.71708061904762,167.42857142857142
FW_W,33.0,20,6879.720455754475,7632.836360636949,51.9540689,178.5
FW_W,35.0,12,6297.262093199993,6851.027122043319,45.12123891666667,188.08333333333334
FW_W,37.0,7,6344.33819198715,6997.84463684997,43.21855157142857,198.0
FW_W,39.0,9,5427.374037906425,6468.319006483766,35.287911,207.11111111111111
FW_W,41.0,5,5577.784855139156,5804.073699274066,34.010231399999995,221.0
FW_W,43.0,8,5133.322631267665,5353.772312272238,29.742851625,232.5
FW_W,45.0,2,4887.075201410546,4934.782101435959,27.374677,240.5
FW_W,47.0,1,4719.20327711696,4719.20327711696,25.03058,254.0
FW_W,49.0,2,5217.270677470754,5700.709247388634,26.8413105,262.0
FW_W,51.0,1,5175.486999019127,5175.486999019127,25.728702,271.0
FW_W,53.0,1,5979.893938433072,5979.893938433072,27.779948,290.0
FW_W,55.0,4,5742.495835026008,6002.475404408904,26.17636,295.5
FW_W,57.0,2,5691.878523259706,5763.1593789518765,25.0987835,305.5
FW_W,59.0,2,5506.579572442104,5701.032778750556,23.252131,319.0
FW_W,63.0,3,5282.241468497915,5616.518890837509,20.93304433333333,340.0
FW_W,67.0,1,5014.4376741083,5014.4376741083,18.922999,357.0
