sim_sec,model_link,direction,segment_index,segment_id,physical_link,count,stopped_count,mean_speed_kph,length_km,lanes,density_veh_km_lane,flow_vph
900.0,FW_E,E,0,RW_FW_E_S0,2,86.0,0.0,89.11978,1.346639,4.0,15.965675,5691.429774206
900.0,FW_E,E,1,RW_FW_E_S1,2,67.0,0.0,114.666783,1.346639,4.0,12.438374,5705.073329323368
900.0,FW_E,E,2,RW_FW_E_S2,2,68.0,0.0,111.094277,1.346639,4.0,12.624022,5609.826387688377
900.0,FW_E,E,3,RW_FW_E_S3,2,65.0,0.0,88.021579,1.346639,4.0,12.06708,4248.65374207728
900.0,FW_E,E,4,RW_FW_E_S4,2,53.0,0.0,99.927775,1.346639,4.0,9.839311,3932.8818230521
900.0,FW_E,E,5,RW_FW_E_S5,2,44.0,0.0,93.696934,1.346639,4.0,8.168485,3061.4479996999603
900.0,FW_E,E,6,RW_FW_E_S6,2,46.0,0.0,105.170805,1.346639,4.0,8.539779,3592.5417278083796
900.0,FW_E,E,7,RW_FW_E_S7,2,44.0,0.0,117.96847,1.346639,4.0,8.168485,3854.4947106718
900.0,FW_W,W,0,RW_FW_W_S0,26,74.0,0.0,94.340891,1.347212,4.0,13.732063,5181.980234752532
900.0,FW_W,W,1,RW_FW_W_S1,26,47.0,0.0,115.124242,1.347212,4.0,8.721716,4016.323773757088
900.0,FW_W,W,2,RW_FW_W_S2,26,113.0,2.0,71.155014,1.347212,4.0,20.969231,5968.263701496936
900.0,FW_W,W,3,RW_FW_W_S3,26,60.0,0.0,102.728597,1.347212,4.0,11.134105,4575.1639420027395
900.0,FW_W,W,4,RW_FW_W_S4,26,72.0,1.0,88.549692,1.347212,4.0,13.360926,4732.423528539167
900.0,FW_W,W,5,RW_FW_W_S5,26,79.0,0.0,65.150923,1.347212,4.0,14.659905,3820.4253673692606
900.0,FW_W,W,6,RW_FW_W_S6,26,52.0,0.0,107.018876,1.347212,4.0,9.649558,4130.739404227233
900.0,FW_W,W,7,RW_FW_W_S7,26,66.0,0.0,116.285845,1.347212,4.0,12.247516,5696.850988844079
960.0,FW_E,E,0,RW_FW_E_S0,2,105.0,0.0,86.493471,1.346639,4.0,19.492975,6744.0602714649
960.0,FW_E,E,1,RW_FW_E_S1,2,68.0,0.0,112.143003,1.346639,4.0,12.624022,5662.782948072264
960.0,FW_E,E,2,RW_FW_E_S2,2,70.0,0.0,115.506997,1.346639,4.0,12.995316,6004.199704904208
960.0,FW_E,E,3,RW_FW_E_S3,2,66.0,0.0,102.776842,1.346639,4.0,12.252727,5037.186347792536
960.0,FW_E,E,4,RW_FW_E_S4,2,54.0,0.0,111.884237,1.346639,4.0,10.024958,4486.539107148184
960.0,FW_E,E,5,RW_FW_E_S5,2,61.0,0.0,88.044164,1.346639,4.0,11.32449,3988.22101910544
960.0,FW_E,E,6,RW_FW_E_S6,2,43.0,0.0,114.906087,1.346639,4.0,7.982837,3669.106251315276
960.0,FW_E,E,7,RW_FW_E_S7,2,38.0,0.0,120.47414,1.346639,4.0,7.0546,3399.587472176
960.0,FW_W,W,0,RW_FW_W_S0,26,110.0,0.0,91.691167,1.347212,4.0,20.412526,7486.593321431367
960.0,FW_W,W,1,RW_FW_W_S1,26,65.0,0.0,110.998201,1.347212,4.0,12.061947,5355.417670229388
960.0,FW_W,W,2,RW_FW_W_S2,26,50.0,0.0,102.564868,1.347212,4.0,9.278421,3806.560100453712
960.0,FW_W,W,3,RW_FW_W_S3,26,113.0,0.0,87.76838,1.347212,4.0,20.969231,7361.741738863119
960.0,FW_W,W,4,RW_FW_W_S4,26,58.0,0.0,108.286521,1.347212,4.0,10.762968,4661.937441417312
960.0,FW_W,W,5,RW_FW_W_S5,26,76.0,1.0,73.672028,1.347212,4.0,14.1032,4156.045381158399
960.0,FW_W,W,6,RW_FW_W_S6,26,53.0,0.0,94.886048,1.347212,4.0,9.835126,3732.864950888192
960.0,FW_W,W,7,RW_FW_W_S7,26,39.0,0.0,119.429179,1.347212,4.0,7.237168,3457.316130100288
1020.0,FW_E,E,0,RW_FW_E_S0,2,94.0,0.0,90.782496,1.346639,4.0,17.450854,6336.928333806335
1020.0,FW_E,E,1,RW_FW_E_S1,2,86.0,0.0,105.068749,1.346639,4.0,15.965675,6709.973996762299
1020.0,FW_E,E,2,RW_FW_E_S2,2,81.0,0.0,111.248702,1.346639,4.0,15.037438,6691.581835621903
1020.0,FW_E,E,3,RW_FW_E_S3,2,63.0,0.0,87.414098,1.346639,4.0,11.695785,4089.50598470772
1020.0,FW_E,E,4,RW_FW_E_S4,2,58.0,0.0,114.295726,1.346639,4.0,10.767548,4922.738863599392
1020.0,FW_E,E,5,RW_FW_E_S5,2,67.0,0.0,84.383545,1.346639,4.0,12.438374,4198.37636862332
1020.0,FW_E,E,6,RW_FW_E_S6,2,46.0,0.0,110.610236,1.346639,4.0,8.539779,3778.3478823113755
1020.0,FW_E,E,7,RW_FW_E_S7,2,36.0,0.0,119.291464,1.346639,4.0,6.683306,3189.045428399936
1020.0,FW_W,W,0,RW_FW_W_S0,26,104.0,0.0,82.966703,1.347212,4.0,19.299116,6404.736101338192
1020.0,FW_W,W,1,RW_FW_W_S1,26,89.0,0.0,107.758837,1.347212,4.0,16.515589,7118.802652039972
1020.0,FW_W,W,2,RW_FW_W_S2,26,80.0,0.0,103.634986,1.347212,4.0,14.845473,6154.041546073512
1020.0,FW_W,W,3,RW_FW_W_S3,26,81.0,0.0,90.83542,1.347212,4.0,15.031042,5461.40405243056
1020.0,FW_W,W,4,RW_FW_W_S4,26,62.0,0.0,102.634398,1.347212,4.0,11.505242,4723.334346057264
1020.0,FW_W,W,5,RW_FW_W_S5,26,75.0,0.0,80.560842,1.347212,4.0,13.917631,4484.864288021207
1020.0,FW_W,W,6,RW_FW_W_S6,26,74.0,0.0,110.50852,1.347212,4.0,13.732063,6070.03983470704
1020.0,FW_W,W,7,RW_FW_W_S7,26,62.0,0.0,112.318369,1.347212,4.0,11.505242,5169.000065561193
1080.0,FW_E,E,0,RW_FW_E_S0,2,116.0,0.0,88.54337,1.346639,4.0,21.535096,7627.159892454079
1080.0,FW_E,E,1,RW_FW_E_S1,2,87.0,0.0,108.573439,1.346639,4.0,16.151322,7014.418295745431
1080.0,FW_E,E,2,RW_FW_E_S2,2,77.0,0.0,111.07119,1.346639,4.0,14.294848,6350.98311291648
1080.0,FW_E,E,3,RW_FW_E_S3,2,82.0,0.0,89.959416,1.346639,4.0,15.223085,5477.83934527344
1080.0,FW_E,E,4,RW_FW_E_S4,2,63.0,0.0,109.775142,1.346639,4.0,11.695785,5135.625836705881
1080.0,FW_E,E,5,RW_FW_E_S5,2,59.0,0.0,93.254768,1.346639,4.0,10.953195,4085.7506343350396
1080.0,FW_E,E,6,RW_FW_E_S6,2,70.0,0.0,104.145704,1.346639,4.0,12.995316,5413.625334089856
1080.0,FW_E,E,7,RW_FW_E_S7,2,41.0,0.0,117.51671,1.346639,4.0,7.611543,3577.93396553412
1080.0,FW_W,W,0,RW_FW_W_S0,26,118.0,0.0,87.785954,1.347212,4.0,21.897073,7689.021772450568
1080.0,FW_W,W,1,RW_FW_W_S1,26,82.0,0.0,107.808268,1.347212,4.0,15.21661,6561.90547572592
1080.0,FW_W,W,2,RW_FW_W_S2,26,115.0,1.0,74.156179,1.347212,4.0,21.340368,6330.080597335488
1080.0,FW_W,W,3,RW_FW_W_S3,26,62.0,0.0,96.797887,1.347212,4.0,11.505242,4454.732460094617
1080.0,FW_W,W,4,RW_FW_W_S4,26,81.0,0.0,81.013849,1.347212,4.0,15.031042,4870.890267602631
1080.0,FW_W,W,5,RW_FW_W_S5,26,107.0,2.0,63.842538,1.347212,4.0,19.855821,5070.584026854792
1080.0,FW_W,W,6,RW_FW_W_S6,26,33.0,0.0,109.490013,1.347212,4.0,6.123758,2681.961372115416
1080.0,FW_W,W,7,RW_FW_W_S7,26,54.0,0.0,111.793936,1.347212,4.0,10.020695,4481.01174202208
1140.0,FW_E,E,0,RW_FW_E_S0,2,107.0,0.0,77.792646,1.346639,4.0,19.864269,6181.176185463097
1140.0,FW_E,E,1,RW_FW_E_S1,2,90.0,0.0,109.383884,1.346639,4.0,16.708264,7310.459244869504
1140.0,FW_E,E,2,RW_FW_E_S2,2,82.0,0.0,107.246099,1.346639,4.0,15.223085,6530.46592398166
1140.0,FW_E,E,3,RW_FW_E_S3,2,85.0,0.0,99.864575,1.346639,4.0,15.780027,6303.462759374101
1140.0,FW_E,E,4,RW_FW_E_S4,2,67.0,0.0,97.259356,1.346639,4.0,12.438374,4838.992979708576
1140.0,FW_E,E,5,RW_FW_E_S5,2,79.0,0.0,78.095876,1.346639,4.0,14.666143,4581.461140505072
1140.0,FW_E,E,6,RW_FW_E_S6,2,55.0,0.0,100.885124,1.346639,4.0,10.210606,4120.393009700576
1140.0,FW_E,E,7,RW_FW_E_S7,2,62.0,0.0,115.23411,1.346639,4.0,11.510137,5305.44157269228
1140.0,FW_W,W,0,RW_FW_W_S0,26,119.0,0.0,83.425004,1.347212,4.0,22.082642,7368.977988722272
1140.0,FW_W,W,1,RW_FW_W_S1,26,89.0,0.0,105.260786,1.347212,4.0,16.515589,6953.775517571815
1140.0,FW_W,W,2,RW_FW_W_S2,26,118.0,0.0,79.269717,1.347212,4.0,21.897073,6943.099119353364
1140.0,FW_W,W,3,RW_FW_W_S3,26,77.0,0.0,98.602369,1.347212,4.0,14.288768,5635.625499565567
1140.0,FW_W,W,4,RW_FW_W_S4,26,67.0,0.0,113.22164,1.347212,4.0,12.433084,5630.776642951039
1140.0,FW_W,W,5,RW_FW_W_S5,26,106.0,0.0,59.801953,1.347212,4.0,19.670252,4705.277942408624
1140.0,FW_W,W,6,RW_FW_W_S6,26,77.0,0.0,102.91355,1.347212,4.0,14.288768,5882.0313600255995
1140.0,FW_W,W,7,RW_FW_W_S7,26,43.0,0.0,115.905942,1.347212,4.0,7.979442,3699.4589665774556
1200.0,FW_E,E,0,RW_FW_E_S0,2,111.0,0.0,89.156286,1.346639,4.0,20.606859,7348.924058262695
1200.0,FW_E,E,1,RW_FW_E_S1,2,91.0,0.0,110.925724,1.346639,4.0,16.893911,7495.877235466256
1200.0,FW_E,E,2,RW_FW_E_S2,2,81.0,0.0,112.053561,1.346639,4.0,15.037438,6739.993904866872
1200.0,FW_E,E,3,RW_FW_E_S3,2,129.0,2.0,66.047,1.346639,4.0,23.948512,6326.909488256
1200.0,FW_E,E,4,RW_FW_E_S4,2,47.0,0.0,113.476185,1.346639,4.0,8.725427,3960.51267382398
1200.0,FW_E,E,5,RW_FW_E_S5,2,106.0,0.0,64.886647,1.346639,4.0,19.678622,5107.519196641736
1200.0,FW_E,E,6,RW_FW_E_S6,2,52.0,0.0,102.354819,1.346639,4.0,9.653664,3952.3961256272637
1200.0,FW_E,E,7,RW_FW_E_S7,2,56.0,0.0,115.845331,1.346639,4.0,10.396253,4817.429479778972
1200.0,FW_W,W,0,RW_FW_W_S0,26,124.0,0.0,79.294767,1.347212,4.0,23.010484,7298.443869348912
1200.0,FW_W,W,1,RW_FW_W_S1,26,98.0,1.0,96.814643,1.347212,4.0,18.185705,7042.5701491132595
1200.0,FW_W,W,2,RW_FW_W_S2,26,117.0,2.0,70.572257,1.347212,4.0,21.711505,6128.919642867139
1200.0,FW_W,W,3,RW_FW_W_S3,26,83.0,0.0,96.752395,1.347212,4.0,15.402179,5960.79082587482
1200.0,FW_W,W,4,RW_FW_W_S4,26,68.0,1.0,98.742275,1.347212,4.0,12.618652,4983.977623653201
1200.0,FW_W,W,5,RW_FW_W_S5,26,137.0,1.0,57.529765,1.347212,4.0,25.422873,5850.287637259379
1200.0,FW_W,W,6,RW_FW_W_S6,26,50.0,0.0,101.11188,1.347212,4.0,9.278421,3752.63436296592
1200.0,FW_W,W,7,RW_FW_W_S7,26,63.0,0.0,112.283453,1.347212,4.0,11.69081,5250.73806066772
1260.0,FW_E,E,0,RW_FW_E_S0,2,111.0,0.0,89.643196,1.346639,4.0,20.606859,7389.058801125456
1260.0,FW_E,E,1,RW_FW_E_S1,2,82.0,0.0,111.756916,1.346639,4.0,15.223085,6805.14012642344
1260.0,FW_E,E,2,RW_FW_E_S2,2,96.0,0.0,111.099577,1.346639,4.0,17.822148,7920.132416125583
1260.0,FW_E,E,3,RW_FW_E_S3,2,118.0,0.0,71.518591,1.346639,4.0,21.906391,6266.856872860324
1260.0,FW_E,E,4,RW_FW_E_S4,2,86.0,0.0,98.985294,1.346639,4.0,15.965675,6321.4681351337995
1260.0,FW_E,E,5,RW_FW_E_S5,2,91.0,2.0,64.958422,1.346639,4.0,16.893911,4389.607199873768
1260.0,FW_E,E,6,RW_FW_E_S6,2,61.0,0.0,103.51344,1.346639,4.0,11.32449,4688.947664582401
1260.0,FW_E,E,7,RW_FW_E_S7,2,53.0,0.0,115.994728,1.346639,4.0,9.839311,4565.232812609632
1260.0,FW_W,W,0,RW_FW_W_S0,26,123.0,0.0,85.362345,1.347212,4.0,22.824915,7793.553075302701
1260.0,FW_W,W,1,RW_FW_W_S1,26,124.0,0.0,84.029652,1.347212,4.0,23.010484,7734.251851486272
1260.0,FW_W,W,2,RW_FW_W_S2,26,101.0,2.0,76.597003,1.347212,4.0,18.74241,5742.44973998892
1260.0,FW_W,W,3,RW_FW_W_S3,26,87.0,0.0,94.522325,1.347212,4.0,16.144452,6104.0445555636
1260.0,FW_W,W,4,RW_FW_W_S4,26,87.0,0.0,87.918858,1.347212,4.0,16.144452,5677.607131503264
1260.0,FW_W,W,5,RW_FW_W_S5,26,127.0,2.0,49.104951,1.347212,4.0,23.567189,4629.062644210956
1260.0,FW_W,W,6,RW_FW_W_S6,26,66.0,0.0,104.006509,1.347212,4.0,12.247516,5095.285532326576
1260.0,FW_W,W,7,RW_FW_W_S7,26,52.0,0.0,118.188298,1.347212,4.0,9.649558,4561.859345889136
1320.0,FW_E,E,0,RW_FW_E_S0,2,116.0,0.0,78.025129,1.346639,4.0,21.535096,6721.114573709537
1320.0,FW_E,E,1,RW_FW_E_S1,2,89.0,0.0,107.721978,1.346639,4.0,16.522617,7119.395939905704
1320.0,FW_E,E,2,RW_FW_E_S2,2,83.0,0.0,109.953504,1.346639,4.0,15.408732,6776.976302387712
1320.0,FW_E,E,3,RW_FW_E_S3,2,128.0,1.0,68.240809,1.346639,4.0,23.762864,6486.388254067904
1320.0,FW_E,E,4,RW_FW_E_S4,2,95.0,0.0,100.588399,1.346639,4.0,17.636501,7096.109598207595
1320.0,FW_E,E,5,RW_FW_E_S5,2,88.0,0.0,75.445593,1.346639,4.0,16.336969,4930.209256110468
1320.0,FW_E,E,6,RW_FW_E_S6,2,80.0,0.0,103.960759,1.346639,4.0,14.85179,6176.01344363444
1320.0,FW_E,E,7,RW_FW_E_S7,2,58.0,0.0,115.100891,1.346639,4.0,10.767548,4957.417474741072
1320.0,FW_W,W,0,RW_FW_W_S0,26,121.0,0.0,73.901405,1.347212,4.0,22.453779,6637.46326263798
1320.0,FW_W,W,1,RW_FW_W_S1,26,115.0,0.0,80.464395,1.347212,4.0,21.340368,6868.55920078944
1320.0,FW_W,W,2,RW_FW_W_S2,26,130.0,1.0,71.55732,1.347212,4.0,24.123894,6904.964810416321
1320.0,FW_W,W,3,RW_FW_W_S3,26,86.0,0.0,96.549534,1.347212,4.0,15.958884,6163.291253440223
1320.0,FW_W,W,4,RW_FW_W_S4,26,75.0,0.0,104.447384,1.347212,4.0,13.917631,5814.640597709216
1320.0,FW_W,W,5,RW_FW_W_S5,26,116.0,0.0,68.248793,1.347212,4.0,21.525937,5876.476873776164
1320.0,FW_W,W,6,RW_FW_W_S6,26,91.0,0.0,96.7794,1.347212,4.0,16.886726,6537.148840977599
1320.0,FW_W,W,7,RW_FW_W_S7,26,65.0,0.0,112.449549,1.347212,4.0,12.061947,5425.442000847612
1380.0,FW_E,E,0,RW_FW_E_S0,2,118.0,0.0,77.865086,1.346639,4.0,21.906391,6822.972076658504
1380.0,FW_E,E,1,RW_FW_E_S1,2,83.0,0.0,110.675863,1.346639,4.0,15.408732,6821.498847342865
1380.0,FW_E,E,2,RW_FW_E_S2,2,91.0,0.0,108.09413,1.346639,4.0,16.893911,7304.53044736972
1380.0,FW_E,E,3,RW_FW_E_S3,2,128.0,0.0,73.512352,1.346639,4.0,23.762864,6987.456091584513
1380.0,FW_E,E,4,RW_FW_E_S4,2,101.0,0.0,86.711252,1.346639,4.0,18.750385,6503.477435328081
1380.0,FW_E,E,5,RW_FW_E_S5,2,122.0,2.0,66.310676,1.346639,4.0,22.64898,6007.476698041921
1380.0,FW_E,E,6,RW_FW_E_S6,2,54.0,0.0,100.064138,1.346639,4.0,10.024958,4012.555123024816
1380.0,FW_E,E,7,RW_FW_E_S7,2,66.0,0.0,116.492501,1.346639,4.0,12.252727,5709.403249200908
1380.0,FW_W,W,0,RW_FW_W_S0,26,118.0,1.0,76.6771,1.347212,4.0,21.897073,6716.0162245132
1380.0,FW_W,W,1,RW_FW_W_S1,26,126.0,1.0,81.484042,1.347212,4.0,23.381621,7620.915950368328
1380.0,FW_W,W,2,RW_FW_W_S2,26,129.0,3.0,68.670251,1.347212,4.0,23.938326,6575.403419759304
1380.0,FW_W,W,3,RW_FW_W_S3,26,87.0,0.0,89.93768,1.347212,4.0,16.144452,5807.978231005441
1380.0,FW_W,W,4,RW_FW_W_S4,26,84.0,0.0,102.478788,1.347212,4.0,15.587747,6389.6536808425435
1380.0,FW_W,W,5,RW_FW_W_S5,26,143.0,1.0,54.848203,1.347212,4.0,26.536284,5821.869966790608
1380.0,FW_W,W,6,RW_FW_W_S6,26,56.0,0.0,106.807178,1.347212,4.0,10.391831,4439.688573451672
1380.0,FW_W,W,7,RW_FW_W_S7,26,83.0,0.0,107.996156,1.347212,4.0,15.402179,6653.504504095696
1440.0,FW_E,E,0,RW_FW_E_S0,2,123.0,0.0,80.45132,1.346639,4.0,22.834628,7348.303857235839
1440.0,FW_E,E,1,RW_FW_E_S1,2,74.0,0.0,105.570877,1.346639,4.0,13.737906,5801.291138254248
1440.0,FW_E,E,2,RW_FW_E_S2,2,90.0,0.0,108.569796,1.346639,4.0,16.708264,7256.051255976576
1440.0,FW_E,E,3,RW_FW_E_S3,2,97.0,0.0,82.447141,1.346639,4.0,18.007796,5938.765183644944
1440.0,FW_E,E,4,RW_FW_E_S4,2,104.0,0.0,93.491493,1.346639,4.0,19.307327,7220.283308276845
1440.0,FW_E,E,5,RW_FW_E_S5,2,106.0,0.0,73.673426,1.346639,4.0,19.678622,5799.166006795888
1440.0,FW_E,E,6,RW_FW_E_S6,2,92.0,0.0,90.608583,1.346639,4.0,17.079559,6190.218557019588
1440.0,FW_E,E,7,RW_FW_E_S7,2,65.0,0.0,114.598669,1.346639,4.0,12.06708,5531.485226866081
1440.0,FW_W,W,0,RW_FW_W_S0,26,125.0,1.0,80.987033,1.347212,4.0,23.196052,7514.317715174864
1440.0,FW_W,W,1,RW_FW_W_S1,26,127.0,0.0,71.364094,1.347212,4.0,23.567189,6727.404364447063
1440.0,FW_W,W,2,RW_FW_W_S2,26,129.0,1.0,69.68111,1.347212,4.0,23.938326,6672.19650888744
1440.0,FW_W,W,3,RW_FW_W_S3,26,94.0,0.0,96.781474,1.347212,4.0,17.443431,6752.803855189176
1440.0,FW_W,W,4,RW_FW_W_S4,26,78.0,0.0,94.115956,1.347212,4.0,14.474337,5449.064256884688
1440.0,FW_W,W,5,RW_FW_W_S5,26,129.0,2.0,54.194473,1.347212,4.0,23.938326,5189.299848288792
1440.0,FW_W,W,6,RW_FW_W_S6,26,94.0,0.0,91.357816,1.347212,4.0,17.443431,6374.3750388267845
1440.0,FW_W,W,7,RW_FW_W_S7,26,49.0,0.0,114.826107,1.347212,4.0,9.092852,4176.387186748656
1500.0,FW_E,E,0,RW_FW_E_S0,2,132.0,0.0,65.345421,1.346639,4.0,24.505454,6405.276833704536
1500.0,FW_E,E,1,RW_FW_E_S1,2,84.0,0.0,113.155917,1.346639,4.0,15.59438,7058.38547578584
1500.0,FW_E,E,2,RW_FW_E_S2,2,75.0,0.0,112.508955,1.346639,4.0,13.923553,6266.09759166846
1500.0,FW_E,E,3,RW_FW_E_S3,2,129.0,0.0,67.622681,1.346639,4.0,23.948512,6477.850349602688
1500.0,FW_E,E,4,RW_FW_E_S4,2,73.0,0.0,103.155965,1.346639,4.0,13.552259,5591.985420299739
1500.0,FW_E,E,5,RW_FW_E_S5,2,137.0,0.0,57.43941,1.346639,4.0,25.433691,5843.58482064924
1500.0,FW_E,E,6,RW_FW_E_S6,2,59.0,0.0,115.097206,1.346639,4.0,10.953195,5042.72856509268
1500.0,FW_E,E,7,RW_FW_E_S7,2,89.0,0.0,112.993149,1.346639,4.0,16.522617,7467.770098203732
1500.0,FW_W,W,0,RW_FW_W_S0,26,126.0,0.0,69.414627,1.347212,4.0,23.381621,6492.1060014814675
