model_link,density_bin_center_veh_km_lane,n,flow_mean_vph,flow_p85_vph,speed_mean_kph,count_mean_veh
FW_E,3.0,1,1810.9133617394998,1810.9133617394998,116.126025,21.0
FW_E,5.0,6,2552.3214772126876,2749.553354838396,117.11725183333334,29.333333333333332
FW_E,7.0,35,3181.6962691304834,3447.4440665640227,111.90573145714286,38.31428571428572
FW_E,9.0,54,3966.5645698256903,4349.3316363972635,110.23081366666666,48.48148148148148
FW_E,11.0,67,4503.738932295378,4973.159019457428,103.05230465671642,58.95522388059702
FW_E,13.0,40,5232.98066347778,5607.851659170961,100.839554375,69.9
FW_E,15.0,31,5407.261300147791,6184.105417162622,88.93269432258064,81.74193548387096
FW_E,17.0,11,5972.210214705648,6592.004393202984,87.885567,91.72727272727273
FW_E,19.0,19,6234.4474483910335,6735.59208625815,82.72344305263158,101.57894736842105
FW_E,21.0,13,5938.630677678477,6950.164309748132,70.41329315384615,113.61538461538461
FW_E,23.0,22,6538.5848559451,7732.611817821136,70.77729886363636,124.4090909090909
FW_E,25.0,29,6186.216636349258,7459.397967972268,61.58736427586207,135.27586206896552
FW_E,27.0,34,6190.962736331322,7263.736924759898,57.229781470588236,145.64705882352942
FW_E,29.0,15,6678.682856815953,7363.861851826601,57.610488933333336,155.93333333333334
FW_E,31.0,19,7123.282189225207,7524.913104766094,57.860803789473685,165.8421052631579
FW_E,33.0,5,6925.170303101293,7036.173093188927,53.1840448,175.4
FW_E,35.0,2,7198.349040677402,7378.441361118595,51.9607215,186.5
FW_E,37.0,5,6664.229396360184,6870.778829619761,45.1493442,198.8
FW_E,39.0,2,6463.819981373525,6649.107310583173,40.783917,213.5
FW_E,41.0,1,6014.36461967264,6014.36461967264,36.319184,223.0
FW_E,43.0,1,5634.198822589848,5634.198822589848,32.286093,235.0
FW_E,45.0,1,5930.823710241639,5930.823710241639,33.139745,241.0
FW_E,47.0,1,5987.810764714269,5987.810764714269,32.383211,249.0
FW_E,49.0,3,5634.427480114286,5922.6022378340385,28.608368333333335,265.3333333333333
FW_E,51.0,4,5714.6387631679145,5801.268891502223,27.911482,275.75
FW_E,53.0,2,5847.7429577795465,5938.0163902284285,27.7846305,283.5
FW_E,55.0,10,5598.634044952419,5859.950356253701,25.5109182,295.6
FW_E,57.0,15,5470.268704456724,5755.49947624992,23.979244466666668,307.26666666666665
FW_E,59.0,14,5352.485389972504,5570.66382669847,22.734946785714286,317.14285714285717
FW_E,61.0,12,5214.610438669482,5450.138423736593,21.423279333333333,327.8333333333333
FW_E,63.0,8,5143.520593241509,5327.765879037093,20.47723975,338.25
FW_E,65.0,4,5000.60662185502,5120.261890816781,19.26718225,349.5
FW_E,67.0,1,4750.088059186912,4750.088059186912,17.621636,363.0
FW_E,69.0,1,4863.08298508506,4863.08298508506,17.795699,368.0
FW_W,5.0,5,2490.3500777138247,2564.9806871873743,114.3736214,29.4
FW_W,7.0,5,3333.8322624355105,3578.663341594597,116.4482956,38.6
FW_W,9.0,20,4159.6407650857345,4390.869025311953,112.62909835,49.8
FW_W,11.0,33,4787.152539794034,5158.827007360051,109.82846421212122,58.75757575757576
FW_W,13.0,62,5358.911190105688,5859.583479008744,103.60533612903225,69.70967741935483
FW_W,15.0,74,5886.895186840317,6566.554041718111,97.5912910945946,81.29729729729729
FW_W,17.0,58,6318.615299565898,6818.7421951435535,94.09759325862069,90.56896551724138
FW_W,19.0,23,6209.02118488929,6930.830573441783,82.92587986956522,100.91304347826087
FW_W,21.0,26,6176.182853599512,7097.619111289904,73.88320692307693,112.84615384615384
FW_W,23.0,27,6399.007092502463,7187.807594982738,69.68601577777778,123.74074074074075
FW_W,25.0,20,6865.362354915344,7332.504333204894,68.634842,134.85
FW_W,27.0,26,6643.44535244714,7319.3851211352885,61.598602615384614,145.5
FW_W,29.0,24,6955.488436893601,7350.707323605058,59.851015458333336,156.54166666666666
FW_W,31.0,15,7002.162432505712,7431.857569187376,56.80295386666666,166.13333333333333
FW_W,33.0,11,6911.275406476864,7128.130346004955,52.45558518181818,177.54545454545453
FW_W,35.0,27,6899.019301441993,7272.765539474292,49.450048037037035,188.0
FW_W,37.0,14,6761.7075203520135,7110.786338941324,45.58575042857143,199.85714285714286
FW_W,39.0,16,6628.203834107557,7006.174444611706,42.5315158125,210.0625
FW_W,41.0,1,6856.348661121279,6856.348661121279,41.98616,220.0
FW_W,43.0,1,6896.0954596921765,6896.0954596921765,40.927324,227.0
