sim_sec,model_link,direction,segment_index,segment_id,physical_link,count,stopped_count,mean_speed_kph,length_km,lanes,density_veh_km_lane,flow_vph
900.0,FW_E,E,0,RW_FW_E_S0,2,159.0,0.0,63.519579,1.346639,4.0,29.517933,7499.866708440828
900.0,FW_E,E,1,RW_FW_E_S1,2,104.0,0.0,87.699536,1.346639,4.0,19.307327,6772.974477201088
900.0,FW_E,E,2,RW_FW_E_S2,2,130.0,0.0,73.967391,1.346639,4.0,24.134159,7140.563100836676
900.0,FW_E,E,3,RW_FW_E_S3,2,104.0,1.0,69.315132,1.346639,4.0,19.307327,5353.159678288656
900.0,FW_E,E,4,RW_FW_E_S4,2,67.0,0.0,102.158573,1.346639,4.0,12.438374,5082.746153121208
900.0,FW_E,E,5,RW_FW_E_S5,2,59.0,0.0,91.702908,1.346639,4.0,10.953195,4017.7593335642396
900.0,FW_E,E,6,RW_FW_E_S6,2,55.0,0.0,96.950363,1.346639,4.0,10.210606,3959.687832599912
900.0,FW_E,E,7,RW_FW_E_S7,2,38.0,0.0,118.805385,1.346639,4.0,7.0546,3352.497876084
900.0,FW_W,W,0,RW_FW_W_S0,26,139.0,0.0,70.875687,1.347212,4.0,25.79401,7312.67271693948
900.0,FW_W,W,1,RW_FW_W_S1,26,123.0,3.0,82.154967,1.347212,4.0,22.824915,7500.72055441122
900.0,FW_W,W,2,RW_FW_W_S2,26,82.0,0.0,97.535829,1.347212,4.0,15.21661,5936.65868367876
900.0,FW_W,W,3,RW_FW_W_S3,26,110.0,0.0,86.681742,1.347212,4.0,20.412526,7077.5732492011675
900.0,FW_W,W,4,RW_FW_W_S4,26,81.0,0.0,89.309596,1.347212,4.0,15.031042,5369.665153916128
900.0,FW_W,W,5,RW_FW_W_S5,26,103.0,0.0,68.282362,1.347212,4.0,19.113547,5220.4725414320565
900.0,FW_W,W,6,RW_FW_W_S6,26,34.0,0.0,117.127516,1.347212,4.0,6.309326,2955.9827280568643
900.0,FW_W,W,7,RW_FW_W_S7,26,50.0,0.0,112.992935,1.347212,4.0,9.278421,4193.58408382254
960.0,FW_E,E,0,RW_FW_E_S0,2,152.0,3.0,55.304759,1.346639,4.0,28.218402,6242.4476879004715
960.0,FW_E,E,1,RW_FW_E_S1,2,122.0,1.0,88.130337,1.346639,4.0,22.64898,7984.24896042504
960.0,FW_E,E,2,RW_FW_E_S2,2,131.0,2.0,72.641043,1.346639,4.0,24.319807,7066.464584154804
960.0,FW_E,E,3,RW_FW_E_S3,2,107.0,0.0,76.897411,1.346639,4.0,19.864269,6110.043430030237
960.0,FW_E,E,4,RW_FW_E_S4,2,69.0,0.0,100.925287,1.346639,4.0,12.809669,5171.278080800012
960.0,FW_E,E,5,RW_FW_E_S5,2,59.0,0.0,103.339934,1.346639,4.0,10.953195,4527.609793556519
960.0,FW_E,E,6,RW_FW_E_S6,2,63.0,0.0,103.470545,1.346639,4.0,11.695785,4840.6769926113
960.0,FW_E,E,7,RW_FW_E_S7,2,50.0,0.0,115.271273,1.346639,4.0,9.282369,4279.961964342948
960.0,FW_W,W,0,RW_FW_W_S0,26,137.0,0.0,71.964707,1.347212,4.0,25.422873,7318.198426172844
960.0,FW_W,W,1,RW_FW_W_S1,26,131.0,1.0,73.524156,1.347212,4.0,24.309463,7149.3309995529125
960.0,FW_W,W,2,RW_FW_W_S2,26,93.0,0.0,93.328496,1.347212,4.0,17.257863,6442.6015918561925
960.0,FW_W,W,3,RW_FW_W_S3,26,70.0,0.0,105.047124,1.347212,4.0,12.989789,5458.159903267344
960.0,FW_W,W,4,RW_FW_W_S4,26,104.0,3.0,83.279766,1.347212,4.0,19.299116,6428.903457947424
960.0,FW_W,W,5,RW_FW_W_S5,26,121.0,0.0,61.435267,1.347212,4.0,22.453779,5517.815632095972
960.0,FW_W,W,6,RW_FW_W_S6,26,55.0,0.0,101.449811,1.347212,4.0,10.206263,4141.693809465171
960.0,FW_W,W,7,RW_FW_W_S7,26,36.0,0.0,116.068666,1.347212,4.0,6.680463,3101.5697146894317
1020.0,FW_E,E,0,RW_FW_E_S0,2,146.0,1.0,70.287997,1.346639,4.0,27.104517,7620.488838329797
1020.0,FW_E,E,1,RW_FW_E_S1,2,125.0,1.0,83.027008,1.346639,4.0,23.205922,7706.873086165504
1020.0,FW_E,E,2,RW_FW_E_S2,2,140.0,0.0,73.020971,1.346639,4.0,25.990633,7591.445034258572
1020.0,FW_E,E,3,RW_FW_E_S3,2,100.0,0.0,87.281948,1.346639,4.0,18.564738,6481.465986998495
1020.0,FW_E,E,4,RW_FW_E_S4,2,85.0,0.0,98.724118,1.346639,4.0,15.780027,6231.476990364745
1020.0,FW_E,E,5,RW_FW_E_S5,2,62.0,0.0,93.57426,1.346639,4.0,11.510137,4308.21020909448
1020.0,FW_E,E,6,RW_FW_E_S6,2,54.0,0.0,115.319466,1.346639,4.0,10.024958,4624.291212929712
1020.0,FW_E,E,7,RW_FW_E_S7,2,49.0,0.0,117.286227,1.346639,4.0,9.096722,4267.680805791576
1020.0,FW_W,W,0,RW_FW_W_S0,26,147.0,1.0,65.728351,1.347212,4.0,27.278557,7171.8982770780285
1020.0,FW_W,W,1,RW_FW_W_S1,26,127.0,3.0,69.014789,1.347212,4.0,23.567189,6505.938304632483
1020.0,FW_W,W,2,RW_FW_W_S2,26,99.0,2.0,70.830319,1.347212,4.0,18.371273,5204.972508104348
1020.0,FW_W,W,3,RW_FW_W_S3,26,65.0,0.0,116.283718,1.347212,4.0,12.061947,5610.432173915784
