sim_sec,model_link,direction,segment_index,segment_id,physical_link,count,stopped_count,mean_speed_kph,length_km,lanes,density_veh_km_lane,flow_vph
900.0,FW_E,E,0,RW_FW_E_S0,2,57.0,0.0,101.695699,1.346639,4.0,10.581901,4304.535275775196
900.0,FW_E,E,1,RW_FW_E_S1,2,54.0,0.0,116.848088,1.346639,4.0,10.024958,4685.588698321216
900.0,FW_E,E,2,RW_FW_E_S2,2,49.0,0.0,118.091649,1.346639,4.0,9.096722,4296.987605898312
900.0,FW_E,E,3,RW_FW_E_S3,2,53.0,0.0,100.169843,1.346639,4.0,9.839311,3942.4089523926923
900.0,FW_E,E,4,RW_FW_E_S4,2,41.0,0.0,109.524547,1.346639,4.0,7.611543,3334.603196184084
900.0,FW_E,E,5,RW_FW_E_S5,2,32.0,0.0,111.390126,1.346639,4.0,5.940716,2646.948415080864
900.0,FW_E,E,6,RW_FW_E_S6,2,28.0,0.0,116.247648,1.346639,4.0,5.198127,2417.080151021184
900.0,FW_E,E,7,RW_FW_E_S7,2,41.0,0.0,121.132299,1.346639,4.0,7.611543,3688.0148101094283
900.0,FW_W,W,0,RW_FW_W_S0,26,72.0,0.0,93.621193,1.347212,4.0,13.360926,5003.463326818872
900.0,FW_W,W,1,RW_FW_W_S1,26,56.0,0.0,114.272797,1.347212,4.0,10.391831,4750.014377285228
900.0,FW_W,W,2,RW_FW_W_S2,26,60.0,0.0,101.71293,1.347212,4.0,11.134105,4529.9297699106
900.0,FW_W,W,3,RW_FW_W_S3,26,41.0,0.0,117.659808,1.347212,4.0,7.608305,3580.7668220217597
900.0,FW_W,W,4,RW_FW_W_S4,26,51.0,0.0,115.717489,1.347212,4.0,9.463989,4380.596172014484
900.0,FW_W,W,5,RW_FW_W_S5,26,55.0,0.0,96.069008,1.347212,4.0,10.206263,3922.022247188416
900.0,FW_W,W,6,RW_FW_W_S6,26,59.0,0.0,104.912775,1.347212,4.0,10.948537,4594.5655954407
900.0,FW_W,W,7,RW_FW_W_S7,26,46.0,0.0,115.623034,1.347212,4.0,8.536147,3947.900859239992
960.0,FW_E,E,0,RW_FW_E_S0,2,79.0,0.0,99.510593,1.346639,4.0,14.666143,5837.746347811196
960.0,FW_E,E,1,RW_FW_E_S1,2,51.0,0.0,118.441906,1.346639,4.0,9.468016,4485.639444313984
960.0,FW_E,E,2,RW_FW_E_S2,2,49.0,0.0,117.191806,1.346639,4.0,9.096722,4264.245119439728
960.0,FW_E,E,3,RW_FW_E_S3,2,46.0,0.0,114.470083,1.346639,4.0,8.539779,3910.196843726628
960.0,FW_E,E,4,RW_FW_E_S4,2,47.0,0.0,117.504929,1.346639,4.0,8.725427,4101.122720518732
960.0,FW_E,E,5,RW_FW_E_S5,2,43.0,0.0,100.25119,1.346639,4.0,7.982837,3201.1556353041196
960.0,FW_E,E,6,RW_FW_E_S6,2,23.0,0.0,121.987276,1.346639,4.0,4.26989,2083.48899967856
960.0,FW_E,E,7,RW_FW_E_S7,2,28.0,0.0,121.813472,1.346639,4.0,5.198127,2532.8075910677762
960.0,FW_W,W,0,RW_FW_W_S0,26,88.0,0.0,97.999587,1.347212,4.0,16.330021,6401.3412548053075
960.0,FW_W,W,1,RW_FW_W_S1,26,54.0,0.0,111.781417,1.347212,4.0,10.020695,4480.50994569926
960.0,FW_W,W,2,RW_FW_W_S2,26,69.0,0.0,94.428399,1.347212,4.0,12.804221,4836.328357888716
960.0,FW_W,W,3,RW_FW_W_S3,26,44.0,0.0,105.868044,1.347212,4.0,8.16501,3457.65455176176
960.0,FW_W,W,4,RW_FW_W_S4,26,42.0,0.0,106.492326,1.347212,4.0,7.793874,3319.951083243696
960.0,FW_W,W,5,RW_FW_W_S5,26,58.0,0.0,79.590825,1.347212,4.0,10.762968,3426.5340102744
960.0,FW_W,W,6,RW_FW_W_S6,26,37.0,0.0,119.764284,1.347212,4.0,6.866031,3289.2211465472164
960.0,FW_W,W,7,RW_FW_W_S7,26,56.0,0.0,111.985344,1.347212,4.0,10.391831,4654.931077299456
1020.0,FW_E,E,0,RW_FW_E_S0,2,62.0,0.0,98.52657,1.346639,4.0,11.510137,4536.217275360361
1020.0,FW_E,E,1,RW_FW_E_S1,2,65.0,0.0,114.629133,1.346639,4.0,12.06708,5532.95567296656
1020.0,FW_E,E,2,RW_FW_E_S2,2,56.0,0.0,114.969134,1.346639,4.0,10.396253,4780.992817019608
1020.0,FW_E,E,3,RW_FW_E_S3,2,64.0,0.0,95.416087,1.346639,4.0,11.881432,4534.718997586337
1020.0,FW_E,E,4,RW_FW_E_S4,2,33.0,0.0,117.932145,1.346639,4.0,6.126363,2889.98051855454
1020.0,FW_E,E,5,RW_FW_E_S5,2,41.0,0.0,96.175351,1.346639,4.0,7.611543,2928.171278706372
1020.0,FW_E,E,6,RW_FW_E_S6,2,35.0,0.0,118.211551,1.346639,4.0,6.497658,3072.392920190232
1020.0,FW_E,E,7,RW_FW_E_S7,2,31.0,0.0,123.573611,1.346639,4.0,5.755069,2844.6986315366357
1020.0,FW_W,W,0,RW_FW_W_S0,26,77.0,0.0,95.131441,1.347212,4.0,14.288768,5437.244359818751
1020.0,FW_W,W,1,RW_FW_W_S1,26,69.0,0.0,112.672391,1.347212,4.0,12.804221,5770.7287798496445
1020.0,FW_W,W,2,RW_FW_W_S2,26,80.0,0.0,100.137068,1.347212,4.0,14.845473,5946.328557172656
1020.0,FW_W,W,3,RW_FW_W_S3,26,61.0,0.0,98.869763,1.347212,4.0,11.319674,4476.693942469048
1020.0,FW_W,W,4,RW_FW_W_S4,26,41.0,0.0,108.86469,1.347212,4.0,7.608305,3313.1030610017997
1020.0,FW_W,W,5,RW_FW_W_S5,26,50.0,0.0,91.741748,1.347212,4.0,9.278421,3404.874244879632
1020.0,FW_W,W,6,RW_FW_W_S6,26,45.0,0.0,116.457136,1.347212,4.0,8.350579,3889.938057126976
1020.0,FW_W,W,7,RW_FW_W_S7,26,39.0,0.0,120.45221,1.347212,4.0,7.237168,3486.9315189651197
1080.0,FW_E,E,0,RW_FW_E_S0,2,84.0,0.0,94.458061,1.346639,4.0,15.59438,5892.05958918872
1080.0,FW_E,E,1,RW_FW_E_S1,2,58.0,0.0,113.615006,1.346639,4.0,10.767548,4893.420122501152
1080.0,FW_E,E,2,RW_FW_E_S2,2,53.0,0.0,114.535111,1.346639,4.0,9.839311,4507.786310194084
1080.0,FW_E,E,3,RW_FW_E_S3,2,62.0,0.0,101.186017,1.346639,4.0,11.510137,4658.659672617317
1080.0,FW_E,E,4,RW_FW_E_S4,2,53.0,0.0,111.624896,1.346639,4.0,9.839311,4393.248268346624
1080.0,FW_E,E,5,RW_FW_E_S5,2,43.0,0.0,99.425131,1.346639,4.0,7.982837,3174.778457906588
1080.0,FW_E,E,6,RW_FW_E_S6,2,40.0,0.0,111.237374,1.346639,4.0,7.425895,3304.14823759892
1080.0,FW_E,E,7,RW_FW_E_S7,2,34.0,0.0,119.905734,1.346639,4.0,6.312011,3027.385247884296
1080.0,FW_W,W,0,RW_FW_W_S0,26,84.0,0.0,90.681074,1.347212,4.0,15.587747,5654.054556801112
1080.0,FW_W,W,1,RW_FW_W_S1,26,63.0,0.0,111.270674,1.347212,4.0,11.69081,5203.37723322376
1080.0,FW_W,W,2,RW_FW_W_S2,26,72.0,0.0,97.178665,1.347212,4.0,13.360926,5193.587807375159
1080.0,FW_W,W,3,RW_FW_W_S3,26,86.0,0.0,99.424874,1.347212,4.0,15.958884,6346.840123522464
1080.0,FW_W,W,4,RW_FW_W_S4,26,59.0,0.0,98.441772,1.347212,4.0,10.948537,4311.173532350256
1080.0,FW_W,W,5,RW_FW_W_S5,26,50.0,0.0,92.012313,1.347212,4.0,9.278421,3414.915908791092
1080.0,FW_W,W,6,RW_FW_W_S6,26,41.0,0.0,112.810373,1.347212,4.0,7.608305,3433.1828997910598
1080.0,FW_W,W,7,RW_FW_W_S7,26,42.0,0.0,119.752557,1.347212,4.0,7.793874,3733.345361743272
1140.0,FW_E,E,0,RW_FW_E_S0,2,83.0,0.0,96.052318,1.346639,4.0,15.408732,5920.177704163104
1140.0,FW_E,E,1,RW_FW_E_S1,2,66.0,0.0,113.535858,1.346639,4.0,12.252727,5564.495491139064
1140.0,FW_E,E,2,RW_FW_E_S2,2,55.0,0.0,118.158114,1.346639,4.0,10.210606,4825.863791028336
1140.0,FW_E,E,3,RW_FW_E_S3,2,67.0,0.0,95.301108,1.346639,4.0,12.438374,4741.563295673568
1140.0,FW_E,E,4,RW_FW_E_S4,2,39.0,0.0,108.957638,1.346639,4.0,7.240248,3155.521282456896
1140.0,FW_E,E,5,RW_FW_E_S5,2,39.0,0.0,99.313288,1.346639,4.0,7.240248,2876.211339261696
1140.0,FW_E,E,6,RW_FW_E_S6,2,49.0,0.0,117.966269,1.346639,4.0,9.096722,4292.4254178808715
1140.0,FW_E,E,7,RW_FW_E_S7,2,33.0,0.0,119.332301,1.346639,4.0,6.126363,2924.2919742050517
1140.0,FW_W,W,0,RW_FW_W_S0,26,98.0,0.0,94.718662,1.347212,4.0,18.185705,6890.102580506839
1140.0,FW_W,W,1,RW_FW_W_S1,26,67.0,0.0,113.191934,1.347212,4.0,12.433084,5629.299294177824
1140.0,FW_W,W,2,RW_FW_W_S2,26,76.0,0.0,93.581213,1.347212,4.0,14.1032,5279.1782527264
1140.0,FW_W,W,3,RW_FW_W_S3,26,58.0,0.0,110.273299,1.347212,4.0,10.762968,4747.471953565728
1140.0,FW_W,W,4,RW_FW_W_S4,26,78.0,2.0,97.509982,1.347212,4.0,14.474337,5645.569361327735
1140.0,FW_W,W,5,RW_FW_W_S5,26,68.0,0.0,101.359066,1.347212,4.0,12.618652,5116.059123596128
1140.0,FW_W,W,6,RW_FW_W_S6,26,43.0,0.0,108.563326,1.347212,4.0,7.979442,3465.099052576368
1140.0,FW_W,W,7,RW_FW_W_S7,26,37.0,0.0,117.545853,1.347212,4.0,6.866031,3228.293882477772
1200.0,FW_E,E,0,RW_FW_E_S0,2,82.0,0.0,93.305625,1.346639,4.0,15.223085,5681.5978414125
1200.0,FW_E,E,1,RW_FW_E_S1,2,62.0,0.0,116.400363,1.346639,4.0,11.510137,5359.136499918924
1200.0,FW_E,E,2,RW_FW_E_S2,2,78.0,0.0,111.862186,1.346639,4.0,14.480496,6479.279747697024
1200.0,FW_E,E,3,RW_FW_E_S3,2,58.0,0.0,101.648425,1.346639,4.0,10.767548,4378.0171812476
1200.0,FW_E,E,4,RW_FW_E_S4,2,53.0,0.0,105.950533,1.346639,4.0,9.839311,4169.920979211052
1200.0,FW_E,E,5,RW_FW_E_S5,2,54.0,0.0,96.573098,1.346639,4.0,10.024958,3872.565005519536
1200.0,FW_E,E,6,RW_FW_E_S6,2,34.0,0.0,103.539016,1.346639,4.0,6.312011,2614.157631684704
1200.0,FW_E,E,7,RW_FW_E_S7,2,49.0,0.0,116.367785,1.346639,4.0,9.096722,4234.26155960308
1200.0,FW_W,W,0,RW_FW_W_S0,26,96.0,0.0,83.785341,1.347212,4.0,17.814568,5970.398618590752
1200.0,FW_W,W,1,RW_FW_W_S1,26,83.0,0.0,109.110806,1.347212,4.0,15.402179,6722.176659385096
1200.0,FW_W,W,2,RW_FW_W_S2,26,80.0,0.0,93.894075,1.347212,4.0,14.845473,5575.6078210899
1200.0,FW_W,W,3,RW_FW_W_S3,26,75.0,0.0,94.523602,1.347212,4.0,13.917631,5262.178453707448
1200.0,FW_W,W,4,RW_FW_W_S4,26,64.0,1.0,83.717414,1.347212,4.0,11.876379,3977.038950255624
1200.0,FW_W,W,5,RW_FW_W_S5,26,83.0,0.0,81.939611,1.347212,4.0,15.402179,5048.194223249476
1200.0,FW_W,W,6,RW_FW_W_S6,26,45.0,0.0,111.841494,1.347212,4.0,8.350579,3735.764924500104
1200.0,FW_W,W,7,RW_FW_W_S7,26,55.0,0.0,113.535249,1.347212,4.0,10.206263,4635.082444257948
1260.0,FW_E,E,0,RW_FW_E_S0,2,81.0,0.0,95.33321,1.346639,4.0,15.037438,5734.268938863919
1260.0,FW_E,E,1,RW_FW_E_S1,2,73.0,0.0,115.151472,1.346639,4.0,13.552259,6242.2502911009915
1260.0,FW_E,E,2,RW_FW_E_S2,2,55.0,0.0,117.387907,1.346639,4.0,10.210606,4794.406670166568
1260.0,FW_E,E,3,RW_FW_E_S3,2,80.0,0.0,100.890881,1.346639,4.0,14.85179,5993.640710107959
1260.0,FW_E,E,4,RW_FW_E_S4,2,52.0,0.0,117.312704,1.346639,4.0,9.653664,4529.9897093898235
1260.0,FW_E,E,5,RW_FW_E_S5,2,58.0,1.0,89.47721,1.346639,4.0,10.767548,3853.8006143243197
1260.0,FW_E,E,6,RW_FW_E_S6,2,50.0,0.0,113.771093,1.346639,4.0,9.282369,4224.261067037268
1260.0,FW_E,E,7,RW_FW_E_S7,2,32.0,0.0,117.368843,1.346639,4.0,5.940716,2789.019854046352
1260.0,FW_W,W,0,RW_FW_W_S0,26,102.0,1.0,92.641715,1.347212,4.0,18.927979,7014.081744175941
1260.0,FW_W,W,1,RW_FW_W_S1,26,81.0,0.0,111.53026,1.347212,4.0,15.031042,6705.66408932368
1260.0,FW_W,W,2,RW_FW_W_S2,26,93.0,0.0,80.125583,1.347212,4.0,17.257863,5531.185336836516
1260.0,FW_W,W,3,RW_FW_W_S3,26,82.0,0.0,94.025578,1.347212,4.0,15.21661,5723.002201802319
1260.0,FW_W,W,4,RW_FW_W_S4,26,62.0,0.0,111.536238,1.347212,4.0,11.505242,5133.005639838384
1260.0,FW_W,W,5,RW_FW_W_S5,26,101.0,0.0,61.371226,1.347212,4.0,18.74241,4600.97871957864
1260.0,FW_W,W,6,RW_FW_W_S6,26,51.0,0.0,113.799996,1.347212,4.0,9.463989,4308.007641376175
1260.0,FW_W,W,7,RW_FW_W_S7,26,41.0,0.0,118.532616,1.347212,4.0,7.608305,3607.32917990352
1320.0,FW_E,E,0,RW_FW_E_S0,2,90.0,0.0,95.648141,1.346639,4.0,16.708264,6392.457563748896
1320.0,FW_E,E,1,RW_FW_E_S1,2,66.0,0.0,115.688414,1.346639,4.0,12.252727,5669.994215219912
1320.0,FW_E,E,2,RW_FW_E_S2,2,66.0,0.0,115.759498,1.346639,4.0,12.252727,5673.478106604184
1320.0,FW_E,E,3,RW_FW_E_S3,2,81.0,0.0,91.713045,1.346639,4.0,15.037438,5516.5169119148395
