model_link,density_bin_center_veh_km_lane,n,flow_mean_vph,flow_p85_vph,speed_mean_kph,count_mean_veh
FW_E,3.0,7,1522.6226384560096,1713.5185482200511,112.94519342857143,18.142857142857142
FW_E,5.0,81,2406.188176901595,2728.36011888412,113.4580713580247,28.59259259259259
FW_E,7.0,156,3180.712537815497,3558.822868178392,111.60374277564102,38.41025641025641
FW_E,9.0,116,3849.4389138749325,4270.386591062241,107.6950546637931,48.1551724137931
FW_E,11.0,93,4416.668528665123,4970.868221352429,102.92173168817204,57.795698924731184
FW_E,13.0,28,4850.1156019446,5296.451224640048,95.1380325,68.67857142857143
FW_E,15.0,6,5098.419082217686,5646.595451958028,84.934032,81.0
FW_E,17.0,1,4697.813454214056,4697.813454214056,71.889306,88.0
FW_W,3.0,10,1635.9573111909117,1793.506519615536,116.5169784,18.9
FW_W,5.0,69,2319.1374407657318,2672.182466911311,112.7594051594203,27.753623188405797
FW_W,7.0,126,3139.7157403018878,3479.707440294128,111.13283214285714,38.11904761904762
FW_W,9.0,137,3842.1087800071123,4251.313970805993,106.92638777372262,48.43065693430657
FW_W,11.0,93,4432.691418891942,4904.268365640481,102.51373758064516,58.333333333333336
FW_W,13.0,39,4850.560156160695,5420.184217449428,94.8587564102564,68.97435897435898
FW_W,15.0,8,5363.099520538219,6509.006936371973,89.872001875,80.375
FW_W,17.0,4,4542.7197261421,4677.913325578536,67.81921775,90.5
FW_W,19.0,1,4165.99782947586,4165.99782947586,55.024335,102.0
FW_W,21.0,1,5757.716954463632,5757.716954463632,70.516958,110.0
