sim_sec,model_link,direction,segment_index,segment_id,physical_link,count,stopped_count,mean_speed_kph,length_km,lanes,density_veh_km_lane,flow_vph
900.0,FW_E,E,0,RW_FW_E_S0,2,39.0,0.0,110.142556,1.346639,4.0,7.240248,3189.8376831755522
900.0,FW_E,E,1,RW_FW_E_S1,2,23.0,0.0,120.303368,1.346639,4.0,4.26989,2054.7285919580804
900.0,FW_E,E,2,RW_FW_E_S2,2,28.0,0.0,120.396714,1.346639,4.0,5.198127,2503.3496390187124
900.0,FW_E,E,3,RW_FW_E_S3,2,36.0,0.0,106.634946,1.346639,4.0,6.683306,2850.695897645904
900.0,FW_E,E,4,RW_FW_E_S4,2,42.0,0.0,98.386577,1.346639,4.0,7.79719,3068.55533727452
900.0,FW_E,E,5,RW_FW_E_S5,2,25.0,0.0,99.306803,1.346639,4.0,4.641184,1843.604580699008
900.0,FW_E,E,6,RW_FW_E_S6,2,37.0,0.0,113.057904,1.346639,4.0,6.868953,3106.357715418048
900.0,FW_E,E,7,RW_FW_E_S7,2,29.0,0.0,116.625627,1.346639,4.0,5.383774,2511.5440735051916
900.0,FW_W,W,0,RW_FW_W_S0,26,41.0,0.0,97.369021,1.347212,4.0,7.608305,2963.25283727762
900.0,FW_W,W,1,RW_FW_W_S1,26,40.0,0.0,118.85667,1.347212,4.0,7.422737,3528.9672084231597
900.0,FW_W,W,2,RW_FW_W_S2,26,41.0,0.0,104.946283,1.347212,4.0,7.608305,3193.8533187212597
900.0,FW_W,W,3,RW_FW_W_S3,26,39.0,0.0,114.428431,1.347212,4.0,7.237168,3312.551116493632
900.0,FW_W,W,4,RW_FW_W_S4,26,35.0,0.0,103.462049,1.347212,4.0,6.494895,2687.90057895942
900.0,FW_W,W,5,RW_FW_W_S5,26,46.0,0.0,81.771403,1.347212,4.0,8.536147,2792.050865616964
900.0,FW_W,W,6,RW_FW_W_S6,26,39.0,0.0,107.135821,1.347212,4.0,7.237168,3101.439741579712
900.0,FW_W,W,7,RW_FW_W_S7,26,19.0,0.0,120.579786,1.347212,4.0,3.5258,1700.5608379152
960.0,FW_E,E,0,RW_FW_E_S0,2,59.0,0.0,104.205763,1.346639,4.0,10.953195,4565.54416905114
960.0,FW_E,E,1,RW_FW_E_S1,2,34.0,0.0,117.723279,1.346639,4.0,6.312011,2972.282528016276
960.0,FW_E,E,2,RW_FW_E_S2,2,31.0,0.0,119.650415,1.346639,4.0,5.755069,2754.38557681454
960.0,FW_E,E,3,RW_FW_E_S3,2,31.0,0.0,108.724683,1.346639,4.0,5.755069,2502.8722106725077
960.0,FW_E,E,4,RW_FW_E_S4,2,24.0,0.0,120.515765,1.346639,4.0,4.455537,2147.8498001632197
960.0,FW_E,E,5,RW_FW_E_S5,2,44.0,0.0,99.364705,1.346639,4.0,8.168485,3246.6364092877
960.0,FW_E,E,6,RW_FW_E_S6,2,22.0,0.0,112.48782,1.346639,4.0,4.084242,1837.7099157297598
960.0,FW_E,E,7,RW_FW_E_S7,2,30.0,0.0,117.326107,1.346639,4.0,5.569421,2613.753936696188
960.0,FW_W,W,0,RW_FW_W_S0,26,73.0,0.0,96.669631,1.347212,4.0,13.546495,5238.1386919733795
960.0,FW_W,W,1,RW_FW_W_S1,26,38.0,0.0,121.029073,1.347212,4.0,7.0516,3413.7944446671995
960.0,FW_W,W,2,RW_FW_W_S2,26,36.0,0.0,115.029227,1.347212,4.0,6.680463,3073.7939795684038
960.0,FW_W,W,3,RW_FW_W_S3,26,35.0,0.0,116.737867,1.347212,4.0,6.494895,3032.8007547558595
960.0,FW_W,W,4,RW_FW_W_S4,26,32.0,0.0,118.13294,1.347212,4.0,5.938189,2805.9828993826404
960.0,FW_W,W,5,RW_FW_W_S5,26,42.0,0.0,93.700309,1.347212,4.0,7.793874,2921.153608428264
960.0,FW_W,W,6,RW_FW_W_S6,26,36.0,0.0,115.363292,1.347212,4.0,6.680463,3082.720815056784
960.0,FW_W,W,7,RW_FW_W_S7,26,44.0,0.0,117.738515,1.347212,4.0,8.16501,3845.3446094406004
1020.0,FW_E,E,0,RW_FW_E_S0,2,41.0,0.0,103.781819,1.346639,4.0,7.611543,3159.7591117468683
1020.0,FW_E,E,1,RW_FW_E_S1,2,47.0,0.0,115.503431,1.346639,4.0,8.725427,4031.267021760148
1020.0,FW_E,E,2,RW_FW_E_S2,2,46.0,0.0,114.618248,1.346639,4.0,8.539779,3915.2580291487675
1020.0,FW_E,E,3,RW_FW_E_S3,2,45.0,0.0,92.046201,1.346639,4.0,8.354132,3075.864453010128
1020.0,FW_E,E,4,RW_FW_E_S4,2,26.0,0.0,119.717343,1.346639,4.0,4.826832,2311.422008589504
1020.0,FW_E,E,5,RW_FW_E_S5,2,30.0,0.0,90.856629,1.346639,4.0,5.569421,2024.075270167236
1020.0,FW_E,E,6,RW_FW_E_S6,2,27.0,0.0,121.814573,1.346639,4.0,5.012479,2442.371956225868
1020.0,FW_E,E,7,RW_FW_E_S7,2,29.0,0.0,119.394055,1.346639,4.0,5.383774,2571.16243625428
1020.0,FW_W,W,0,RW_FW_W_S0,26,55.0,0.0,99.466324,1.347212,4.0,10.206263,4060.717849548848
1020.0,FW_W,W,1,RW_FW_W_S1,26,56.0,0.0,114.139827,1.347212,4.0,10.391831,4744.487170212948
1020.0,FW_W,W,2,RW_FW_W_S2,26,44.0,0.0,111.470829,1.347212,4.0,8.16501,3640.64173397316
1020.0,FW_W,W,3,RW_FW_W_S3,26,36.0,0.0,109.871345,1.347212,4.0,6.680463,2935.96582013094
1020.0,FW_W,W,4,RW_FW_W_S4,26,36.0,0.0,111.051787,1.347212,4.0,6.680463,2967.509416549524
1020.0,FW_W,W,5,RW_FW_W_S5,26,41.0,0.0,92.288525,1.347212,4.0,7.608305,2808.6369848005
1020.0,FW_W,W,6,RW_FW_W_S6,26,33.0,0.0,116.048375,1.347212,4.0,6.123758,2842.6086591729995
1020.0,FW_W,W,7,RW_FW_W_S7,26,35.0,0.0,114.699649,1.347212,4.0,6.494895,2979.84870716742
