t_start,kind,key,veh_h
0,mainline,FW_E,984.0
0,mainline,FW_W,912.0
0,ramp,R_D_E,48.0
0,ramp,R_D_W,48.0
0,ramp,R_F_E,0.0
0,ramp,R_F_W,0.0
150,mainline,FW_E,1152.0
150,mainline,FW_W,1320.0
150,ramp,R_D_E,720.0
150,ramp,R_D_W,816.0
150,ramp,R_F_E,120.0
150,ramp,R_F_W,264.0
300,mainline,FW_E,1368.0
300,mainline,FW_W,1200.0
300,ramp,R_D_E,552.0
300,ramp,R_D_W,720.0
300,ramp,R_F_E,384.0
300,ramp,R_F_W,792.0
450,mainline,FW_E,1104.0
450,mainline,FW_W,1512.0
450,ramp,R_D_E,720.0
450,ramp,R_D_W,624.0
450,ramp,R_F_E,264.0
450,ramp,R_F_W,1176.0
600,mainline,FW_E,1104.0
600,mainline,FW_W,936.0
600,ramp,R_D_E,624.0
600,ramp,R_D_W,864.0
600,ramp,R_F_E,384.0
600,ramp,R_F_W,1296.0
750,mainline,FW_E,1128.0
750,mainline,FW_W,840.0
750,ramp,R_D_E,744.0
750,ramp,R_D_W,1080.0
750,ramp,R_F_E,312.0
750,ramp,R_F_W,1392.0
900,mainline,FW_E,1824.0
900,mainline,FW_W,1920.0
900,ramp,R_D_E,576.0
900,ramp,R_D_W,960.0
900,ramp,R_F_E,336.0
900,ramp,R_F_W,984.0
1050,mainline,FW_E,1296.0
1050,mainline,FW_W,1584.0
1050,ramp,R_D_E,1128.0
1050,ramp,R_D_W,1032.0
1050,ramp,R_F_E,480.0
1050,ramp,R_F_W,1560.0
1200,mainline,FW_E,1464.0
1200,mainline,FW_W,1680.0
1200,ramp,R_D_E,1224.0
1200,ramp,R_D_W,1440.0
1200,ramp,R_F_E,600.0
1200,ramp,R_F_W,1632.0
1350,mainline,FW_E,1728.0
1350,mainline,FW_W,1560.0
1350,ramp,R_D_E,1008.0
1350,ramp,R_D_W,840.0
1350,ramp,R_F_E,552.0
1350,ramp,R_F_W,1752.0
1500,mainline,FW_E,1776.0
1500,mainline,FW_W,1920.0
1500,ramp,R_D_E,1104.0
1500,ramp,R_D_W,1056.0
1500,ramp,R_F_E,384.0
1500,ramp,R_F_W,1800.0
1650,mainline,FW_E,1584.0
1650,mainline,FW_W,1992.0
1650,ramp,R_D_E,1296.0
1650,ramp,R_D_W,1056.0
1650,ramp,R_F_E,528.0
1650,ramp,R_F_W,2064.0
1800,mainline,FW_E,1920.0
1800,mainline,FW_W,2184.0
1800,ramp,R_D_E,1032.0
1800,ramp,R_D_W,1224.0
1800,ramp,R_F_E,624.0
1800,ramp,R_F_W,1608.0
1950,mainline,FW_E,1824.0
1950,mainline,FW_W,1584.0
1950,ramp,R_D_E,1080.0
1950,ramp,R_D_W,1224.0
1950,ramp,R_F_E,864.0
1950,ramp,R_F_W,2232.0
2100,mainline,FW_E,1944.0
2100,mainline,FW_W,1680.0
2100,ramp,R_D_E,864.0
2100,ramp,R_D_W,1512.0
2100,ramp,R_F_E,528.0
2100,ramp,R_F_W,1632.0
2250,mainline,FW_E,1920.0
2250,mainline,FW_W,2040.0
2250,ramp,R_D_E,1056.0
2250,ramp,R_D_W,1320.0
2250,ramp,R_F_E,696.0
2250,ramp,R_F_W,2136.0
2400,mainline,FW_E,1824.0
2400,mainline,FW_W,1656.0
2400,ramp,R_D_E,1320.0
2400,ramp,R_D_W,1080.0
2400,ramp,R_F_E,528.0
2400,ramp,R_F_W,1752.0
2550,mainline,FW_E,2112.0
2550,mainline,FW_W,1464.0
2550,ramp,R_D_E,1080.0
2550,ramp,R_D_W,1248.0
2550,ramp,R_F_E,480.0
2550,ramp,R_F_W,1896.0
2700,mainline,FW_E,1728.0
2700,mainline,FW_W,1656.0
2700,ramp,R_D_E,960.0
2700,ramp,R_D_W,1296.0
2700,ramp,R_F_E,408.0
2700,ramp,R_F_W,1992.0
2850,mainline,FW_E,1944.0
2850,mainline,FW_W,1656.0
2850,ramp,R_D_E,1032.0
2850,ramp,R_D_W,1296.0
2850,ramp,R_F_E,624.0
2850,ramp,R_F_W,1776.0
3000,mainline,FW_E,1512.0
3000,mainline,FW_W,1344.0
3000,ramp,R_D_E,1224.0
3000,ramp,R_D_W,864.0
3000,ramp,R_F_E,384.0
3000,ramp,R_F_W,2064.0
3150,mainline,FW_E,1776.0
3150,mainline,FW_W,1656.0
3150,ramp,R_D_E,1104.0
3150,ramp,R_D_W,1248.0
3150,ramp,R_F_E,504.0
3150,ramp,R_F_W,1680.0
3300,mainline,FW_E,1680.0
3300,mainline,FW_W,1344.0
3300,ramp,R_D_E,1056.0
3300,ramp,R_D_W,960.0
3300,ramp,R_F_E,576.0
3300,ramp,R_F_W,1824.0
3450,mainline,FW_E,1920.0
3450,mainline,FW_W,1560.0
3450,ramp,R_D_E,744.0
3450,ramp,R_D_W,1248.0
3450,ramp,R_F_E,480.0
3450,ramp,R_F_W,1728.0
3600,mainline,FW_E,1152.0
3600,mainline,FW_W,1128.0
3600,ramp,R_D_E,1128.0
3600,ramp,R_D_W,1392.0
3600,ramp,R_F_E,288.0
3600,ramp,R_F_W,1896.0
3750,mainline,FW_E,1296.0
3750,mainline,FW_W,1440.0
3750,ramp,R_D_E,984.0
3750,ramp,R_D_W,1008.0
3750,ramp,R_F_E,432.0
3750,ramp,R_F_W,1440.0
3900,mainline,FW_E,1176.0
3900,mainline,FW_W,1200.0
3900,ramp,R_D_E,744.0
3900,ramp,R_D_W,1056.0
3900,ramp,R_F_E,384.0
3900,ramp,R_F_W,1464.0
4050,mainline,FW_E,1032.0
4050,mainline,FW_W,1104.0
4050,ramp,R_D_E,1392.0
4050,ramp,R_D_W,768.0
4050,ramp,R_F_E,360.0
4050,ramp,R_F_W,1488.0
4200,mainline,FW_E,1032.0
4200,mainline,FW_W,1416.0
4200,ramp,R_D_E,960.0
4200,ramp,R_D_W,720.0
4200,ramp,R_F_E,288.0
4200,ramp,R_F_W,1224.0
4350,mainline,FW_E,1440.0
4350,mainline,FW_W,1032.0
4350,ramp,R_D_E,1056.0
4350,ramp,R_D_W,960.0
4350,ramp,R_F_E,264.0
4350,ramp,R_F_W,1008.0
4500,mainline,FW_E,984.0
4500,mainline,FW_W,1104.0
4500,ramp,R_D_E,1056.0
4500,ramp,R_D_W,1008.0
4500,ramp,R_F_E,528.0
4500,ramp,R_F_W,1584.0
4650,mainline,FW_E,792.0
4650,mainline,FW_W,984.0
4650,ramp,R_D_E,768.0
4650,ramp,R_D_W,744.0
4650,ramp,R_F_E,240.0
4650,ramp,R_F_W,1272.0
4800,mainline,FW_E,672.0
4800,mainline,FW_W,792.0
4800,ramp,R_D_E,888.0
4800,ramp,R_D_W,720.0
4800,ramp,R_F_E,336.0
4800,ramp,R_F_W,1152.0
4950,mainline,FW_E,1032.0
4950,mainline,FW_W,720.0
4950,ramp,R_D_E,888.0
4950,ramp,R_D_W,768.0
4950,ramp,R_F_E,312.0
4950,ramp,R_F_W,768.0
5100,mainline,FW_E,984.0
5100,mainline,FW_W,888.0
5100,ramp,R_D_E,816.0
5100,ramp,R_D_W,816.0
5100,ramp,R_F_E,120.0
5100,ramp,R_F_W,1104.0
5250,mainline,FW_E,792.0
5250,mainline,FW_W,672.0
5250,ramp,R_D_E,960.0
5250,ramp,R_D_W,648.0
5250,ramp,R_F_E,336.0
5250,ramp,R_F_W,840.0
