link,run,L1_s_q200,L1_s_q500,L1_s_q1000,L1_first_t_q200,L1_stopveh_s,L2p_stopveh_s,L2p_s_q500
32,h0,0,0,0,,296730,596875,0
32,h11,2080,2710,3225,3301.0,488015,760195,2690
32,b0,0,0,630,,319265,555240,0
31,h0,0,0,0,,50,70,0
31,h11,0,715,2650,,71180,185,25
31,b0,0,5,190,,995,40,5
68,h0,1220,1355,1355,421.0,8375,20,0
68,h11,1650,1815,1815,421.0,12110,65,0
68,b0,1115,1235,1235,421.0,8210,10,0
69,h0,0,0,0,,10,0,0
69,h11,0,0,1490,,220650,44715,0
69,b0,0,0,1520,,227435,52750,0
70,h0,0,0,0,,35,1135,200
70,h11,2750,2750,2750,2651.0,65750,15915,1080
70,b0,2530,2530,2530,2871.0,60985,18990,1325
66,h0,0,0,0,,1450,773155,0
66,h11,0,0,0,,1850,733730,0
66,b0,0,0,0,,2290,749630,0
420,h0,0,0,390,,2300,9835,0
420,h11,2655,3670,4170,2586.0,221315,446645,3735
420,b0,0,0,745,,7465,14145,0
329,h0,3145,3145,3145,2066.0,43470,200585,4990
329,h11,3165,3165,3165,2171.0,40880,202420,4975
329,b0,2895,2895,2895,1356.0,38765,196345,4880
