win,nstop_mean_L1_nc_lcd200,nstop_mean_L2p_nc_lcd200,qmin_pos_min_L1_nc_lcd200,nstop_mean_L1_g1_lcd200,nstop_mean_L2p_g1_lcd200,qmin_pos_min_L1_g1_lcd200
0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,597.0,0.0,0.0,0.0
1050,0.0,0.0,624.0,0.0,0.0,0.0
1200,0.0,0.0,617.0,0.0,0.0,0.0
1350,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.0,353.0
1650,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.0,0.0,628.0,0.0,0.0,613.0
1950,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,615.0
2250,0.0,0.0,0.0,0.0,0.0,349.0
2400,0.0,0.0,0.0,0.0,0.0,355.0
2550,0.0,0.0,0.0,0.0,0.0,349.0
2700,0.0,0.0,0.0,0.0,0.0,625.0
2850,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,620.0,0.0,0.0,0.0
3150,0.0,0.0,364.0,0.0,0.0,355.0
3300,0.0,0.0,0.0,0.0,0.0,0.0
3450,0.0,1.0,328.0,0.0,0.0,359.0
3600,0.0,0.0,0.0,0.0,0.0,0.0
3750,0.0,0.0,0.0,0.0,0.0,622.0
3900,0.0,0.0,0.0,0.0,0.0,723.0
4050,0.0,0.0,0.0,0.0,0.0,0.0
4200,0.0,0.0,0.0,1.0,0.0,615.0
4350,0.0,0.0,0.0,8.0,0.0,676.0
4500,0.0,0.0,373.0,15.0,1.0,605.0
4650,0.0,0.0,0.0,21.0,1.0,356.0
4800,0.0,0.0,0.0,19.0,1.0,571.0
4950,0.0,0.0,0.0,22.0,0.0,585.0
5100,0.0,0.0,0.0,25.0,1.0,574.0
5250,0.0,0.0,0.0,20.0,2.0,570.0
