run,next_link,n,dwell_mean,stop_s_mean,veh_h,L1stop_s,L2pstop_s,n_L1_lt1000,n_L1stop_lt1000
nc_lcd200,-1,258,357.8,285.1,25.6,90.1,195.0,9,0
nc_lcd200,38,36,500.6,391.5,5.0,0.6,391.0,0,0
nc_lcd200,10118,1569,495.1,391.8,215.8,169.4,222.4,53,0
nc_lcd200,10482,1065,90.8,0.0,26.9,0.0,0.0,460,0
nc_lcd200,10490,393,131.9,22.7,14.4,22.4,0.3,143,0
nc_lcd200,10695,413,522.4,404.3,59.9,4.4,399.9,16,0
g1_lcd200,-1,237,214.9,142.8,14.1,49.9,92.9,38,28
g1_lcd200,38,29,256.9,175.3,2.1,0.0,175.3,0,0
g1_lcd200,10118,2275,265.5,181.6,167.8,71.9,109.6,63,3
g1_lcd200,10482,1012,105.9,13.3,29.8,4.4,8.9,449,40
g1_lcd200,10490,488,87.8,3.4,11.9,3.0,0.4,139,12
g1_lcd200,10695,360,299.0,205.5,29.9,1.1,204.4,7,2
