next_link,pbin,win900,rows,L1rows,stop,L1stop
-1,0,2,2,0,0,0
-1,0,5,136,56,0,0
-1,100,2,2,0,0,0
-1,100,5,147,60,0,0
-1,200,2,3,0,0,0
-1,200,5,135,52,0,0
-1,300,2,2,0,0,0
-1,300,5,137,55,0,0
-1,400,2,2,0,0,0
-1,400,5,137,52,0,0
-1,500,2,3,0,0,0
-1,500,5,130,52,0,0
-1,600,2,2,0,0,0
-1,600,5,134,53,0,0
-1,700,2,3,0,0,0
-1,700,5,136,49,0,0
-1,800,2,2,0,0,0
-1,800,5,1027,477,870,426
-1,900,2,2,0,0,0
-1,900,5,2203,1054,2002,990
-1,1000,2,5,0,4,0
-1,1000,3,3,0,0,0
-1,1000,5,224,80,198,72
-1,1100,3,2,0,0,0
-1,1100,5,5,2,0,0
-1,1200,0,1,0,0,0
-1,1200,1,6,2,0,0
-1,1200,2,8,6,0,0
-1,1200,3,8,4,0,0
-1,1200,4,2,1,1,1
-1,1200,5,35,30,0,0
-1,1300,0,1,0,0,0
-1,1300,1,13,1,0,0
-1,1300,2,20,1,0,0
-1,1300,3,17,0,0,0
-1,1300,4,4,0,0,0
-1,1300,5,76,45,0,0
-1,1400,0,2,0,0,0
-1,1400,1,24,0,10,0
-1,1400,2,20,0,0,0
-1,1400,3,21,1,0,0
-1,1400,4,7,0,2,0
-1,1400,5,331,144,148,68
-1,1500,0,2,0,0,0
-1,1500,1,93,4,63,2
-1,1500,2,127,9,86,5
-1,1500,3,83,5,43,2
-1,1500,4,31,0,22,0
-1,1500,5,1139,339,808,253
-1,1600,0,1,0,0,0
-1,1600,1,47,4,25,0
-1,1600,2,102,21,72,14
-1,1600,3,135,17,95,13
-1,1600,4,48,0,40,0
-1,1600,5,1026,281,748,200
-1,1700,0,2,0,0,0
-1,1700,1,89,34,64,29
-1,1700,2,110,37,77,27
-1,1700,3,124,11,77,1
-1,1700,4,112,0,90,0
-1,1700,5,684,153,499,106
-1,1800,0,2,0,0,0
-1,1800,1,38,5,17,0
-1,1800,2,53,9,34,2
-1,1800,3,198,49,151,43
-1,1800,4,55,2,33,0
-1,1800,5,182,56,68,17
-1,1900,0,16,0,14,0
-1,1900,1,92,33,76,28
-1,1900,2,129,35,114,29
-1,1900,3,88,7,59,1
-1,1900,4,85,16,71,15
-1,1900,5,112,31,87,22
38,1200,0,1,0,0,0
38,1200,1,1,1,0,0
38,1200,2,2,1,0,0
38,1200,4,2,1,0,0
38,1200,5,1,1,0,0
38,1300,0,5,0,0,0
38,1300,1,3,0,0,0
38,1300,2,9,4,0,0
38,1300,3,6,2,0,0
38,1300,4,7,0,0,0
38,1300,5,3,1,0,0
38,1400,0,2,0,0,0
38,1400,1,6,0,2,0
38,1400,2,11,1,1,0
38,1400,3,5,0,0,0
38,1400,4,16,0,8,0
38,1400,5,37,0,28,0
38,1500,0,2,0,0,0
38,1500,1,23,0,14,0
38,1500,2,44,0,26,0
38,1500,3,27,0,17,0
38,1500,4,45,0,29,0
38,1500,5,83,0,68,0
38,1600,0,6,0,0,0
38,1600,1,38,0,31,0
38,1600,2,99,0,80,0
38,1600,3,66,0,49,0
38,1600,4,67,0,48,0
38,1600,5,48,0,36,0
38,1700,0,6,0,0,0
38,1700,1,42,0,31,0
38,1700,2,47,0,32,0
38,1700,3,66,0,47,0
38,1700,4,62,0,40,0
38,1700,5,83,0,67,0
38,1800,0,58,0,45,0
38,1800,1,30,0,19,0
38,1800,2,63,0,43,0
38,1800,3,64,0,46,0
38,1800,4,110,0,83,0
38,1800,5,70,0,53,0
38,1900,0,5,0,0,0
38,1900,1,2,0,0,0
38,1900,2,18,0,9,0
38,1900,3,16,0,6,0
38,1900,4,45,0,33,0
38,1900,5,38,0,26,0
10118,0,0,38,11,0,0
10118,0,1,36,13,0,0
10118,0,2,53,20,0,0
10118,0,3,54,22,0,0
10118,0,4,38,15,0,0
10118,0,5,10,0,0,0
10118,100,0,44,13,0,0
10118,100,1,44,16,0,0
10118,100,2,54,22,0,0
10118,100,3,54,21,0,0
10118,100,4,39,16,0,0
10118,100,5,10,0,0,0
10118,200,0,43,13,0,0
10118,200,1,41,15,0,0
10118,200,2,55,22,0,0
10118,200,3,50,22,0,0
10118,200,4,46,21,0,0
10118,200,5,13,0,0,0
10118,300,0,42,13,0,0
10118,300,1,37,13,0,0
10118,300,2,58,25,0,0
10118,300,3,52,22,0,0
10118,300,4,42,16,0,0
10118,300,5,10,0,0,0
10118,400,0,39,11,0,0
10118,400,1,35,8,0,0
10118,400,2,55,24,0,0
10118,400,3,47,22,0,0
10118,400,4,46,18,0,0
10118,400,5,12,0,0,0
10118,500,0,45,13,0,0
10118,500,1,40,14,0,0
10118,500,2,58,22,0,0
10118,500,3,54,22,0,0
10118,500,4,43,18,0,0
10118,500,5,11,0,0,0
10118,600,0,43,13,0,0
10118,600,1,41,12,0,0
10118,600,2,56,20,0,0
10118,600,3,54,21,0,0
10118,600,4,45,12,0,0
10118,600,5,14,0,0,0
10118,700,0,37,7,0,0
10118,700,1,36,14,0,0
10118,700,2,51,21,0,0
10118,700,3,51,19,0,0
10118,700,4,46,19,0,0
10118,700,5,13,0,0,0
10118,800,0,42,10,0,0
10118,800,1,40,14,0,0
10118,800,2,53,28,0,0
10118,800,3,57,26,0,0
10118,800,4,50,25,0,0
10118,800,5,12,1,0,0
10118,900,0,41,9,0,0
10118,900,1,42,17,0,0
10118,900,2,54,32,3,3
10118,900,3,62,33,7,7
10118,900,4,47,22,0,0
10118,900,5,20,2,4,0
10118,1000,0,38,9,0,0
10118,1000,1,45,20,0,0
10118,1000,2,55,30,1,1
10118,1000,3,55,29,7,7
10118,1000,4,45,24,0,0
10118,1000,5,26,1,13,0
10118,1100,0,41,11,0,0
10118,1100,1,38,15,0,0
10118,1100,2,50,26,0,0
10118,1100,3,54,25,0,0
10118,1100,4,51,30,0,0
10118,1100,5,14,2,0,0
10118,1200,0,114,82,1,1
10118,1200,1,166,125,1,1
10118,1200,2,160,124,1,1
10118,1200,3,147,104,0,0
10118,1200,4,127,101,0,0
10118,1200,5,69,56,0,0
10118,1300,0,226,103,0,0
10118,1300,1,315,188,0,0
10118,1300,2,301,145,0,0
10118,1300,3,272,124,0,0
10118,1300,4,239,148,0,0
10118,1300,5,160,107,0,0
10118,1400,0,193,75,0,0
10118,1400,1,679,351,211,106
10118,1400,2,373,163,37,10
10118,1400,3,281,119,3,3
10118,1400,4,953,466,525,260
10118,1400,5,1816,785,1353,590
10118,1500,0,384,171,98,50
10118,1500,1,4324,1698,3109,1237
10118,1500,2,3940,1519,2636,994
10118,1500,3,3212,1213,2081,764
10118,1500,4,4195,1762,3071,1325
10118,1500,5,3995,1796,3123,1448
10118,1600,0,1367,539,933,370
10118,1600,1,4367,1743,3051,1294
10118,1600,2,4210,1632,2781,1109
10118,1600,3,4556,1769,3169,1264
10118,1600,4,4859,1886,3572,1391
10118,1600,5,4249,1686,3274,1315
10118,1700,0,1728,767,1158,540
10118,1700,1,4565,1737,3204,1278
10118,1700,2,4726,1829,3159,1240
10118,1700,3,4600,1827,3220,1321
10118,1700,4,4643,1904,3306,1430
10118,1700,5,4329,1748,3177,1310
10118,1800,0,2620,1083,1936,808
10118,1800,1,4298,1697,3005,1223
10118,1800,2,4625,1660,3126,1134
10118,1800,3,5004,1846,3668,1361
10118,1800,4,4885,1805,3627,1355
10118,1800,5,4598,1814,3444,1364
10118,1900,0,2193,921,1842,753
10118,1900,1,2817,989,2222,750
10118,1900,2,3014,1028,2340,757
10118,1900,3,2936,1083,2324,839
10118,1900,4,2979,1123,2367,862
10118,1900,5,3013,1093,2427,851
10368,1200,2,1,0,0,0
10368,1300,2,2,0,0,0
10368,1400,2,2,0,0,0
10368,1500,2,16,0,12,0
10368,1600,2,3,2,0,0
10368,1700,2,16,16,11,11
10368,1800,2,2,2,0,0
10368,1900,2,1,1,0,0
10482,-100,2,1,1,0,0
10482,0,0,287,88,0,0
10482,0,1,339,111,0,0
10482,0,2,403,123,0,0
10482,0,3,338,111,0,0
10482,0,4,251,90,0,0
10482,0,5,76,31,0,0
10482,100,0,300,96,0,0
10482,100,1,358,121,0,0
10482,100,2,422,130,0,0
10482,100,3,361,120,0,0
10482,100,4,275,96,0,0
10482,100,5,77,32,0,0
10482,200,0,301,97,0,0
10482,200,1,358,125,0,0
10482,200,2,422,124,0,0
10482,200,3,360,121,0,0
10482,200,4,260,97,0,0
10482,200,5,88,37,0,0
10482,300,0,292,94,0,0
10482,300,1,342,117,0,0
10482,300,2,425,120,0,0
10482,300,3,352,112,0,0
10482,300,4,273,99,0,0
10482,300,5,90,38,0,0
10482,400,0,293,96,0,0
10482,400,1,355,119,0,0
10482,400,2,429,119,0,0
10482,400,3,357,110,0,0
10482,400,4,277,102,0,0
10482,400,5,98,36,0,0
10482,500,0,289,89,0,0
10482,500,1,360,121,0,0
10482,500,2,429,121,0,0
10482,500,3,365,118,0,0
10482,500,4,263,95,0,0
10482,500,5,89,33,0,0
10482,600,0,278,82,0,0
10482,600,1,362,122,0,0
10482,600,2,428,122,0,0
10482,600,3,358,108,0,0
10482,600,4,272,98,0,0
10482,600,5,97,39,0,0
10482,700,0,286,89,0,0
10482,700,1,351,122,0,0
10482,700,2,416,107,0,0
10482,700,3,344,101,0,0
10482,700,4,279,100,0,0
10482,700,5,103,41,0,0
10482,800,0,287,99,0,0
10482,800,1,351,130,0,0
10482,800,2,424,140,0,0
10482,800,3,362,122,0,0
10482,800,4,275,107,0,0
10482,800,5,123,45,10,2
10482,900,0,279,108,0,0
10482,900,1,350,136,0,0
10482,900,2,513,206,60,26
10482,900,3,678,250,220,70
10482,900,4,276,110,0,0
10482,900,5,1388,469,1185,394
10482,1000,0,82,27,0,0
10482,1000,1,112,45,0,0
10482,1000,2,272,112,115,44
10482,1000,3,288,103,117,34
10482,1000,4,78,35,0,0
10482,1000,5,1063,355,979,316
10490,0,0,96,37,0,0
10490,0,1,151,49,0,0
10490,0,2,134,48,0,0
10490,0,3,103,29,0,0
10490,0,4,72,17,0,0
10490,0,5,38,8,0,0
10490,100,0,94,35,0,0
10490,100,1,138,45,0,0
10490,100,2,142,56,0,0
10490,100,3,100,32,0,0
10490,100,4,76,17,0,0
10490,100,5,33,6,0,0
10490,200,0,91,35,0,0
10490,200,1,147,45,0,0
10490,200,2,151,63,0,0
10490,200,3,101,32,0,0
10490,200,4,78,17,0,0
10490,200,5,37,6,0,0
10490,300,0,96,37,0,0
10490,300,1,143,49,0,0
10490,300,2,138,52,0,0
10490,300,3,102,29,0,0
10490,300,4,82,18,0,0
10490,300,5,38,8,0,0
10490,400,0,91,32,0,0
10490,400,1,141,46,0,0
10490,400,2,149,55,0,0
10490,400,3,97,27,0,0
10490,400,4,83,20,0,0
10490,400,5,36,8,0,0
10490,500,0,91,34,0,0
10490,500,1,139,44,0,0
10490,500,2,152,59,0,0
10490,500,3,93,25,0,0
10490,500,4,90,19,0,0
10490,500,5,35,5,0,0
10490,600,0,94,35,0,0
10490,600,1,143,51,0,0
10490,600,2,146,53,0,0
10490,600,3,97,25,0,0
10490,600,4,85,20,0,0
10490,600,5,37,7,0,0
10490,700,0,95,33,0,0
10490,700,1,144,49,0,0
10490,700,2,147,55,0,0
10490,700,3,93,23,0,0
10490,700,4,89,17,0,0
10490,700,5,38,8,0,0
10490,800,0,85,33,0,0
10490,800,1,134,55,0,0
10490,800,2,147,60,0,0
10490,800,3,97,33,0,0
10490,800,4,86,22,0,0
10490,800,5,44,13,3,3
10490,900,0,90,36,0,0
10490,900,1,148,62,0,0
10490,900,2,157,69,9,9
10490,900,3,135,69,21,21
10490,900,4,89,23,0,0
10490,900,5,173,133,110,108
10490,1000,0,91,38,0,0
10490,1000,1,134,56,0,0
10490,1000,2,164,71,13,11
10490,1000,3,119,54,12,12
10490,1000,4,87,21,0,0
10490,1000,5,207,138,164,129
10490,1100,0,89,45,0,0
10490,1100,1,127,71,0,0
10490,1100,2,146,70,0,0
10490,1100,3,100,49,0,0
10490,1100,4,89,40,0,0
10490,1100,5,37,11,0,0
10490,1200,0,94,92,0,0
10490,1200,1,179,175,1,1
10490,1200,2,183,176,1,1
10490,1200,3,139,137,0,0
10490,1200,4,100,95,0,0
10490,1200,5,47,47,0,0
10490,1300,0,38,36,0,0
10490,1300,1,54,54,0,0
10490,1300,2,63,62,0,0
10490,1300,3,50,49,0,0
10490,1300,4,36,35,0,0
10490,1300,5,22,22,0,0
10695,0,0,8,1,0,0
10695,0,1,15,2,0,0
10695,0,2,9,3,0,0
10695,0,3,9,2,0,0
10695,0,4,4,0,0,0
10695,0,5,5,0,0,0
10695,100,0,8,2,0,0
10695,100,1,12,1,0,0
10695,100,2,8,4,0,0
10695,100,3,9,1,0,0
10695,100,4,5,0,0,0
10695,100,5,6,0,0,0
10695,200,0,7,2,0,0
10695,200,1,13,2,0,0
10695,200,2,10,4,0,0
10695,200,3,7,2,0,0
10695,200,4,3,0,0,0
10695,200,5,5,0,0,0
10695,300,0,9,2,0,0
10695,300,1,14,2,0,0
10695,300,2,8,3,0,0
10695,300,3,10,2,0,0
10695,300,4,4,0,0,0
10695,300,5,5,0,0,0
10695,400,0,6,1,0,0
10695,400,1,13,1,0,0
10695,400,2,9,4,0,0
10695,400,3,8,2,0,0
10695,400,4,4,0,0,0
10695,400,5,5,0,0,0
10695,500,0,8,2,0,0
10695,500,1,14,2,0,0
10695,500,2,8,3,0,0
10695,500,3,9,2,0,0
10695,500,4,5,0,0,0
10695,500,5,5,0,0,0
10695,600,0,8,2,0,0
10695,600,1,12,2,0,0
10695,600,2,8,2,0,0
10695,600,3,11,4,0,0
10695,600,4,3,0,0,0
10695,600,5,5,0,0,0
10695,700,0,8,2,0,0
10695,700,1,15,2,0,0
10695,700,2,6,3,0,0
10695,700,3,10,2,0,0
10695,700,4,4,0,0,0
10695,700,5,5,0,0,0
10695,800,0,8,2,0,0
10695,800,1,14,2,0,0
10695,800,2,7,4,0,0
10695,800,3,10,3,0,0
10695,800,4,4,0,0,0
10695,800,5,6,0,0,0
10695,900,0,7,1,0,0
10695,900,1,13,2,0,0
10695,900,2,12,8,4,4
10695,900,3,18,10,6,5
10695,900,4,4,0,0,0
10695,900,5,4,0,0,0
10695,1000,0,7,2,0,0
10695,1000,1,14,2,0,0
10695,1000,2,8,4,4,4
10695,1000,3,18,10,3,3
10695,1000,4,4,0,0,0
10695,1000,5,6,0,0,0
10695,1100,0,8,2,0,0
10695,1100,1,12,1,0,0
10695,1100,2,5,1,0,0
10695,1100,3,12,5,0,0
10695,1100,4,4,0,0,0
10695,1100,5,5,0,0,0
10695,1200,0,27,20,0,0
10695,1200,1,42,20,1,1
10695,1200,2,34,27,0,0
10695,1200,3,36,25,1,1
10695,1200,4,18,13,0,0
10695,1200,5,19,10,0,0
10695,1300,0,58,14,0,0
10695,1300,1,79,20,0,0
10695,1300,2,59,18,0,0
10695,1300,3,67,19,0,0
10695,1300,4,51,17,0,0
10695,1300,5,38,14,0,0
10695,1400,0,51,9,0,0
10695,1400,1,170,15,63,3
10695,1400,2,106,16,21,0
10695,1400,3,66,8,0,0
10695,1400,4,176,10,71,0
10695,1400,5,255,11,166,4
10695,1500,0,85,10,16,0
10695,1500,1,504,4,300,1
10695,1500,2,430,14,248,8
10695,1500,3,422,31,284,22
10695,1500,4,763,2,580,0
10695,1500,5,852,0,700,0
10695,1600,0,172,8,78,0
10695,1600,1,957,2,739,2
10695,1600,2,877,16,670,12
10695,1600,3,803,6,585,1
10695,1600,4,701,0,501,0
10695,1600,5,595,0,436,0
10695,1700,0,564,14,422,6
10695,1700,1,649,0,415,0
10695,1700,2,653,3,432,1
10695,1700,3,886,2,664,1
10695,1700,4,863,0,670,0
10695,1700,5,773,0,596,0
10695,1800,0,795,4,630,1
10695,1800,1,1108,0,831,0
10695,1800,2,757,0,545,0
10695,1800,3,763,0,540,0
10695,1800,4,772,0,560,0
10695,1800,5,884,0,664,0
10695,1900,0,573,0,488,0
10695,1900,1,453,0,347,0
10695,1900,2,343,0,246,0
10695,1900,3,587,0,479,0
10695,1900,4,503,0,402,0
10695,1900,5,496,0,391,0
