win,dest,lg,zone,n,n_stop,run
0,RDE,L1,dn>=1029,16,0,nc_lcd200
0,RDE,L1,up<1029,82,0,nc_lcd200
0,RDE,L2p,dn>=1029,8,0,nc_lcd200
0,RDE,L2p,up<1029,112,0,nc_lcd200
0,RDW,L1,up<1029,93,0,nc_lcd200
0,RDW,L2p,up<1029,237,0,nc_lcd200
0,SIG,L1,dn>=1029,24,3,nc_lcd200
0,SIG,L1,up<1029,11,0,nc_lcd200
0,SIG,L2p,dn>=1029,16,0,nc_lcd200
0,SIG,L2p,up<1029,59,0,nc_lcd200
150,END,L2p,dn>=1029,10,0,nc_lcd200
150,RDE,L1,dn>=1029,55,0,nc_lcd200
150,RDE,L1,up<1029,77,0,nc_lcd200
150,RDE,L2p,dn>=1029,22,0,nc_lcd200
150,RDE,L2p,up<1029,112,0,nc_lcd200
150,RDW,L1,up<1029,142,0,nc_lcd200
150,RDW,L2p,up<1029,402,0,nc_lcd200
150,SIG,L1,dn>=1029,227,73,nc_lcd200
150,SIG,L1,up<1029,38,0,nc_lcd200
150,SIG,L2p,dn>=1029,337,144,nc_lcd200
150,SIG,L2p,up<1029,62,0,nc_lcd200
300,END,L2p,dn>=1029,17,14,nc_lcd200
300,RDE,L1,dn>=1029,39,0,nc_lcd200
300,RDE,L1,up<1029,77,0,nc_lcd200
300,RDE,L2p,dn>=1029,24,0,nc_lcd200
300,RDE,L2p,up<1029,127,0,nc_lcd200
300,RDW,L1,up<1029,166,0,nc_lcd200
300,RDW,L2p,up<1029,393,0,nc_lcd200
300,SIG,L1,dn>=1029,467,219,nc_lcd200
300,SIG,L1,up<1029,47,0,nc_lcd200
300,SIG,L2p,dn>=1029,971,534,nc_lcd200
300,SIG,L2p,up<1029,54,0,nc_lcd200
450,RDE,L1,dn>=1029,36,0,nc_lcd200
450,RDE,L1,up<1029,35,0,nc_lcd200
450,RDE,L2p,dn>=1029,13,0,nc_lcd200
450,RDE,L2p,up<1029,80,0,nc_lcd200
450,RDW,L1,up<1029,169,0,nc_lcd200
450,RDW,L2p,up<1029,248,0,nc_lcd200
450,SIG,L1,dn>=1029,650,370,nc_lcd200
450,SIG,L1,up<1029,8,0,nc_lcd200
450,SIG,L2p,dn>=1029,1418,954,nc_lcd200
450,SIG,L2p,up<1029,109,0,nc_lcd200
600,RDE,L1,dn>=1029,22,0,nc_lcd200
600,RDE,L1,up<1029,65,0,nc_lcd200
600,RDE,L2p,dn>=1029,5,0,nc_lcd200
600,RDE,L2p,up<1029,96,0,nc_lcd200
600,RDW,L1,up<1029,197,0,nc_lcd200
600,RDW,L2p,up<1029,422,0,nc_lcd200
600,SIG,L1,dn>=1029,1094,815,nc_lcd200
600,SIG,L1,up<1029,18,0,nc_lcd200
600,SIG,L2p,dn>=1029,2117,1557,nc_lcd200
600,SIG,L2p,up<1029,38,0,nc_lcd200
750,RDE,L1,dn>=1029,32,0,nc_lcd200
750,RDE,L1,up<1029,22,0,nc_lcd200
750,RDE,L2p,dn>=1029,12,0,nc_lcd200
750,RDE,L2p,up<1029,66,0,nc_lcd200
750,RDW,L1,up<1029,198,0,nc_lcd200
750,RDW,L2p,up<1029,307,0,nc_lcd200
750,SIG,L1,dn>=1029,1379,1049,nc_lcd200
750,SIG,L1,up<1029,11,0,nc_lcd200
750,SIG,L2p,dn>=1029,2614,1929,nc_lcd200
750,SIG,L2p,up<1029,51,0,nc_lcd200
900,RDE,L1,dn>=1029,29,0,nc_lcd200
900,RDE,L1,up<1029,63,0,nc_lcd200
900,RDE,L2p,dn>=1029,13,0,nc_lcd200
900,RDE,L2p,up<1029,144,0,nc_lcd200
900,RDW,L1,up<1029,226,0,nc_lcd200
900,RDW,L2p,up<1029,397,0,nc_lcd200
900,SIG,L1,dn>=1029,1672,1295,nc_lcd200
900,SIG,L1,up<1029,46,0,nc_lcd200
900,SIG,L2p,dn>=1029,3073,2443,nc_lcd200
900,SIG,L2p,up<1029,30,0,nc_lcd200
1050,RDE,L1,dn>=1029,63,0,nc_lcd200
1050,RDE,L1,up<1029,117,0,nc_lcd200
1050,RDE,L2p,dn>=1029,23,0,nc_lcd200
1050,RDE,L2p,up<1029,199,0,nc_lcd200
1050,RDW,L1,up<1029,271,0,nc_lcd200
1050,RDW,L2p,up<1029,477,0,nc_lcd200
1050,SIG,L1,dn>=1029,1717,1375,nc_lcd200
1050,SIG,L1,up<1029,3,0,nc_lcd200
1050,SIG,L2p,dn>=1029,3518,2729,nc_lcd200
1050,SIG,L2p,up<1029,119,0,nc_lcd200
1200,END,L1,dn>=1029,14,10,nc_lcd200
1200,END,L2p,dn>=1029,3,0,nc_lcd200
1200,RDE,L1,dn>=1029,74,1,nc_lcd200
1200,RDE,L1,up<1029,78,0,nc_lcd200
1200,RDE,L2p,dn>=1029,22,0,nc_lcd200
1200,RDE,L2p,up<1029,130,0,nc_lcd200
1200,RDW,L1,up<1029,194,0,nc_lcd200
1200,RDW,L2p,up<1029,343,0,nc_lcd200
1200,SIG,L1,dn>=1029,1723,1327,nc_lcd200
1200,SIG,L1,up<1029,52,0,nc_lcd200
1200,SIG,L2p,dn>=1029,3711,2904,nc_lcd200
1200,SIG,L2p,up<1029,102,0,nc_lcd200
1350,END,L1,dn>=1029,30,25,nc_lcd200
1350,END,L2p,dn>=1029,8,5,nc_lcd200
1350,RDE,L1,dn>=1029,53,1,nc_lcd200
1350,RDE,L1,up<1029,85,0,nc_lcd200
1350,RDE,L2p,dn>=1029,13,0,nc_lcd200
1350,RDE,L2p,up<1029,114,0,nc_lcd200
