pbin,L1share_ramp_h0_all,L1share_signal_h0_all,stopshare_ramp_h0,stopshare_signal_h0,L1share_ramp_h11_all,L1share_signal_h11_all,stopshare_ramp_h11,stopshare_signal_h11,L1share_ramp_b0_all,L1share_signal_b0_all,stopshare_ramp_b0,stopshare_signal_b0
0,0.71,0.2,0.06,0.01,0.71,0.21,0.07,0.01,0.73,0.2,0.09,0.0
100,0.95,0.17,0.15,0.02,0.94,0.13,0.23,0.0,0.94,0.12,0.18,0.0
200,0.97,0.39,0.16,0.04,0.97,0.41,0.2,0.04,0.97,0.42,0.15,0.04
300,0.98,0.16,0.0,0.0,0.95,0.16,0.11,0.0,0.98,0.17,0.0,0.0
400,,0.17,,0.0,,0.17,,0.0,,0.18,,0.0
500,,0.29,,0.0,,0.3,,0.0,,0.3,,0.0
600,,0.42,,0.0,,0.43,,0.0,,0.46,,0.0
700,,0.36,,0.0,,0.37,,0.0,,0.4,,0.0
800,,0.35,,0.0,,0.35,,0.0,,0.39,,0.0
900,,0.34,,0.0,,0.34,,0.0,,0.39,,0.0
1000,,0.33,,0.0,,0.33,,0.0,,0.37,,0.0
1100,,0.32,,0.0,,0.33,,0.0,,0.36,,0.0
1200,,0.32,,0.0,,0.33,,0.0,,0.35,,0.0
1300,,0.31,,0.0,,0.32,,0.0,,0.35,,0.0
1400,,0.31,,0.0,,0.32,,0.0,,0.34,,0.0
1500,,0.31,,0.0,,0.32,,0.0,,0.34,,0.0
1600,,0.3,,0.0,,0.31,,0.0,,0.33,,0.0
1700,,0.3,,0.0,,0.32,,0.0,,0.33,,0.0
1800,,0.3,,0.0,,0.31,,0.0,,0.33,,0.0
1900,,0.29,,0.0,,0.31,,0.0,,0.33,,0.0
2000,,0.36,,0.0,,0.34,,0.0,,0.31,,0.0
