run,next_link,n,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s,L2pstop_s,n_L1stop_lt1000
h0,-1,31,81.0,130.0,0.0,0.0,0.7,0.0,0.0,0
h0,10636,97,158.0,165.0,0.0,0.0,4.3,0.0,0.0,0
h0,10637,292,161.8,180.0,0.0,0.0,13.1,0.0,0.0,0
h0,10640,31,163.1,195.0,0.0,0.0,1.4,0.0,0.0,0
h0,10644,1173,164.6,185.0,0.0,0.0,53.6,0.0,0.0,1
h11,-1,302,884.4,1664.0,715.7,60.0,74.2,588.9,126.9,83
h11,10636,97,158.3,165.0,0.1,0.0,4.3,0.1,0.0,1
h11,10637,248,223.5,290.0,48.5,3.3,15.4,31.3,17.3,3
h11,10640,29,199.3,284.0,21.9,0.2,1.6,0.0,21.9,0
h11,10644,948,207.6,200.0,38.5,10.2,54.7,37.0,1.6,1
b0,-1,296,852.9,1635.0,686.7,56.5,70.1,539.7,147.0,95
b0,10636,97,158.2,165.0,0.1,0.0,4.3,0.1,0.0,1
b0,10637,257,268.2,620.0,90.1,6.4,19.1,63.7,26.5,1
b0,10640,29,211.4,289.0,33.4,0.3,1.7,0.0,33.4,0
b0,10644,945,224.9,210.0,55.8,14.7,59.0,54.3,1.6,1
