,,n,n,n,dwell,dwell,dwell,stop_s,stop_s,stop_s
run,,b0,h0,h11,b0,h0,h11,b0,h0,h11
next_link,w900,,,,,,,,,
-1,2700,1.0,,1.0,235.0,,1810.0,45.0,,1580.0
-1,3600,149.0,,155.0,1264.0,,1300.0,1094.0,,1118.0
-1,4500,146.0,31.0,146.0,437.0,81.0,437.0,276.0,0.0,283.0
10636,0,8.0,8.0,8.0,148.0,148.0,148.0,0.0,0.0,0.0
10636,900,21.0,21.0,21.0,158.0,158.0,158.0,0.0,0.0,0.0
10636,1800,29.0,29.0,29.0,163.0,163.0,163.0,0.0,0.0,0.0
10636,2700,15.0,15.0,15.0,153.0,153.0,153.0,0.0,0.0,0.0
10636,3600,13.0,13.0,13.0,163.0,163.0,163.0,0.0,0.0,0.0
10636,4500,11.0,11.0,11.0,154.0,152.0,154.0,0.0,0.0,0.0
10637,0,33.0,33.0,33.0,156.0,156.0,156.0,0.0,0.0,0.0
10637,900,65.0,65.0,65.0,165.0,165.0,165.0,0.0,0.0,0.0
10637,1800,73.0,73.0,73.0,165.0,166.0,165.0,0.0,0.0,0.0
10637,2700,50.0,50.0,50.0,341.0,163.0,323.0,171.0,0.0,153.0
10637,3600,36.0,41.0,27.0,664.0,158.0,422.0,406.0,0.0,162.0
10637,4500,,30.0,,,155.0,,,0.0,
10640,0,6.0,6.0,6.0,160.0,160.0,160.0,0.0,0.0,0.0
10640,900,7.0,7.0,7.0,153.0,153.0,153.0,0.0,0.0,0.0
10640,1800,6.0,6.0,6.0,172.0,172.0,172.0,0.0,0.0,0.0
10640,2700,6.0,6.0,6.0,172.0,163.0,172.0,0.0,0.0,0.0
10640,3600,4.0,4.0,4.0,509.0,175.0,421.0,242.0,0.0,159.0
10640,4500,,2.0,,,158.0,,,0.0,
10644,0,167.0,167.0,167.0,160.0,160.0,160.0,0.0,0.0,0.0
10644,900,260.0,260.0,260.0,170.0,170.0,170.0,0.0,0.0,0.0
10644,1800,267.0,267.0,267.0,167.0,167.0,167.0,0.0,0.0,0.0
10644,2700,237.0,238.0,237.0,381.0,166.0,318.0,209.0,0.0,148.0
10644,3600,14.0,158.0,17.0,488.0,162.0,350.0,233.0,0.0,90.0
10644,4500,,83.0,,,152.0,,,0.0,
