win,dest,lg,n,n_stop,run
0,RFW,L1,136,0,nc_lcd200
0,RFW,L2p,293,0,nc_lcd200
0,to70,L1,14,0,nc_lcd200
0,to70,L2p,92,0,nc_lcd200
0,to71,L2p,23,0,nc_lcd200
0,under,L1,4,0,nc_lcd200
0,under,L2p,33,0,nc_lcd200
150,RFW,L1,242,0,nc_lcd200
150,RFW,L2p,485,0,nc_lcd200
150,to70,L1,56,0,nc_lcd200
150,to70,L2p,117,0,nc_lcd200
150,to71,L1,10,0,nc_lcd200
150,to71,L2p,28,0,nc_lcd200
150,under,L1,10,0,nc_lcd200
150,under,L2p,106,0,nc_lcd200
300,RFW,L1,282,0,nc_lcd200
300,RFW,L2p,670,0,nc_lcd200
300,to70,L1,52,0,nc_lcd200
300,to70,L2p,112,0,nc_lcd200
300,to71,L1,8,0,nc_lcd200
300,under,L2p,37,0,nc_lcd200
450,RFW,L1,301,0,nc_lcd200
450,RFW,L2p,667,0,nc_lcd200
450,to70,L1,32,0,nc_lcd200
450,to70,L2p,101,0,nc_lcd200
450,to71,L1,27,0,nc_lcd200
450,to71,L2p,23,0,nc_lcd200
450,under,L2p,26,0,nc_lcd200
600,RFW,L1,232,0,nc_lcd200
600,RFW,L2p,657,0,nc_lcd200
600,to70,L1,85,0,nc_lcd200
600,to70,L2p,96,0,nc_lcd200
600,to71,L1,12,0,nc_lcd200
600,to71,L2p,6,0,nc_lcd200
600,under,L2p,22,0,nc_lcd200
750,RFW,L1,252,0,nc_lcd200
750,RFW,L2p,455,0,nc_lcd200
750,to70,L1,44,0,nc_lcd200
750,to70,L2p,120,0,nc_lcd200
750,to71,L1,7,0,nc_lcd200
750,to71,L2p,31,0,nc_lcd200
900,RFW,L1,383,0,nc_lcd200
900,RFW,L2p,866,0,nc_lcd200
900,to70,L1,45,0,nc_lcd200
900,to70,L2p,187,0,nc_lcd200
900,to71,L1,10,0,nc_lcd200
900,to71,L2p,10,0,nc_lcd200
900,under,L2p,16,0,nc_lcd200
1050,RFW,L1,353,0,nc_lcd200
1050,RFW,L2p,917,0,nc_lcd200
1050,to70,L1,126,0,nc_lcd200
1050,to70,L2p,180,0,nc_lcd200
1050,to71,L1,8,0,nc_lcd200
1050,to71,L2p,38,0,nc_lcd200
