next_link,pbin,win900,rows,L1rows,stop,L1stop
-1,0,3,152,152,150,150
-1,0,4,1193,1042,1113,1008
-1,0,5,2808,2620,2706,2590
-1,100,4,214,51,187,48
-1,100,5,2068,1900,1997,1877
71,0,0,14,5,0,0
71,0,1,51,20,0,0
71,0,2,53,17,1,1
71,0,3,282,89,79,70
71,0,4,331,58,188,56
71,0,5,492,25,356,24
71,100,0,35,11,0,0
71,100,1,78,31,0,0
71,100,2,88,28,2,2
71,100,3,438,172,173,166
71,100,4,466,145,267,141
71,100,5,545,0,361,0
71,200,0,29,15,0,0
71,200,1,74,38,0,0
71,200,2,95,42,0,0
71,200,3,103,35,0,0
71,200,4,71,38,0,0
71,200,5,75,21,0,0
71,300,0,24,12,0,0
71,300,1,61,31,6,0
71,300,2,62,27,0,0
71,300,3,69,32,0,0
71,300,4,43,25,0,0
71,300,5,36,13,0,0
10634,0,1,1,0,0,0
10634,100,1,2,0,0,0
10634,200,1,1,0,0,0
10634,300,0,1,0,0,0
10634,300,1,2,2,0,0
10639,0,0,45,45,0,0
10639,0,1,93,93,1,1
10639,0,2,164,164,3,3
10639,0,3,1291,1291,1220,1220
10639,0,4,1325,1261,1280,1236
10639,100,0,40,40,0,0
10639,100,1,78,78,0,0
10639,100,2,146,146,28,28
10639,100,3,1699,1699,1659,1659
10639,100,4,1933,1844,1841,1767
10639,100,5,69,59,58,49
10641,0,0,63,37,0,0
10641,0,1,178,96,0,0
10641,0,2,179,95,0,0
10641,0,3,645,250,233,210
10641,0,4,602,106,290,104
10641,0,5,666,5,465,5
10641,100,0,103,43,0,0
10641,100,1,308,118,0,0
10641,100,2,310,136,12,12
10641,100,3,1062,467,450,434
10641,100,4,1023,302,569,287
10641,100,5,815,2,522,0
10641,200,0,109,45,0,0
10641,200,1,330,137,5,0
10641,200,2,272,119,0,0
10641,200,3,245,94,0,0
10641,200,4,180,60,0,0
10641,200,5,102,46,0,0
10641,300,0,30,10,1,0
10641,300,1,178,46,58,2
10641,300,2,80,36,0,0
10641,300,3,52,19,0,0
10641,300,4,48,15,5,0
10641,300,5,11,6,0,0
10642,0,2,1,0,0,0
10642,0,4,30,0,17,0
10642,0,5,4,0,0,0
10642,100,1,1,0,0,0
10642,100,2,1,1,0,0
10642,100,4,33,0,21,0
10642,100,5,15,0,9,0
10642,200,1,1,1,0,0
10642,200,4,3,1,0,0
10642,200,5,3,2,0,0
10642,300,1,1,1,0,0
10642,300,2,1,1,0,0
10642,300,4,3,3,0,0
10642,300,5,3,3,0,0
