win,rows,stopped,mean_spd,zone,link,center,rows_L1,stopped_L1,spd_L1
0,126,0,120.799286,10480_RDW,26,3525,48,0,120.20438
1,708,1,109.67343,10480_RDW,26,3525,239,1,97.50716
2,919,17,85.54338,10480_RDW,26,3525,309,5,71.705376
3,945,2,96.36108,10480_RDW,26,3525,303,1,79.057396
4,1005,23,86.02457,10480_RDW,26,3525,373,16,70.12491
5,1078,9,83.683975,10480_RDW,26,3525,388,9,57.675926
6,1024,24,85.94792,10480_RDW,26,3525,355,18,67.62963
7,1100,6,85.76657,10480_RDW,26,3525,389,6,63.35599
8,1096,18,79.04393,10480_RDW,26,3525,388,16,56.110542
9,1005,15,82.25602,10480_RDW,26,3525,389,14,62.23992
10,1306,37,71.8777,10480_RDW,26,3525,437,20,55.753887
11,1200,11,77.034584,10480_RDW,26,3525,349,8,64.65733
12,1057,0,81.096794,10480_RDW,26,3525,273,0,75.38842
13,1081,0,81.43779,10480_RDW,26,3525,317,0,75.25668
14,1078,6,78.37586,10480_RDW,26,3525,287,6,65.51714
15,1129,14,72.64492,10480_RDW,26,3525,388,14,55.444355
16,1186,67,66.35916,10480_RDW,26,3525,461,64,45.18026
17,1678,407,43.70839,10480_RDW,26,3525,929,407,16.120474
18,1137,66,63.194378,10480_RDW,26,3525,473,66,38.936913
19,1237,200,52.019173,10480_RDW,26,3525,669,200,27.455143
20,1123,45,62.146057,10480_RDW,26,3525,481,45,39.19607
21,1169,130,61.640564,10480_RDW,26,3525,506,130,38.354706
22,1440,231,55.17361,10480_RDW,26,3525,685,229,29.12143
23,2061,516,43.18076,10480_RDW,26,3525,943,464,18.615355
24,1403,204,54.222145,10480_RDW,26,3525,655,203,27.137344
25,1856,626,38.918877,10480_RDW,26,3525,1090,623,12.274945
26,1512,469,42.629128,10480_RDW,26,3525,889,469,14.964421
27,1788,667,39.150684,10480_RDW,26,3525,1079,666,12.087183
28,1607,652,33.84142,10480_RDW,26,3525,1078,652,11.480279
29,1599,424,43.258617,10480_RDW,26,3525,909,423,16.47011
30,1940,842,32.86944,10480_RDW,26,3525,1222,820,9.694378
31,1601,492,39.638794,10480_RDW,26,3525,948,484,14.313565
32,1372,305,45.79341,10480_RDW,26,3525,750,304,20.345387
33,1559,427,41.86438,10480_RDW,26,3525,898,425,16.61903
34,1285,153,53.21445,10480_RDW,26,3525,550,98,28.607363
35,1061,4,74.36753,10480_RDW,26,3525,337,4,57.1819
0,83,0,119.48988,10482_RDW,26,3830,20,0,125.889
1,748,1,88.98836,10482_RDW,26,3830,180,1,69.44361
2,797,0,88.484856,10482_RDW,26,3830,202,0,77.73089
3,879,4,90.01482,10482_RDW,26,3830,195,3,67.152466
4,1015,20,74.18679,10482_RDW,26,3830,287,12,51.97554
5,1026,0,80.25256,10482_RDW,26,3830,277,0,57.318157
6,988,21,77.80368,10482_RDW,26,3830,283,15,53.842613
7,1162,6,73.3952,10482_RDW,26,3830,311,4,54.532185
8,1175,9,70.14617,10482_RDW,26,3830,314,7,52.693695
9,939,15,77.14601,10482_RDW,26,3830,258,14,48.877598
10,1305,27,65.61426,10482_RDW,26,3830,326,9,55.9727
11,1221,11,67.81898,10482_RDW,26,3830,290,3,53.62645
12,894,0,82.36745,10482_RDW,26,3830,94,0,82.467766
13,794,0,84.38674,10482_RDW,26,3830,79,0,86.07215
14,839,0,83.76184,10482_RDW,26,3830,66,0,87.78424
15,1050,0,70.046906,10482_RDW,26,3830,218,0,51.38055
16,1168,65,62.786488,10482_RDW,26,3830,319,62,36.268997
17,1609,242,50.064106,10482_RDW,26,3830,612,242,22.49469
18,1441,24,55.849777,10482_RDW,26,3830,423,24,37.84792
19,1501,163,47.90723,10482_RDW,26,3830,592,161,25.47375
20,957,28,66.59208,10482_RDW,26,3830,227,28,37.90718
21,1132,121,56.668808,10482_RDW,26,3830,357,121,26.419634
22,1308,197,54.284985,10482_RDW,26,3830,460,195,19.915956
23,1762,275,47.90917,10482_RDW,26,3830,578,222,27.869965
24,1439,163,52.524105,10482_RDW,26,3830,486,161,24.708435
25,1310,272,53.05222,10482_RDW,26,3830,484,271,16.704483
26,932,213,59.05707,10482_RDW,26,3830,331,213,14.470846
27,1005,219,59.22651,10482_RDW,26,3830,349,219,11.684126
28,866,261,51.490486,10482_RDW,26,3830,379,261,8.564011
29,1153,253,51.59686,10482_RDW,26,3830,478,252,16.132427
30,1157,208,54.82053,10482_RDW,26,3830,411,208,21.154696
31,921,179,59.10011,10482_RDW,26,3830,327,179,16.332048
32,1099,225,52.401855,10482_RDW,26,3830,413,223,16.466658
33,1150,235,50.35629,10482_RDW,26,3830,454,235,16.851124
34,1076,60,61.92446,10482_RDW,26,3830,285,60,31.185753
35,790,2,80.58861,10482_RDW,26,3830,98,2,67.56633
1,246,0,120.47817,10646_RFW,26,6073,63,0,119.09571
2,490,1,111.9113,10646_RFW,26,6073,118,0,106.107544
3,669,8,92.71603,10646_RFW,26,6073,159,4,74.75578
4,669,0,98.61805,10646_RFW,26,6073,182,0,93.05005
5,705,28,89.360435,10646_RFW,26,6073,198,1,74.583084
6,916,24,76.266846,10646_RFW,26,6073,231,1,66.427444
7,717,2,95.53635,10646_RFW,26,6073,198,0,78.63379
8,864,1,94.99855,10646_RFW,26,6073,235,0,79.390045
9,841,1,88.55673,10646_RFW,26,6073,234,0,76.86401
10,577,3,98.86685,10646_RFW,26,6073,136,0,80.87507
11,943,8,77.03473,10646_RFW,26,6073,232,5,62.340733
12,858,1,78.467255,10646_RFW,26,6073,216,1,68.98051
13,808,1,73.39801,10646_RFW,26,6073,209,0,60.70976
14,655,1,78.55071,10646_RFW,26,6073,136,0,67.33624
15,715,0,78.18695,10646_RFW,26,6073,162,0,65.812096
16,891,5,73.76799,10646_RFW,26,6073,221,0,59.299187
17,884,6,75.88737,10646_RFW,26,6073,240,3,66.00604
18,1019,8,74.75691,10646_RFW,26,6073,235,3,65.76081
19,1243,47,63.626213,10646_RFW,26,6073,312,10,54.704422
20,911,18,74.6882,10646_RFW,26,6073,233,5,66.54575
21,717,4,77.04819,10646_RFW,26,6073,173,1,65.48018
22,758,0,78.65367,10646_RFW,26,6073,192,0,68.407814
23,746,3,79.12023,10646_RFW,26,6073,184,0,70.90608
24,1129,24,68.21679,10646_RFW,26,6073,284,7,52.46912
25,717,0,82.27924,10646_RFW,26,6073,169,0,77.00325
26,881,17,70.20861,10646_RFW,26,6073,211,3,54.48275
27,590,0,78.534615,10646_RFW,26,6073,110,0,63.161366
28,622,0,75.63987,10646_RFW,26,6073,148,0,61.762974
29,628,56,63.312756,10646_RFW,26,6073,175,32,45.678173
