,,n,n,n,dwell,dwell,dwell,stop_s,stop_s,stop_s
run,,b0,h0,h11,b0,h0,h11,b0,h0,h11
link,w900,,,,,,,,,
10480,0,31.0,31.0,31.0,12.1,12.1,12.1,0.2,0.2,0.2
10480,900,70.0,75.0,69.0,31.8,12.5,130.1,19.6,0.2,106.5
10480,1800,49.0,52.0,52.0,254.0,17.0,421.8,216.8,4.0,375.4
10480,2700,52.0,50.0,41.0,17.9,12.6,679.8,4.6,0.0,630.2
10480,3600,39.0,39.0,26.0,410.1,17.2,834.4,380.5,5.1,800.4
10480,4500,37.0,47.0,3.0,254.9,15.7,878.3,222.6,3.6,878.3
10482,0,156.0,156.0,156.0,34.1,34.1,34.1,0.0,0.0,0.0
10482,900,199.0,199.0,200.0,58.8,33.2,223.2,25.2,0.0,172.2
10482,1800,188.0,234.0,143.0,379.5,34.4,951.6,293.6,0.0,842.9
10482,2700,246.0,200.0,96.0,50.3,33.6,1911.9,8.4,0.0,1809.2
10482,3600,158.0,158.0,38.0,318.7,33.6,1001.3,260.1,0.0,958.9
10482,4500,118.0,118.0,19.0,373.7,33.4,851.8,297.6,0.0,841.1
10484,0,87.0,87.0,87.0,34.4,34.4,34.4,0.0,0.0,0.0
10484,900,146.0,147.0,150.0,33.8,33.3,39.7,0.1,0.0,3.8
10484,1800,147.0,153.0,139.0,44.6,35.4,49.7,5.4,0.2,8.1
10484,2700,156.0,170.0,157.0,34.8,34.0,41.0,0.2,0.1,4.1
10484,3600,153.0,146.0,139.0,51.9,34.2,51.5,12.1,0.0,11.7
10484,4500,126.0,138.0,86.0,58.4,33.6,42.3,16.9,0.0,4.8
10490,0,65.0,65.0,65.0,24.8,24.8,24.8,0.0,0.0,0.0
10490,900,99.0,111.0,102.0,24.5,24.8,28.2,0.0,0.0,2.6
10490,1800,77.0,85.0,79.0,29.0,26.6,33.5,2.5,0.1,6.2
10490,2700,63.0,53.0,67.0,25.5,24.2,27.2,0.2,0.0,1.4
10490,3600,54.0,52.0,39.0,30.1,24.7,288.1,3.6,0.0,254.7
10490,4500,36.0,35.0,20.0,28.8,25.0,527.8,2.1,0.0,510.2
10639,0,27.0,27.0,27.0,28.1,28.1,28.1,0.4,0.4,0.4
10639,900,53.0,53.0,53.0,34.2,34.0,90.4,3.5,4.2,55.7
10639,1800,79.0,79.0,75.0,1330.0,77.2,1427.3,1261.9,39.6,1358.7
10639,2700,8.0,52.0,8.0,2615.6,80.4,2548.8,2551.9,42.6,2491.2
10639,3600,11.0,40.0,19.0,1482.7,42.0,1150.3,1428.2,10.8,1121.1
10639,4500,22.0,41.0,7.0,354.3,34.0,850.7,333.9,4.6,845.0
10644,0,141.0,141.0,141.0,72.9,72.9,72.9,0.5,0.5,0.5
10644,900,246.0,246.0,246.0,79.0,78.6,107.8,2.1,1.8,19.9
10644,1800,254.0,254.0,254.0,97.5,74.1,127.8,14.1,0.8,31.9
10644,2700,214.0,253.0,236.0,76.1,74.1,114.8,1.5,0.6,23.6
10644,3600,67.0,167.0,45.0,116.0,71.7,80.8,28.0,0.2,4.9
10644,4500,23.0,112.0,26.0,45.2,63.3,65.2,0.0,0.0,1.0
10646,0,83.0,83.0,83.0,24.4,24.4,24.4,0.1,0.1,0.1
10646,900,206.0,195.0,202.0,26.7,25.1,28.0,0.4,0.2,1.7
10646,1800,236.0,231.0,223.0,48.9,24.1,45.7,13.5,0.1,11.9
10646,2700,203.0,210.0,207.0,23.9,26.0,43.0,0.1,0.0,8.8
10646,3600,199.0,205.0,204.0,46.9,25.0,87.2,14.6,0.0,37.7
10646,4500,168.0,187.0,177.0,55.1,22.9,91.3,22.6,0.0,43.6
10681,0,41.0,41.0,41.0,21.3,21.3,21.3,0.0,0.0,0.0
10681,900,74.0,73.0,75.0,21.8,21.0,41.5,0.1,0.0,20.0
10681,1800,80.0,83.0,78.0,65.8,21.6,47.6,42.6,0.0,24.0
10681,2700,53.0,62.0,64.0,1086.4,20.6,730.0,1038.3,0.0,691.7
10681,3600,44.0,56.0,60.0,1094.1,19.9,697.8,1025.2,0.0,632.4
10681,4500,45.0,50.0,51.0,355.4,21.5,392.5,317.7,0.0,379.2
