ramp,t,h0,h11,b0
RDE,0,8,8,8
RDE,150,27,27,27
RDE,300,27,27,27
RDE,450,33,33,33
RDE,600,30,30,30
RDE,750,27,27,27
RDE,900,28,30,30
RDE,1050,55,47,44
RDE,1200,44,44,42
RDE,1350,40,42,37
RDE,1500,51,43,48
RDE,1650,40,46,44
RDE,1800,31,41,39
RDE,1950,42,40,39
RDE,2100,34,33,32
RDE,2250,39,26,20
RDE,2400,43,41,43
RDE,2550,49,37,51
RDE,2700,26,34,43
RDE,2850,39,34,37
RDE,3000,43,30,41
RDE,3150,35,58,30
RDE,3300,44,36,38
RDE,3450,36,32,30
RDE,3600,36,29,36
RDE,3750,27,29,33
RDE,3900,33,27,31
RDE,4050,36,28,33
RDE,4200,29,22,33
RDE,4350,37,43,41
RDE,4500,44,41,38
RDE,4650,16,14,21
RDE,4800,24,19,21
RDE,4950,28,21,29
RDE,5100,28,7,26
RDE,5250,33,4,27
RDW,0,7,7,7
RDW,150,33,33,33
RDW,300,35,35,35
RDW,450,26,26,26
RDW,600,41,41,41
RDW,750,45,45,45
RDW,900,37,40,39
RDW,1050,58,56,57
RDW,1200,50,44,44
RDW,1350,39,41,42
RDW,1500,42,42,40
RDW,1650,48,46,47
RDW,1800,50,55,47
RDW,1950,44,36,41
RDW,2100,52,15,38
RDW,2250,45,19,23
RDW,2400,44,47,39
RDW,2550,51,23,49
RDW,2700,46,19,78
RDW,2850,41,24,54
RDW,3000,35,19,34
RDW,3150,51,50,45
RDW,3300,36,25,39
RDW,3450,41,0,48
RDW,3600,44,0,43
RDW,3750,33,0,35
RDW,3900,33,0,34
RDW,4050,29,0,25
RDW,4200,24,23,27
RDW,4350,34,41,33
RDW,4500,40,22,34
RDW,4650,28,0,25
RDW,4800,31,0,25
RDW,4950,23,0,22
RDW,5100,26,0,26
RDW,5250,17,0,23
RFE,150,6,6,6
RFE,300,16,16,16
RFE,450,14,14,14
RFE,600,19,19,19
RFE,750,13,13,13
RFE,900,15,14,14
RFE,1050,22,21,22
RFE,1200,24,23,21
RFE,1350,21,23,24
RFE,1500,19,22,21
RFE,1650,25,25,25
RFE,1800,32,36,33
RFE,1950,30,25,29
RFE,2100,20,23,23
RFE,2250,35,31,28
RFE,2400,24,23,26
RFE,2550,21,15,20
RFE,2700,22,17,22
RFE,2850,23,13,8
RFE,3000,12,12,9
RFE,3150,16,11,6
RFE,3300,29,15,11
RFE,3450,12,4,5
RFE,3600,18,10,7
RFE,3750,18,14,12
RFE,3900,11,10,14
RFE,4050,18,13,7
RFE,4200,16,9,6
RFE,4350,15,23,9
RFE,4500,17,14,7
RFE,4650,13,5,12
RFE,4800,16,8,3
RFE,4950,7,7,8
RFE,5100,23,16,15
RFE,5250,15,8,22
RFW,150,30,30,30
RFW,300,34,34,34
RFW,450,58,58,58
RFW,600,34,34,34
RFW,750,68,68,68
RFW,900,53,57,59
RFW,1050,73,80,81
RFW,1200,73,71,70
RFW,1350,89,92,88
RFW,1500,76,73,74
RFW,1650,77,75,80
RFW,1800,82,80,77
RFW,1950,73,73,74
RFW,2100,85,79,88
RFW,2250,82,78,79
RFW,2400,70,74,70
RFW,2550,93,93,102
RFW,2700,81,92,89
RFW,2850,79,83,78
RFW,3000,73,69,75
RFW,3150,78,83,76
RFW,3300,76,66,65
RFW,3450,76,50,34
RFW,3600,70,38,36
RFW,3750,55,36,33
RFW,3900,73,35,67
RFW,4050,48,66,65
RFW,4200,62,52,31
RFW,4350,64,22,34
RFW,4500,65,51,24
RFW,4650,45,43,33
RFW,4800,37,28,31
RFW,4950,47,29,27
RFW,5100,51,27,33
RFW,5250,54,25,43
