link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
31,0,1,ramp,11,0,,,7
31,0,1,signal,22,0,,,5
31,0,2,signal,24,0,,,2
31,150,1,ramp,41,0,,,17
31,150,1,signal,205,0,,,43
31,150,2,signal,118,0,,,26
31,150,3,signal,57,0,,,15
31,300,1,ramp,49,0,,,19
31,300,1,signal,257,0,,,63
31,300,2,ramp,1,0,,,1
31,300,2,signal,257,0,,,48
31,300,3,ramp,1,0,,,1
31,300,3,signal,149,0,,,30
31,450,1,ramp,69,0,,,26
31,450,1,signal,354,0,,,74
31,450,2,ramp,8,0,,,4
31,450,2,signal,337,0,,,74
31,450,3,ramp,1,0,,,1
31,450,3,signal,255,0,,,55
31,600,1,ramp,174,0,,,31
31,600,1,signal,328,0,,,74
31,600,2,ramp,16,0,,,8
31,600,2,signal,346,0,,,65
31,600,3,ramp,5,0,,,5
31,600,3,signal,221,0,,,47
31,750,1,ramp,93,0,,,22
31,750,1,signal,405,0,,,83
31,750,2,ramp,7,0,,,5
31,750,2,signal,417,0,,,83
31,750,3,ramp,3,0,,,3
31,750,3,signal,267,0,,,54
31,900,1,ramp,133,0,,,32
31,900,1,signal,411,0,,,84
31,900,2,ramp,15,0,,,4
31,900,2,signal,504,0,,,94
31,900,3,ramp,1,0,,,1
31,900,3,signal,445,0,,,78
31,1050,1,ramp,275,2,335.1199951171875,616.0599975585938,43
31,1050,1,signal,297,0,,,85
31,1050,2,ramp,13,0,,,9
31,1050,2,signal,473,0,,,90
31,1050,3,ramp,3,0,,,3
31,1050,3,signal,280,0,,,63
31,1200,1,ramp,180,0,,,34
31,1200,1,signal,398,0,,,81
31,1200,2,ramp,6,0,,,6
31,1200,2,signal,436,0,,,75
31,1200,3,ramp,4,0,,,3
31,1200,3,signal,316,0,,,52
31,1350,1,ramp,207,3,255.19000244140625,309.6400146484375,41
31,1350,1,signal,367,1,617.6900024414062,617.6900024414062,74
31,1350,2,ramp,15,0,,,9
31,1350,2,signal,402,0,,,63
31,1350,3,ramp,6,0,,,6
31,1350,3,signal,248,0,,,48
31,1500,1,ramp,225,2,353.5199890136719,731.8200073242188,39
31,1500,1,signal,371,0,,,79
31,1500,2,ramp,18,0,,,9
31,1500,2,signal,359,0,,,60
31,1500,3,ramp,7,0,,,7
31,1500,3,signal,197,0,,,39
31,1650,1,ramp,190,7,731.8699951171875,731.8699951171875,36
31,1650,1,signal,396,0,,,81
31,1650,2,ramp,7,0,,,7
31,1650,2,signal,426,0,,,81
31,1650,3,ramp,8,0,,,6
31,1650,3,signal,350,0,,,61
