link,bin,lane,cls,seg,rows,stopped,mean_speed
31,0,1,ramp,0,4,0,43.385
31,0,1,ramp,100,1,0,42.26
31,0,1,ramp,300,4,0,41.9075
31,0,1,ramp,400,2,0,39.745003
31,0,1,signal,900,4,0,125.06
31,0,1,signal,1000,2,0,117.05
31,0,1,signal,1100,4,0,126.725
31,0,1,signal,1200,2,0,124.865
31,0,1,signal,1300,2,0,128.80501
31,0,1,signal,1400,1,0,129.01
31,0,1,signal,1500,2,0,129.155
31,0,1,signal,1600,2,0,121.72
31,0,1,signal,1700,1,0,138.24
31,0,1,signal,1800,2,0,135.215
31,0,2,signal,300,1,0,43.39
31,0,2,signal,400,3,0,42.38333
31,0,2,signal,500,4,0,41.9525
31,0,2,signal,600,3,0,42.976665
31,0,2,signal,700,4,0,42.1425
31,0,2,signal,800,3,0,41.653336
31,0,2,signal,900,4,0,42.204998
31,0,2,signal,1000,2,0,43.545
31,150,1,ramp,0,2,0,40.52
31,150,1,ramp,100,4,0,44.4725
31,150,1,ramp,200,6,0,44.190002
31,150,1,ramp,300,18,0,39.585003
31,150,1,ramp,400,1,0,41.36
31,150,1,ramp,500,2,0,44.165
31,150,1,ramp,600,4,0,43.5225
31,150,1,ramp,700,1,0,41.55
31,150,1,signal,600,2,0,128.005
31,150,1,signal,700,1,0,130.84
31,150,1,signal,800,8,0,109.582504
31,150,1,signal,900,27,0,113.85111
31,150,1,signal,1000,21,0,113.69238
31,150,1,signal,1100,17,0,116.78118
31,150,1,signal,1200,20,0,112.7065
31,150,1,signal,1300,19,0,117.35737
31,150,1,signal,1400,13,0,111.88154
31,150,1,signal,1500,21,0,116.5862
31,150,1,signal,1600,15,0,116.016
31,150,1,signal,1700,12,0,115.5625
31,150,1,signal,1800,19,0,113.88158
31,150,1,signal,1900,7,0,116.457146
31,150,2,ramp,400,2,0,45.46
31,150,2,ramp,500,1,0,42.26
31,150,2,signal,300,3,0,42.5
31,150,2,signal,400,7,0,42.68571
31,150,2,signal,500,2,0,41.809998
31,150,2,signal,600,1,0,45.15
31,150,2,signal,700,2,0,41.809998
31,150,2,signal,800,3,0,79.35667
31,150,2,signal,900,6,0,95.69167
31,150,2,signal,1000,10,0,100.757
31,150,2,signal,1100,12,0,87.299995
31,150,2,signal,1200,11,0,81.50182
31,150,2,signal,1300,10,0,80.659
31,150,2,signal,1400,10,0,79.498
31,150,2,signal,1500,12,0,78.1675
31,150,2,signal,1600,9,0,73.95556
31,150,2,signal,1700,8,0,67.86375
31,150,2,signal,1800,10,0,85.219
31,150,2,signal,1900,6,0,88.45333
31,150,3,signal,1000,2,0,104.91
31,150,3,signal,1100,4,0,121.5275
31,150,3,signal,1200,3,0,122.166664
31,150,3,signal,1300,6,0,127.43333
31,150,3,signal,1400,5,0,117.76601
31,150,3,signal,1500,6,0,127.21334
31,150,3,signal,1600,8,0,124.94375
31,150,3,signal,1700,7,0,128.70143
31,150,3,signal,1800,9,0,123.07333
31,150,3,signal,1900,5,0,135.326
31,300,1,ramp,0,5,0,44.924
31,300,1,ramp,100,5,0,43.116
31,300,1,ramp,200,5,0,42.802002
31,300,1,ramp,300,18,0,41.738888
31,300,1,ramp,400,4,0,39.989998
31,300,1,ramp,500,2,0,42.98
31,300,1,ramp,600,6,0,43.72333
31,300,1,signal,0,2,0,43.504997
31,300,1,signal,100,2,0,44.355
31,300,1,signal,200,1,0,44.78
31,300,1,signal,300,4,0,33.9525
31,300,1,signal,400,2,0,44.355
31,300,1,signal,500,1,0,43.08
31,300,1,signal,600,18,0,78.97055
31,300,1,signal,700,15,0,89.06133
31,300,1,signal,800,12,0,97.418335
31,300,1,signal,900,27,0,96.698524
31,300,1,signal,1000,29,0,101.87414
31,300,1,signal,1100,20,0,94.4395
31,300,1,signal,1200,16,0,97.33625
31,300,1,signal,1300,17,0,112.39883
31,300,1,signal,1400,17,0,112.51059
31,300,1,signal,1500,10,0,116.591
31,300,1,signal,1600,16,0,113.006874
31,300,1,signal,1700,13,0,113.9077
31,300,1,signal,1800,13,0,115.21692
31,300,1,signal,1900,14,0,113.99143
31,300,2,signal,300,2,0,42.73
31,300,2,signal,400,11,0,43.097275
31,300,2,signal,500,14,0,42.724285
31,300,2,signal,600,22,0,51.133633
31,300,2,signal,700,21,0,59.87619
31,300,2,signal,800,18,0,55.024445
31,300,2,signal,900,26,0,66.64808
31,300,2,signal,1000,19,0,61.88474
31,300,2,signal,1100,23,0,63.413914
31,300,2,signal,1200,18,0,59.934998
31,300,2,signal,1300,17,0,67.48647
31,300,2,signal,1400,13,0,66.38923
31,300,2,signal,1500,11,0,63.27091
31,300,2,signal,1600,11,0,71.88364
31,300,2,signal,1700,11,0,69.24
31,300,2,signal,1800,14,0,82.880714
31,300,2,signal,1900,9,0,80.83667
31,300,3,ramp,0,1,0,84.69
31,300,3,ramp,100,1,0,89.41
31,300,3,ramp,200,1,0,88.47
31,300,3,signal,300,1,0,42.08
31,300,3,signal,400,2,0,41.695
31,300,3,signal,500,1,0,44.38
31,300,3,signal,600,2,0,41.695
31,300,3,signal,700,6,0,68.333336
31,300,3,signal,800,10,0,91.231
31,300,3,signal,900,9,0,85.846664
31,300,3,signal,1000,12,0,87.00666
31,300,3,signal,1100,18,0,87.54
31,300,3,signal,1200,15,0,100.044
31,300,3,signal,1300,12,0,115.190834
31,300,3,signal,1400,12,0,121.277504
31,300,3,signal,1500,8,0,121.33875
31,300,3,signal,1600,10,0,121.64101
31,300,3,signal,1700,11,0,121.48454
31,300,3,signal,1800,7,0,124.97857
31,300,3,signal,1900,10,0,122.72099
31,450,1,ramp,0,1,0,44.54
31,450,1,ramp,100,3,0,44.536667
31,450,1,ramp,200,5,0,62.802002
31,450,1,ramp,300,17,0,44.294117
31,450,1,ramp,400,6,0,49.031666
31,450,1,ramp,500,2,0,45.27
31,450,1,ramp,600,6,0,43.25333
31,450,1,ramp,700,3,0,54.573334
31,450,1,signal,0,2,0,41.32
31,450,1,signal,100,2,0,41.32
31,450,1,signal,200,2,0,41.32
31,450,1,signal,300,1,0,43.16
31,450,1,signal,400,2,0,41.32
31,450,1,signal,500,2,0,41.32
31,450,1,signal,600,18,0,73.49389
31,450,1,signal,700,14,0,85.795
31,450,1,signal,800,18,0,92.18278
31,450,1,signal,900,31,0,100.56581
31,450,1,signal,1000,31,0,109.63968
31,450,1,signal,1100,19,0,110.24684
31,450,1,signal,1200,33,0,104.6497
31,450,1,signal,1300,31,0,94.45871
31,450,1,signal,1400,31,0,91.55936
31,450,1,signal,1500,35,0,81.78915
31,450,1,signal,1600,30,0,80.45167
31,450,1,signal,1700,28,0,79.898926
31,450,1,signal,1800,28,0,76.98714
31,450,1,signal,1900,22,0,89.49682
31,450,2,ramp,100,1,0,98.0
31,450,2,ramp,200,1,0,70.97
31,450,2,ramp,300,1,0,62.91
31,450,2,ramp,400,1,0,99.93
31,450,2,ramp,600,1,0,93.08
31,450,2,signal,300,7,0,48.56286
31,450,2,signal,400,12,0,41.993332
31,450,2,signal,500,13,0,45.606926
31,450,2,signal,600,16,0,48.2025
31,450,2,signal,700,16,0,58.3025
31,450,2,signal,800,14,0,59.15643
31,450,2,signal,900,23,0,71.76609
31,450,2,signal,1000,19,0,70.21842
31,450,2,signal,1100,19,0,69.116844
31,450,2,signal,1200,25,0,66.0692
