bin,32_rampL1_stoprows,32_rampL1_qtail,32_ramp_nonL1_stoprows,32_sig_qtail_min,32_sig_stoprows,32_sigL1_qtail,10482_stoprows,10482_rows,10490_stoprows,10490_rows,10481_stoprows,10481_rows,10491_stoprows,10491_rows,L2_2900-4092_stoprows,L2_0-2100_stoprows,31_rampL1_stoprows,31_rampL1_qtail,31_sig_qtail,31_sig_stoprows,10480_stoprows,68_rampL1_stoprows,68_rampL1_qtail,68_sig_qtail,68_sig_stoprows,10646_stoprows,10681_stoprows,69_rampL1_qtail,69_rampL1_stoprows,10644_stoprows,70_stoprows,10639_stoprows,rm_R_D_W,rm_R_D_E,rm_R_F_W,rm_R_F_E,g_SC1001_p1,g_SC1001_p3,g_SC1004_p1,g_SC1004_p3,cnt_32,qt_32,rc_R_D_W,rc_R_F_E,run
0,0,,0,1947.81005859375,3,1947.81005859375,0,32,0,14,,,0,10,,0,0.0,,,0,,,,,,,,,0.0,,,,,,,,,,,,,,,,nc
150,0,,0,1895.1600341796875,217,1895.1600341796875,0,217,0,83,0.0,34.0,1,119,0.0,4,0.0,,,0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,42.0,1948.072685,5.0,0.0,nc
300,0,,0,1275.8299560546875,767,1275.8299560546875,0,198,0,57,0.0,87.0,0,101,0.0,32,0.0,,,0,0.0,2.0,235.5500030517578,246.5500030517578,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,56.0,1947.982799,4.0,0.0,nc
450,0,,0,1717.800048828125,1324,1725.97998046875,0,155,0,58,0.0,112.0,0,153,0.0,106,0.0,,,0,0.0,1.0,239.38999938964844,,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,68.0,1866.957856,9.0,1.0,nc
600,0,,0,1592.449951171875,2372,1602.3699951171875,0,206,0,37,0.0,107.0,1,186,0.0,57,0.0,,,0,0.0,1.0,310.7799987792969,238.5200042724609,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,95.0,1847.697486,5.0,1.0,nc
750,0,,0,1546.1500244140625,2978,1546.1500244140625,0,239,0,80,0.0,122.0,0,197,0.0,57,0.0,,,0,0.0,8.0,219.5399932861328,237.72000122070312,7.0,1.0,0.0,,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,141.0,1586.656243,6.0,0.0,nc
900,0,,0,1497.8199462890625,3738,1497.8199462890625,0,184,0,40,123.0,258.0,0,225,0.0,143,3.0,596.5599975585938,616.6699829101562,1,0.0,5.0,14.84000015258789,237.72000122070312,10.0,3.0,0.0,,0.0,0.0,70.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,160.0,1542.294705,6.0,2.0,nc
1050,0,,0,1446.8800048828125,4104,1448.9200439453125,0,255,0,95,484.0,753.0,27,245,0.0,363,1.0,623.989990234375,,0,0.0,10.0,207.5200042724609,7.650000095367432,1.0,0.0,0.0,,0.0,4.0,3.0,1.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,201.0,1497.823952,8.0,0.0,nc
1200,1,1273.6800537109375,0,1423.31005859375,4241,1425.5400390625,0,257,0,123,1236.0,1556.0,2,211,0.0,796,0.0,,616.739990234375,1,1.0,7.0,211.42999267578125,239.47000122070312,4.0,4.0,0.0,,0.0,9.0,63.0,9.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,212.0,1467.906059,12.0,1.0,nc
1350,1,1275.199951171875,0,1409.780029296875,4579,1409.780029296875,0,186,0,69,1880.0,2264.0,15,280,0.0,1915,0.0,,,0,0.0,12.0,205.7700042724609,5.300000190734863,4.0,0.0,0.0,1729.0899658203125,2.0,3.0,2.0,3.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,211.0,1450.858009,9.0,1.0,nc
1500,0,,0,1272.1400146484375,5064,1272.1400146484375,0,215,0,79,2283.0,2710.0,24,343,0.0,2581,0.0,,,0,0.0,61.0,155.75,164.0500030517578,18.0,0.0,0.0,,0.0,7.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,224.0,1420.759517,8.0,1.0,nc
1650,5,1274.3800048828125,0,1298.1700439453125,5394,1324.31005859375,0,205,0,91,2666.0,3073.0,73,359,0.0,3721,0.0,,,0,0.0,87.0,179.4499969482422,232.4600067138672,62.0,0.0,0.0,,0.0,0.0,0.0,10.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,237.0,1274.378382,6.0,2.0,nc
1800,38,1252.8199462890625,0,1271.9000244140625,5706,1271.9000244140625,0,255,0,99,3065.0,3534.0,112,361,13.0,5234,1.0,627.5,,0,0.0,20.0,197.6000061035156,201.2100067138672,29.0,1.0,0.0,1738.9100341796875,1.0,0.0,7.0,24.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,256.0,1352.72305,15.0,3.0,nc
1950,47,1250.469970703125,0,1293.0,5715,1293.0,0,231,0,63,3362.0,3751.0,250,508,478.0,6195,0.0,,,0,0.0,28.0,221.58999633789065,238.4600067138672,77.0,1.0,0.0,,0.0,0.0,4.0,28.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,247.0,1339.043589,16.0,4.0,nc
2100,86,1256.219970703125,0,1271.3900146484375,5808,1271.3900146484375,0,325,0,51,3254.0,3678.0,318,582,1011.0,7036,0.0,,,0,0.0,32.0,2.7300000190734863,246.1699981689453,28.0,0.0,0.0,1718.0799560546875,2.0,0.0,0.0,7.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,267.0,1345.772742,11.0,4.0,nc
2250,172,1211.3199462890625,1,1283.7099609375,5759,1287.9300537109375,0,250,0,52,3199.0,3671.0,459,691,1590.0,7832,0.0,,,0,0.0,65.0,4.159999847412109,218.88999938964844,52.0,2.0,0.0,,0.0,5.0,0.0,36.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,272.0,1288.000965,8.0,4.0,nc
