bin,32_rampL1_stoprows,32_rampL1_qtail,32_ramp_nonL1_stoprows,32_sig_qtail_min,32_sig_stoprows,32_sigL1_qtail,10482_stoprows,10482_rows,10490_stoprows,10490_rows,10481_stoprows,10481_rows,10491_stoprows,10491_rows,L2_2900-4092_stoprows,L2_0-2100_stoprows,31_rampL1_stoprows,31_rampL1_qtail,31_sig_qtail,31_sig_stoprows,10480_stoprows,68_rampL1_stoprows,68_rampL1_qtail,68_sig_qtail,68_sig_stoprows,10646_stoprows,10681_stoprows,69_rampL1_qtail,69_rampL1_stoprows,10644_stoprows,70_stoprows,10639_stoprows,rm_R_D_W,rm_R_D_E,rm_R_F_W,rm_R_F_E,g_SC1001_p1,g_SC1001_p3,g_SC1004_p1,g_SC1004_p3,cnt_32,qt_32,rc_R_D_W,rc_R_F_E,run
0,0,,0,1947.8,3,1947.8,0,28,0,12,,,0,9,,0,0.0,,,0,,,,,,,,,0.0,,,,,,,,,,,,,,,,h11
150,1,1268.6,0,1895.3,220,1895.3,0,224,0,85,0.0,34.0,0,120,0.0,2,0.0,,,0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,42.0,1948.1,5.0,0.0,h11
300,0,,0,1811.0,764,1822.9,0,201,0,48,0.0,82.0,0,111,0.0,35,0.0,,,0,0.0,9.0,187.0,240.5,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,56.0,1942.7,4.0,0.0,h11
450,0,,0,1716.8,1328,1716.8,0,153,0,64,0.0,101.0,2,145,0.0,292,0.0,,,0,0.0,5.0,224.4,,0.0,1.0,0.0,,0.0,5.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,67.0,1883.4,10.0,1.0,h11
600,0,,0,1620.2,2192,1626.2,0,201,0,46,0.0,117.0,0,173,0.0,223,0.0,,,0,1.0,11.0,100.1,243.0,1.0,0.0,0.0,,0.0,10.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,89.0,1773.6,4.0,1.0,h11
750,0,,0,1543.7,3155,1545.3,0,244,0,66,0.0,120.0,0,206,0.0,512,0.0,,,0,0.0,23.0,3.1,238.0,4.0,0.0,0.0,,0.0,0.0,1.0,2.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,142.0,1620.7,6.0,0.0,h11
900,0,,0,1501.4,3128,1501.4,0,180,0,57,190.0,336.0,3,232,0.0,918,0.0,,,0,1.0,28.0,7.0,237.6,1.0,0.0,1.0,,0.0,0.0,35.0,2.0,1800.0,1800.0,1800.0,1800.0,22.0,70.7,22.0,70.7,161.0,1543.7,5.0,2.0,h11
1050,2,1268.9,0,1478.3,2887,1479.5,0,250,0,95,245.0,439.0,9,224,0.0,1580,2.0,335.1,,0,0.0,32.0,148.9,238.4,4.0,0.0,0.0,,0.0,0.0,1.0,9.0,1800.0,1800.0,1800.0,1800.0,22.0,70.7,22.0,70.7,173.0,1501.4,7.0,0.0,h11
1200,0,,0,1493.2,2945,1504.0,0,264,0,116,343.0,632.0,0,202,0.0,3430,0.0,,,0,0.0,82.0,120.4,238.5,5.0,0.0,0.0,,0.0,7.0,1.0,5.0,1800.0,1800.0,1800.0,1800.0,22.0,70.7,22.0,70.7,175.0,1524.6,13.0,2.0,h11
1350,2,1272.1,0,1490.9,2873,1495.5,393,570,52,129,484.0,748.0,33,345,0.0,5642,3.0,255.2,617.7,1,145.0,27.0,171.2,239.0,6.0,43.0,25.0,1147.6,1.0,204.0,32.0,43.0,0.0,365.0,710.0,365.0,24.0,69.4,20.0,71.9,160.0,1514.9,6.0,2.0,h11
1500,1,1266.9,0,1271.2,3329,1271.2,1389,1533,2,65,666.0,934.0,1,109,0.0,7241,2.0,353.5,,0,437.0,28.0,9.9,,0.0,23.0,172.0,,0.0,564.0,0.0,202.0,0.0,1351.2,1288.8,0.0,23.0,72.4,20.0,71.9,178.0,1496.8,47.0,5.0,h11
1650,0,,0,1270.4,3119,1270.4,1520,1979,0,113,647.0,899.0,6,245,0.0,7514,7.0,731.9,,0,439.0,50.0,3.7,2.3,6.0,4.0,100.0,,0.0,199.0,1.0,183.0,300.0,1651.2,1588.8,300.0,23.0,72.4,24.0,69.4,176.0,1276.6,89.0,25.0,h11
1800,2,1262.7,0,1487.7,2944,1487.7,1376,2033,0,105,787.0,1179.0,20,260,0.0,8265,4.0,733.7,,0,414.0,81.0,53.5,238.0,4.0,0.0,15.0,,0.0,4.0,0.0,216.0,600.0,1800.0,1800.0,600.0,23.0,72.4,24.0,69.4,170.0,1509.8,91.0,12.0,h11
1950,0,,0,1506.8,4037,1506.8,2470,2664,84,185,638.0,910.0,0,149,0.0,9594,0.0,,730.9,1,646.0,68.0,58.1,239.9,3.0,65.0,6.0,,0.0,251.0,0.0,543.0,0.0,612.3,705.2,122.5,77.0,20.6,20.0,71.9,157.0,1524.8,94.0,17.0,h11
2100,194,870.4,244,934.8,4325,934.8,3492,3503,5,39,792.0,903.0,0,72,0.0,10303,186.0,658.6,693.8,2,720.0,99.0,42.9,238.8,3.0,178.0,170.0,,0.0,436.0,1.0,916.0,0.0,859.3,940.7,0.0,24.0,74.0,20.0,71.9,227.0,1506.8,130.0,26.0,h11
2250,888,675.5,1140,698.9,3413,698.9,2707,3175,0,38,698.0,981.0,2,191,0.0,11638,324.0,637.2,641.8,5,516.0,132.0,26.1,237.6,2.0,93.0,84.0,,0.0,525.0,1.0,1089.0,300.0,1159.3,1240.7,300.0,24.0,74.0,24.0,69.4,239.0,870.4,143.0,50.0,h11
2400,969,538.4,1214,542.9,3106,542.9,2190,2918,1,83,569.0,843.0,38,253,0.0,12809,157.0,345.2,684.9,4,465.0,97.0,7.0,238.0,4.0,1.0,10.0,,0.0,83.0,3.0,1089.0,600.0,1459.3,1540.7,300.0,24.0,74.0,24.0,69.4,251.0,675.6,120.0,45.0,h11
2550,1046,460.9,1434,477.4,2967,477.4,3081,3299,8,81,480.0,674.0,7,182,0.0,13327,60.0,702.1,696.4,4,714.0,105.0,2.4,237.9,3.0,145.0,54.0,,0.0,130.0,41.0,1385.0,0.0,903.8,896.2,0.0,23.0,75.0,20.0,71.9,267.0,549.0,118.0,44.0,h11
2700,2080,407.5,2283,405.0,2867,429.9,2594,3089,0,29,253.0,424.0,0,137,0.0,14501,84.0,703.2,709.7,2,514.0,164.0,17.9,239.9,1.0,173.0,58.0,,0.0,321.0,358.0,1259.0,300.0,1203.8,1196.2,300.0,23.0,75.0,24.0,69.4,283.0,482.7,140.0,59.0,h11
2850,1673,382.5,1820,295.1,3376,298.7,3126,3343,14,105,51.0,174.0,6,84,0.0,14885,35.0,712.5,711.2,2,626.0,15.0,190.3,237.9,3.0,132.0,142.0,,0.0,336.0,428.0,1332.0,0.0,985.3,1114.7,0.0,23.0,75.0,20.0,71.9,312.0,405.9,116.0,45.0,h11
3000,1974,422.5,1904,283.3,4581,288.8,2634,3139,0,33,1.0,57.0,2,167,0.0,14612,53.0,715.0,709.4,2,423.0,50.0,4.7,238.1,4.0,5.0,404.0,861.7,1.0,190.0,656.0,1410.0,300.0,1285.3,1414.7,0.0,77.0,21.0,24.0,69.4,300.0,295.2,140.0,57.0,h11
3150,1116,536.8,1267,205.2,5794,205.2,2152,2926,0,112,0.0,46.0,5,213,0.0,14672,27.0,338.0,352.0,3,376.0,121.0,65.0,139.6,5.0,8.0,777.0,,0.0,14.0,803.0,1410.0,600.0,1585.3,1714.7,0.0,25.0,70.4,24.0,69.4,358.0,354.7,115.0,69.0,h11
3300,724,693.9,793,138.8,5411,151.8,3184,3411,4,64,1.0,55.0,0,102,0.0,14539,69.0,694.5,731.1,1,606.0,5.0,217.2,238.0,1.0,60.0,1162.0,,0.0,88.0,851.0,1410.0,0.0,888.9,911.1,0.0,23.0,73.9,20.0,71.9,332.0,193.4,118.0,80.0,h11
3450,868,834.6,903,126.2,6365,132.8,3630,3630,1,22,0.0,57.0,0,87,0.0,13110,249.0,333.2,673.9,7,630.0,25.0,3.8,242.6,1.0,21.0,1485.0,1617.3,82.0,218.0,868.0,1410.0,0.0,893.5,906.5,0.0,23.0,75.0,20.0,71.9,322.0,183.2,142.0,95.0,h11
