bin,nc200_all,nc200_rampappr,h0_1000_all,h0_1000_rampappr,g1_200ctl_all,g1_200ctl_rampappr,h11_1000ctl_all,h11_1000ctl_rampappr
450,1,0,1,0,1,0,1,0
750,3,0,2,0,3,0,2,0
900,4,0,4,0,1,0,3,0
1050,5,0,4,0,3,0,2,0
1200,7,0,9,1,6,0,7,0
1350,6,0,5,0,6,0,6,0
1500,9,0,6,0,5,0,5,0
1650,11,0,9,0,13,0,12,0
1800,10,0,12,0,17,0,12,0
1950,13,1,10,0,15,2,7,0
2100,13,0,12,0,8,0,12,0
2250,17,0,19,0,15,0,17,0
2400,15,1,19,1,21,0,19,0
2550,15,0,17,0,18,0,16,0
2700,22,0,17,0,23,1,21,0
2850,20,0,17,0,21,0,20,0
3000,20,0,20,0,17,0,19,0
3150,19,0,19,0,19,0,18,0
3300,16,0,18,0,22,0,17,0
3450,19,0,22,0,25,0,20,1
3600,23,0,24,0,27,0,18,0
3750,22,0,21,0,28,2,20,0
3900,18,0,20,0,27,0,20,3
4050,24,0,18,0,25,0,24,3
4200,20,0,14,0,22,0,27,6
4350,19,0,20,0,20,0,25,5
4500,22,0,18,0,22,2,25,6
4650,20,0,19,0,21,1,27,7
4800,18,0,18,0,23,5,30,7
4950,14,0,17,0,23,1,30,7
5100,20,0,14,1,24,2,23,8
5250,19,0,18,0,21,5,23,7
