posbin,lane,rows,stopped,speed,run,link
0,1,20014,11579,11.571942,nc200,2
0,2,16956,6988,16.430744,nc200,2
0,3,15521,5275,19.765944,nc200,2
0,4,14830,4765,21.132263,nc200,2
250,1,21693,13731,9.996403,nc200,2
250,2,18249,7924,15.059633,nc200,2
250,3,15894,4934,20.47718,nc200,2
250,4,14888,4352,22.405869,nc200,2
500,1,23198,16284,8.268971,nc200,2
500,2,19147,8679,13.9745,nc200,2
500,3,15528,4137,21.124573,nc200,2
500,4,13377,2653,26.635017,nc200,2
750,1,24356,18821,6.415186,nc200,2
750,2,20298,10014,12.534617,nc200,2
750,3,14088,2691,23.657167,nc200,2
750,4,11872,1376,31.956934,nc200,2
1000,1,25317,19207,6.507134,nc200,2
1000,2,20360,8806,12.375769,nc200,2
1000,3,12304,956,25.940792,nc200,2
1000,4,9472,331,39.546124,nc200,2
1250,1,26226,18551,7.6715975,nc200,2
1250,2,17262,5277,15.457787,nc200,2
1250,3,6958,91,38.11788,nc200,2
1250,4,5854,48,61.516884,nc200,2
1500,1,26051,16962,8.596289,nc200,2
1500,2,12654,3816,17.757565,nc200,2
1500,3,4632,131,55.526203,nc200,2
1500,4,4361,23,76.68969,nc200,2
1750,1,24423,13414,10.516571,nc200,2
1750,2,14702,9012,10.566829,nc200,2
1750,3,6038,1693,41.990654,nc200,2
1750,4,4884,453,63.86562,nc200,2
2000,1,2138,293,42.647667,nc200,2
2000,2,2406,438,51.8766,nc200,2
2000,3,2592,4,86.62852,nc200,2
2000,4,3104,0,92.909996,nc200,2
2250,1,2013,0,64.25507,nc200,2
2250,2,2227,0,66.564804,nc200,2
2250,3,2403,1,90.99001,nc200,2
2250,4,2552,0,102.01218,nc200,2
2500,1,1825,2,68.57085,nc200,2
2500,2,2068,1,71.64087,nc200,2
2500,3,2377,2,90.74525,nc200,2
2500,4,2608,0,100.78545,nc200,2
2750,1,1344,64,94.76813,nc200,2
2750,2,1604,75,97.46834,nc200,2
2750,3,2111,43,101.21366,nc200,2
2750,4,2400,19,104.119934,nc200,2
3000,1,3875,2300,34.429306,nc200,2
3000,2,4577,2828,35.730595,nc200,2
3000,3,3936,1255,53.729717,nc200,2
3000,4,3355,471,67.73999,nc200,2
3250,1,11576,9164,11.702059,nc200,2
3250,2,12761,10020,14.415295,nc200,2
3250,3,6941,3313,27.517134,nc200,2
3250,4,5095,1170,40.975986,nc200,2
3500,1,19703,16342,7.4070797,nc200,2
3500,2,20048,16223,8.208904,nc200,2
3500,3,8992,5019,18.923931,nc200,2
3500,4,6114,1262,35.23126,nc200,2
3750,1,22393,18271,7.5162535,nc200,2
3750,2,21948,17715,6.797096,nc200,2
3750,3,11318,7387,12.427764,nc200,2
3750,4,6301,1122,34.307407,nc200,2
4000,1,9695,6984,15.730369,nc200,2
4000,2,9251,7088,10.214117,nc200,2
4000,3,6100,3973,20.164917,nc200,2
4000,4,3019,239,60.540634,nc200,2
4250,1,2416,35,74.50551,nc200,2
4250,2,837,8,100.019554,nc200,2
4250,3,1099,0,111.09236,nc200,2
4250,4,1216,0,112.20103,nc200,2
4500,1,1040,0,47.29,nc200,2
4500,2,770,0,88.17508,nc200,2
4500,3,912,0,110.89658,nc200,2
4500,4,970,0,114.22261,nc200,2
-250,1,14,7,8.7535715,nc200,74
-250,2,28,16,6.36,nc200,74
-250,3,33,23,4.3560605,nc200,74
-250,4,18,14,3.577222,nc200,74
0,1,17474,6702,18.963696,nc200,74
0,2,16882,5980,19.758625,nc200,74
0,3,17307,6366,19.306192,nc200,74
0,4,17355,6336,19.464111,nc200,74
250,1,16048,6357,20.308578,nc200,74
250,2,15899,6023,20.61346,nc200,74
250,3,15753,5955,21.221064,nc200,74
250,4,15989,6260,21.147362,nc200,74
500,1,15977,6461,20.167738,nc200,74
500,2,15588,5908,20.59105,nc200,74
500,3,15744,6078,20.794971,nc200,74
500,4,16059,6392,20.718061,nc200,74
750,1,16176,6758,19.475346,nc200,74
750,2,15730,5906,20.844233,nc200,74
750,3,15780,6058,20.475937,nc200,74
750,4,15971,6514,20.59435,nc200,74
1000,1,16532,6921,18.87103,nc200,74
1000,2,16056,6405,19.746357,nc200,74
1000,3,15896,6161,20.226894,nc200,74
1000,4,16087,6522,20.081585,nc200,74
1250,1,16917,7283,18.154604,nc200,74
1250,2,16551,6801,18.778343,nc200,74
1250,3,16074,6170,20.025679,nc200,74
1250,4,16253,6633,19.812902,nc200,74
1500,1,17394,7934,17.134249,nc200,74
1500,2,16602,6745,18.565483,nc200,74
1500,3,16195,6368,19.67782,nc200,74
1500,4,16281,6534,19.541351,nc200,74
1750,1,17838,8394,16.361237,nc200,74
1750,2,16688,6559,18.258196,nc200,74
1750,3,16598,6533,18.586061,nc200,74
1750,4,16155,6185,19.59804,nc200,74
2000,1,17956,8532,15.823737,nc200,74
2000,2,16939,6888,17.542202,nc200,74
2000,3,16534,6452,18.666945,nc200,74
2000,4,16155,6060,19.975178,nc200,74
2250,1,18820,9320,14.470083,nc200,74
2250,2,16994,6922,17.246416,nc200,74
2250,3,16377,6377,18.889748,nc200,74
2250,4,15936,5718,19.984024,nc200,74
2500,1,15230,8109,13.265327,nc200,74
2500,2,13406,5364,16.920658,nc200,74
2500,3,13023,4957,18.291428,nc200,74
2500,4,12255,4045,20.739386,nc200,74
-250,1,11,4,10.233636,nc200,26
-250,2,19,13,8.699473,nc200,26
-250,3,17,8,9.721176,nc200,26
-250,4,16,9,6.9449997,nc200,26
0,1,15318,4252,24.159641,nc200,26
0,2,14998,3840,24.492281,nc200,26
0,3,15455,4176,23.72157,nc200,26
0,4,15432,4383,23.30782,nc200,26
250,1,13649,3814,26.98796,nc200,26
250,2,13779,3624,26.304424,nc200,26
250,3,13936,3890,26.029116,nc200,26
250,4,13720,3799,26.755653,nc200,26
500,1,13390,3727,27.336733,nc200,26
500,2,13728,3896,25.564358,nc200,26
500,3,13759,3880,25.913383,nc200,26
500,4,13498,3645,27.176992,nc200,26
750,1,13600,3721,26.473095,nc200,26
750,2,13919,3942,25.600803,nc200,26
750,3,13656,3612,26.147453,nc200,26
750,4,13814,3831,26.24827,nc200,26
1000,1,14021,4010,25.392849,nc200,26
1000,2,13979,3751,25.364809,nc200,26
1000,3,14002,3801,25.2552,nc200,26
1000,4,13697,3755,25.83211,nc200,26
1250,1,14267,4207,24.414936,nc200,26
1250,2,14188,3811,24.897213,nc200,26
1250,3,13984,3805,25.184122,nc200,26
1250,4,13954,3838,25.745173,nc200,26
1500,1,14415,4571,23.411837,nc200,26
1500,2,14471,4152,23.966375,nc200,26
1500,3,13875,3706,25.44035,nc200,26
1500,4,13597,3479,26.456371,nc200,26
1750,1,15638,5529,20.538568,nc200,26
1750,2,14560,4239,23.547203,nc200,26
1750,3,13965,3417,25.206593,nc200,26
1750,4,13385,2886,27.307098,nc200,26
2000,1,17008,6884,17.540686,nc200,26
2000,2,15400,4424,22.053349,nc200,26
2000,3,13989,3095,25.697905,nc200,26
2000,4,12603,2030,29.995,nc200,26
2250,1,19946,10208,12.52812,nc200,26
2250,2,15998,4408,20.745218,nc200,26
2250,3,13343,2146,27.745296,nc200,26
2250,4,11333,984,36.182255,nc200,26
2500,1,21560,11746,11.743409,nc200,26
2500,2,13740,2019,23.206787,nc200,26
2500,3,10650,604,34.99111,nc200,26
2500,4,8850,271,45.58075,nc200,26
2750,1,20548,9627,15.544906,nc200,26
2750,2,9132,361,32.602856,nc200,26
2750,3,6309,46,53.015614,nc200,26
2750,4,5829,30,65.597046,nc200,26
3000,1,15480,4426,27.079296,nc200,26
3000,2,4476,31,55.799477,nc200,26
3000,3,3759,4,82.52847,nc200,26
3000,4,3956,1,89.381355,nc200,26
3250,1,10462,2240,39.103542,nc200,26
3250,2,2610,39,86.5545,nc200,26
3250,3,2958,5,96.75991,nc200,26
3250,4,3253,1,100.97917,nc200,26
3500,1,9262,4278,20.748413,nc200,26
3500,2,2636,39,80.382706,nc200,26
3500,3,3097,8,94.521835,nc200,26
3500,4,3271,6,100.22611,nc200,26
3750,1,3000,11,58.794975,nc200,26
3750,2,3568,6,53.22595,nc200,26
3750,3,3180,6,90.54237,nc200,26
3750,4,3385,3,100.26841,nc200,26
4000,1,2758,0,70.13048,nc200,26
4000,2,3073,2,68.76454,nc200,26
4000,3,3371,0,87.0984,nc200,26
4000,4,3728,1,97.177,nc200,26
4250,1,2024,0,104.13424,nc200,26
4250,2,2170,0,103.11769,nc200,26
4250,3,2712,0,105.034065,nc200,26
4250,4,3067,0,106.81826,nc200,26
4500,1,1922,0,112.01012,nc200,26
4500,2,2103,0,111.816765,nc200,26
4500,3,2574,0,111.92266,nc200,26
4500,4,2828,0,111.52378,nc200,26
4750,1,1922,0,114.57319,nc200,26
4750,2,2145,0,115.11829,nc200,26
4750,3,2494,0,113.953575,nc200,26
4750,4,2645,0,112.28586,nc200,26
5000,1,2650,0,113.24762,nc200,26
5000,2,2180,0,113.880936,nc200,26
5000,3,2285,0,114.12839,nc200,26
5000,4,2132,0,113.390175,nc200,26
5250,1,3158,0,110.94696,nc200,26
5250,2,2186,0,113.82855,nc200,26
5250,3,2024,0,115.106094,nc200,26
5250,4,1879,0,114.382126,nc200,26
5500,1,3256,0,110.07966,nc200,26
5500,2,2179,0,115.21148,nc200,26
5500,3,1953,0,116.15609,nc200,26
5500,4,1840,0,114.976875,nc200,26
5750,1,2616,9,102.50171,nc200,26
5750,2,2277,132,100.72401,nc200,26
5750,3,2078,10,110.9969,nc200,26
5750,4,1933,1,111.80055,nc200,26
6000,1,3121,20,57.698215,nc200,26
6000,2,2641,15,86.667435,nc200,26
6000,3,2499,2,99.81543,nc200,26
6000,4,2321,1,105.69914,nc200,26
6250,1,959,0,104.662285,nc200,26
6250,2,1472,0,104.50366,nc200,26
6250,3,2188,0,102.25207,nc200,26
6250,4,2490,0,105.59833,nc200,26
6500,1,1056,0,110.516685,nc200,26
6500,2,1606,0,111.38702,nc200,26
6500,3,1958,0,105.61989,nc200,26
6500,4,2166,0,110.555984,nc200,26
6750,1,4678,22,43.31665,nc200,26
6750,2,2942,14,72.22194,nc200,26
6750,3,2728,7,91.72091,nc200,26
6750,4,2676,4,99.73536,nc200,26
7000,1,3956,1,40.954773,nc200,26
