bin,l2_1400_2012_rows,l2_1400_2012_stopped,l2_2012_2600_rows,l2_2012_2600_stopped,l74_rows,l74_stopped,l74_pos_min_stopped,off10682_rows,off10682_stopped,off10682_speed,off10643_rows,off10643_stopped,in_10490_veh,in_10639_veh,in_10681_veh,in_10699_veh,off_10643_veh,off_10682_veh,l68_L1_0_352_rows,l68_L1_0_352_stopped,l68_200_300_rows,l68_200_300_stopped,run
0,33,0,5,0,2732,2,7.900000095367432,1,0,136.5,2,0,4,0,0,19,1,1,0.0,0.0,0.0,0.0,nc200
150,805,4,409,0,4441,0,0.0,100,0,90.7199,57,0,14,6,0,53,29,55,36.0,0.0,25.0,0.0,nc200
300,1072,23,658,0,4120,0,0.0,227,12,46.027004,51,0,13,5,11,50,22,67,99.0,3.0,93.0,2.0,nc200
450,1272,106,679,0,3884,0,0.0,283,27,40.27297,52,0,12,5,9,33,22,73,120.0,1.0,113.0,2.0,nc200
600,1014,56,562,1,4559,0,0.0,310,57,32.499195,75,0,8,6,7,47,32,58,148.0,4.0,128.0,4.0,nc200
750,1337,54,702,0,4622,2,0.7099999785423279,334,64,27.828472,79,0,16,5,9,46,32,58,190.0,13.0,147.0,11.0,nc200
900,1521,130,755,0,5315,6,1.9800000190734863,375,67,24.025734,141,53,8,4,13,56,26,57,193.0,9.0,149.0,6.0,nc200
1050,2180,361,903,4,6140,0,0.0,310,56,32.572002,73,0,20,10,18,64,23,60,206.0,10.0,165.0,9.0,nc200
1200,2296,422,1118,1,6310,25,0.3199999928474426,454,133,17.673061,162,71,22,9,14,63,23,48,195.0,8.0,147.0,7.0,nc200
1350,1748,352,727,0,6644,45,0.5299999713897705,257,30,39.53829,61,9,14,12,10,54,15,61,197.0,15.0,159.0,14.0,nc200
1500,2182,464,724,1,7317,60,1203.5799560546875,474,180,16.799683,69,0,18,6,7,80,26,54,318.0,74.0,265.0,61.0,nc200
1650,2161,777,587,0,8745,415,2.509999990463257,733,425,6.107299,55,0,17,12,16,175,19,30,428.0,110.0,390.0,124.0,nc200
1800,3141,1494,675,1,11769,1561,311.7300109863281,597,277,9.565829,59,1,19,16,13,167,14,33,332.0,32.0,317.0,46.0,nc200
1950,3309,1484,677,0,15114,3325,-3.759999990463257,557,220,11.487935,23,0,13,17,6,157,8,38,252.0,38.0,253.0,47.0,nc200
