posbin,lane,rows_g1_200ctl,rows_h0_1000,rows_h11_1000ctl,rows_nc200,speed_g1_200ctl,speed_h0_1000,speed_h11_1000ctl,speed_nc200,stopped_g1_200ctl,stopped_h0_1000,stopped_h11_1000ctl,stopped_nc200
0,1,510.0,1206.0,1079.0,514.0,42.1,27.1,29.9,36.6,2.0,118.0,81.0,12.0
0,2,310.0,263.0,210.0,352.0,52.4,43.1,52.1,46.7,1.0,0.0,1.0,2.0
0,3,247.0,237.0,225.0,298.0,59.5,46.5,47.8,55.9,0.0,0.0,0.0,0.0
0,4,311.0,214.0,213.0,303.0,40.4,41.3,41.3,41.0,0.0,0.0,0.0,0.0
50,1,476.0,1377.0,1283.0,475.0,41.8,25.0,26.7,40.6,0.0,103.0,150.0,0.0
50,2,374.0,479.0,453.0,407.0,51.9,41.1,47.2,45.3,1.0,2.0,1.0,0.0
50,3,234.0,161.0,143.0,238.0,58.6,47.6,53.5,54.4,0.0,0.0,0.0,0.0
50,4,332.0,116.0,88.0,369.0,45.3,49.7,50.1,44.6,0.0,0.0,0.0,0.0
100,1,362.0,1968.0,2002.0,373.0,44.2,19.4,19.1,39.6,0.0,289.0,457.0,0.0
100,2,265.0,230.0,240.0,265.0,53.4,41.1,43.8,47.6,0.0,0.0,0.0,0.0
100,3,242.0,92.0,78.0,265.0,60.5,54.7,58.7,52.0,0.0,0.0,0.0,8.0
100,4,318.0,103.0,90.0,378.0,48.1,49.6,51.1,48.5,0.0,0.0,0.0,0.0
150,1,369.0,2570.0,2745.0,499.0,40.0,15.1,13.6,28.5,6.0,432.0,687.0,62.0
150,2,220.0,125.0,157.0,265.0,54.0,41.0,39.3,43.2,0.0,0.0,0.0,0.0
150,3,258.0,87.0,74.0,272.0,57.4,52.6,60.9,50.1,0.0,0.0,0.0,0.0
150,4,227.0,107.0,83.0,289.0,52.5,50.6,53.8,51.1,0.0,0.0,0.0,0.0
200,1,1428.0,3354.0,3586.0,1861.0,26.3,14.6,13.5,17.3,200.0,731.0,884.0,514.0
200,2,459.0,264.0,296.0,608.0,41.2,26.3,27.7,28.4,4.0,0.0,0.0,66.0
200,3,182.0,95.0,77.0,276.0,58.6,51.0,59.5,48.3,0.0,0.0,0.0,1.0
200,4,104.0,109.0,90.0,141.0,60.5,52.0,53.7,53.2,0.0,0.0,0.0,0.0
250,1,1871.0,1331.0,1438.0,2222.0,35.6,44.2,40.6,27.3,54.0,1.0,59.0,197.0
250,2,934.0,606.0,616.0,1397.0,39.3,44.7,44.1,22.8,25.0,0.0,0.0,319.0
250,3,281.0,265.0,222.0,442.0,46.0,49.9,51.6,32.5,0.0,0.0,0.0,55.0
250,4,121.0,116.0,105.0,166.0,53.8,49.6,57.3,47.8,0.0,0.0,0.0,1.0
300,1,1843.0,1046.0,1141.0,2187.0,30.1,49.2,43.3,23.5,133.0,1.0,97.0,204.0
300,2,1798.0,379.0,422.0,2670.0,19.1,63.4,59.2,12.3,774.0,2.0,11.0,1398.0
300,3,638.0,305.0,287.0,1493.0,35.3,60.7,63.7,11.3,126.0,0.0,0.0,946.0
300,4,251.0,180.0,161.0,415.0,46.6,55.8,58.8,36.3,6.0,0.0,0.0,60.0
350,1,390.0,162.0,178.0,387.0,58.7,73.7,68.5,56.5,10.0,0.0,7.0,11.0
350,2,301.0,294.0,302.0,280.0,69.2,74.5,74.1,68.2,1.0,0.0,0.0,0.0
350,3,334.0,290.0,252.0,253.0,67.1,68.8,72.6,66.8,0.0,0.0,0.0,0.0
350,4,330.0,192.0,189.0,352.0,58.7,60.1,64.9,56.1,0.0,0.0,0.0,0.0
400,1,197.0,147.0,135.0,202.0,80.2,89.4,85.8,79.4,0.0,0.0,0.0,0.0
400,2,278.0,227.0,234.0,228.0,80.0,80.9,79.1,79.4,0.0,0.0,0.0,0.0
400,3,300.0,249.0,223.0,258.0,75.8,72.7,75.5,77.1,0.0,0.0,0.0,0.0
400,4,315.0,235.0,216.0,286.0,69.5,67.9,72.3,62.1,0.0,0.0,0.0,0.0
450,1,199.0,132.0,137.0,201.0,84.4,94.6,93.4,87.4,0.0,0.0,0.0,0.0
450,2,258.0,210.0,198.0,239.0,85.9,83.4,82.4,84.3,0.0,0.0,0.0,0.0
450,3,295.0,238.0,233.0,266.0,80.9,77.2,80.9,83.3,0.0,0.0,0.0,0.0
450,4,298.0,216.0,198.0,275.0,74.2,70.7,76.5,65.8,0.0,0.0,0.0,0.0
