run,t,lc_32,ls_32,contig_L1,contig_L2,contig_L3,contig_sum,fzp_ramp_stop,fzp_sig_stop,fzp_unk_stop,fzp_sig_stop_L3,fzp_stop_all,fzp_n,rc_R_D_W,g_SC1001_p3,g_SC1001_p1,meter_R_D_W,md_ramp_obs_R_D_W_queue_veh,pred_ramp_queue_R_D_W,queue_frac_model,true_ramp_total
h11,1500,178,80,15.0,1.0,0.0,16.0,0.0,90.0,0.0,25.0,90.0,178.0,47,72.40229885057471,23.0,0.0,47.0,59.81851913735903,0.09,47.0
h11,1800,170,68,10.0,15.0,0.0,25.0,0.0,73.0,1.0,24.0,74.0,170.0,91,72.40229885057471,23.0,600.0,91.0,78.94275193146346,0.15,91.0
h11,2100,227,160,12.0,13.0,0.0,25.0,0.0,159.0,4.0,51.0,163.0,225.0,130,74.0,24.0,0.0,130.0,143.10103424403587,0.11,130.0
h11,2400,251,138,10.0,10.0,0.0,20.0,79.0,77.0,0.0,21.0,156.0,251.0,120,74.0,24.0,600.0,120.0,107.77798092977328,0.08,199.0
h11,2700,283,170,8.0,11.0,0.0,19.0,122.0,72.0,0.0,19.0,194.0,284.0,140,75.0,23.0,300.0,140.0,140.6169200530128,0.07,262.0
h11,3000,300,184,13.0,9.0,0.0,22.0,119.0,55.0,25.0,19.0,199.0,301.0,140,21.0,77.0,300.0,140.0,135.15563234113196,0.07,259.0
h11,3600,361,271,10.0,11.0,0.0,21.0,59.0,38.0,191.0,3.0,288.0,360.0,142,75.0,23.0,0.0,142.0,153.2,0.06,201.0
h11,4500,498,342,12.0,4.0,0.0,16.0,22.0,38.0,324.0,11.0,384.0,498.0,120,75.0,23.0,0.0,120.0,133.31149783667797,0.03,142.0
b0,1500,199,95,31.0,8.0,0.0,39.0,2.0,104.0,1.0,20.0,107.0,199.0,12,38.0,24.0,1800.0,12.0,0.3169160148637771,0.2,14.0
b0,1800,214,109,3.0,2.0,0.0,5.0,0.0,118.0,3.0,35.0,121.0,214.0,17,22.0,52.0,0.0,17.0,20.985722190666376,0.02,17.0
b0,2100,255,142,19.0,1.0,0.0,20.0,0.0,155.0,1.0,42.0,156.0,254.0,104,35.79591836734694,44.0,0.0,104.0,107.89955382873012,0.08,104.0
b0,2400,324,199,9.0,7.0,0.0,16.0,46.0,180.0,3.0,55.0,229.0,325.0,119,35.79591836734694,44.0,600.0,119.0,97.48667535230824,0.05,165.0
b0,2700,317,178,12.0,9.0,0.0,21.0,26.0,167.0,9.0,43.0,202.0,317.0,78,35.79591836734694,44.0,1200.0,78.0,31.256807484282017,0.07,104.0
b0,3000,260,174,6.0,4.0,0.0,10.0,2.0,186.0,4.0,53.0,192.0,260.0,6,29.795918367346943,44.0,1800.0,6.0,0.324129143760145,0.04,8.0
