run,t,conn,n,stopped,vmean
h11_canon0905_lcd1000_x18_20260907,901,10482,5,0,42.766
h11_canon0905_lcd1000_x18_20260907,1051,10482,6,0,38.018337
h11_canon0905_lcd1000_x18_20260907,1201,10482,11,0,40.376366
h11_canon0905_lcd1000_x18_20260907,1351,10482,5,0,42.5
h11_canon0905_lcd1000_x18_20260907,1501,10482,35,30,4.5645714
h11_canon0905_lcd1000_x18_20260907,1651,10482,66,62,2.336515
h11_canon0905_lcd1000_x18_20260907,1801,10482,71,51,4.2064786
h11_canon0905_lcd1000_x18_20260907,1951,10482,75,49,6.0852003
h11_canon0905_lcd1000_x18_20260907,2101,10482,107,104,0.73962617
h11_canon0905_lcd1000_x18_20260907,2251,10482,119,119,0.0
h11_canon0905_lcd1000_x18_20260907,2401,10482,99,75,2.9255557
h11_canon0905_lcd1000_x18_20260907,2551,10482,97,76,3.0483506
h11_canon0905_lcd1000_x18_20260907,2701,10482,115,115,0.0
h11_canon0905_lcd1000_x18_20260907,2851,10482,97,73,2.8552577
h11_canon0905_lcd1000_x18_20260907,3001,10482,118,118,0.0
h11_canon0905_lcd1000_x18_20260907,3151,10482,98,72,2.8258162
h11_canon0905_lcd1000_x18_20260907,3301,10482,100,72,3.1234999
h11_canon0905_lcd1000_x18_20260907,3451,10482,121,121,0.0
h11_canon0905_lcd1000_x18_20260907,3601,10482,121,121,0.0
h11_canon0905_lcd1000_x18_20260907,3751,10482,121,121,0.0
h11_canon0905_lcd1000_x18_20260907,3901,10482,121,121,0.0
h11_canon0905_lcd1000_x18_20260907,4051,10482,121,121,0.0
h11_canon0905_lcd1000_x18_20260907,4201,10482,121,121,0.0
h11_canon0905_lcd1000_x18_20260907,4351,10482,100,75,3.3411999
h11_canon0905_lcd1000_x18_20260907,4501,10482,100,78,2.9532
h11_canon0905_lcd1000_x18_20260907,4651,10482,118,118,0.0
h11_canon0905_lcd1000_x18_20260907,4801,10482,118,118,0.0
h11_canon0905_lcd1000_x18_20260907,4951,10482,118,118,0.0
h11_canon0905_lcd1000_x18_20260907,5101,10482,118,118,0.0
h11_canon0905_lcd1000_x18_20260907,5251,10482,118,118,0.0
h11_canon0905_lcd1000_x18_20260907,901,10490,1,0,40.74
h11_canon0905_lcd1000_x18_20260907,1201,10490,9,0,39.416668
h11_canon0905_lcd1000_x18_20260907,1501,10490,3,2,10.323333
h11_canon0905_lcd1000_x18_20260907,1651,10490,6,0,36.454998
h11_canon0905_lcd1000_x18_20260907,1801,10490,1,0,40.18
h11_canon0905_lcd1000_x18_20260907,1951,10490,5,0,42.562
h11_canon0905_lcd1000_x18_20260907,2101,10490,4,3,10.39
h11_canon0905_lcd1000_x18_20260907,2401,10490,3,0,34.683334
h11_canon0905_lcd1000_x18_20260907,2551,10490,7,0,34.964287
h11_canon0905_lcd1000_x18_20260907,2851,10490,5,0,42.218
h11_canon0905_lcd1000_x18_20260907,3151,10490,4,0,39.614998
h11_canon0905_lcd1000_x18_20260907,3301,10490,4,0,42.04
h11_canon0905_lcd1000_x18_20260907,3451,10490,3,0,29.996666
h11_canon0905_lcd1000_x18_20260907,4351,10490,4,1,13.4800005
h11_canon0905_lcd1000_x18_20260907,4501,10490,16,13,6.0806255
h11_canon0905_lcd1000_x18_20260907,4651,10490,18,18,0.69722223
h11_canon0905_lcd1000_x18_20260907,4801,10490,18,18,0.0
h11_canon0905_lcd1000_x18_20260907,4951,10490,21,21,0.0
h11_canon0905_lcd1000_x18_20260907,5101,10490,23,23,0.0
h11_canon0905_lcd1000_x18_20260907,5251,10490,25,25,0.0
h11_canon0905_lcd1000_x18_20260907,1051,10480,1,0,43.93
h11_canon0905_lcd1000_x18_20260907,1201,10480,2,0,34.975
h11_canon0905_lcd1000_x18_20260907,1351,10480,1,0,32.27
h11_canon0905_lcd1000_x18_20260907,1501,10480,13,13,0.0
h11_canon0905_lcd1000_x18_20260907,1651,10480,23,23,0.0
h11_canon0905_lcd1000_x18_20260907,1801,10480,20,16,2.602
h11_canon0905_lcd1000_x18_20260907,1951,10480,19,14,3.5910523
h11_canon0905_lcd1000_x18_20260907,2101,10480,24,24,0.0
h11_canon0905_lcd1000_x18_20260907,2251,10480,24,24,0.0
h11_canon0905_lcd1000_x18_20260907,2401,10480,21,17,2.6614285
h11_canon0905_lcd1000_x18_20260907,2551,10480,21,16,2.770476
h11_canon0905_lcd1000_x18_20260907,2701,10480,25,25,0.0
h11_canon0905_lcd1000_x18_20260907,2851,10480,19,16,1.7973685
h11_canon0905_lcd1000_x18_20260907,3001,10480,22,22,0.0
h11_canon0905_lcd1000_x18_20260907,3151,10480,17,13,2.755294
