run,t,link,lane,cls,n,stopped,min_pos,max_pos,q_up_end_pos,q_down_end_pos,vmean
h11_canon0905_lcd1000_x18_20260907,901,32,1,ramp_R_D_E,4,0,303.64,999.32,,,43.11
h11_canon0905_lcd1000_x18_20260907,901,32,1,ramp_R_D_W,7,0,167.62,1023.79,,,41.638573
h11_canon0905_lcd1000_x18_20260907,901,32,1,signal_or_other,50,28,1377.77,1953.97,1545.5,1953.969970703125,10.919399
h11_canon0905_lcd1000_x18_20260907,901,32,2,ramp_R_D_W,8,0,129.47,914.81,,,42.75375
h11_canon0905_lcd1000_x18_20260907,901,32,2,signal_or_other,38,20,721.95,1954.13,1543.72998046875,1954.1300048828125,9.999738
h11_canon0905_lcd1000_x18_20260907,901,32,2,unknown_or_exit,1,0,1482.83,1482.83,,,59.74
h11_canon0905_lcd1000_x18_20260907,901,32,3,signal_or_other,53,41,1016.32,1954.14,1549.3599853515625,1954.1400146484375,5.5290565
h11_canon0905_lcd1000_x18_20260907,1051,32,1,ramp_R_D_E,9,0,426.94,1164.79,,,40.033333
h11_canon0905_lcd1000_x18_20260907,1051,32,1,ramp_R_D_W,11,0,124.08,1005.57,,,42.061817
h11_canon0905_lcd1000_x18_20260907,1051,32,1,signal_or_other,41,25,314.2,1954.25,1495.3800048828125,1954.25,12.155122
h11_canon0905_lcd1000_x18_20260907,1051,32,2,ramp_R_D_E,2,0,154.6,423.78,,,38.55
h11_canon0905_lcd1000_x18_20260907,1051,32,2,ramp_R_D_W,13,0,212.35,1018.16,,,40.830772
h11_canon0905_lcd1000_x18_20260907,1051,32,2,signal_or_other,43,15,122.11,1953.94,1512.31005859375,1953.93994140625,12.6281395
h11_canon0905_lcd1000_x18_20260907,1051,32,2,unknown_or_exit,1,1,1505.65,1505.65,1505.6500244140625,1505.6500244140625,0.0
h11_canon0905_lcd1000_x18_20260907,1051,32,3,ramp_R_D_E,2,0,126.23,171.14,,,36.8
h11_canon0905_lcd1000_x18_20260907,1051,32,3,ramp_R_D_W,2,0,24.9,310.1,,,35.940002
h11_canon0905_lcd1000_x18_20260907,1051,32,3,signal_or_other,48,31,238.67,1953.73,1507.3699951171875,1953.72998046875,8.666875
h11_canon0905_lcd1000_x18_20260907,1051,32,3,unknown_or_exit,1,0,1747.59,1747.59,,,22.14
h11_canon0905_lcd1000_x18_20260907,1201,32,1,ramp_R_D_E,11,0,300.36,1080.63,,,35.555454
h11_canon0905_lcd1000_x18_20260907,1201,32,1,ramp_R_D_W,10,0,14.35,936.01,,,37.578995
h11_canon0905_lcd1000_x18_20260907,1201,32,1,signal_or_other,38,19,777.57,1954.24,1524.489990234375,1954.239990234375,12.681842
h11_canon0905_lcd1000_x18_20260907,1201,32,2,ramp_R_D_E,1,0,752.94,752.94,,,42.77
h11_canon0905_lcd1000_x18_20260907,1201,32,2,ramp_R_D_W,18,0,61.62,974.01,,,41.33111
h11_canon0905_lcd1000_x18_20260907,1201,32,2,signal_or_other,45,28,1294.71,1953.99,1528.3900146484375,1953.989990234375,7.4882216
h11_canon0905_lcd1000_x18_20260907,1201,32,2,unknown_or_exit,1,0,1835.99,1835.99,,,16.77
h11_canon0905_lcd1000_x18_20260907,1201,32,3,ramp_R_D_E,2,0,69.63,295.19,,,45.645
h11_canon0905_lcd1000_x18_20260907,1201,32,3,signal_or_other,47,23,135.59,1942.33,1524.5699462890625,1754.219970703125,14.256381
h11_canon0905_lcd1000_x18_20260907,1201,32,3,unknown_or_exit,1,0,1663.46,1663.46,,,21.93
h11_canon0905_lcd1000_x18_20260907,1351,32,1,ramp_R_D_E,9,0,242.38,1213.48,,,41.975555
h11_canon0905_lcd1000_x18_20260907,1351,32,1,ramp_R_D_W,8,0,104.43,985.79,,,42.29625
h11_canon0905_lcd1000_x18_20260907,1351,32,1,signal_or_other,43,15,783.95,1954.05,1514.9100341796875,1954.050048828125,17.435116
h11_canon0905_lcd1000_x18_20260907,1351,32,2,ramp_R_D_E,1,0,30.1,30.1,,,45.05
h11_canon0905_lcd1000_x18_20260907,1351,32,2,ramp_R_D_W,9,0,258.11,1027.34,,,42.733334
h11_canon0905_lcd1000_x18_20260907,1351,32,2,signal_or_other,45,20,114.81,1954.42,1525.5799560546875,1954.4200439453125,11.061334
h11_canon0905_lcd1000_x18_20260907,1351,32,3,ramp_R_D_E,2,0,65.57,148.55,,,34.315
h11_canon0905_lcd1000_x18_20260907,1351,32,3,signal_or_other,41,22,262.96,1952.27,1534.0400390625,1921.1199951171875,11.507318
h11_canon0905_lcd1000_x18_20260907,1351,32,3,unknown_or_exit,2,0,1652.65,1930.54,,,10.2
h11_canon0905_lcd1000_x18_20260907,1501,32,1,ramp_R_D_E,9,0,240.45,969.28,,,40.784443
h11_canon0905_lcd1000_x18_20260907,1501,32,1,ramp_R_D_W,9,0,159.26,1011.48,,,39.471115
h11_canon0905_lcd1000_x18_20260907,1501,32,1,signal_or_other,52,34,499.97,1954.17,1485.030029296875,1954.1700439453125,11.322308
h11_canon0905_lcd1000_x18_20260907,1501,32,2,ramp_R_D_E,1,0,149.54,149.54,,,33.19
h11_canon0905_lcd1000_x18_20260907,1501,32,2,ramp_R_D_W,12,0,84.01,1018.69,,,37.600834
h11_canon0905_lcd1000_x18_20260907,1501,32,2,signal_or_other,49,31,1327.9,1953.95,1504.8399658203125,1953.949951171875,8.376326
h11_canon0905_lcd1000_x18_20260907,1501,32,3,ramp_R_D_E,1,0,188.96,188.96,,,41.63
h11_canon0905_lcd1000_x18_20260907,1501,32,3,ramp_R_D_W,1,0,11.0,11.0,,,43.32
h11_canon0905_lcd1000_x18_20260907,1501,32,3,signal_or_other,44,25,439.7,1947.76,1515.6500244140625,1947.760009765625,13.519773
h11_canon0905_lcd1000_x18_20260907,1651,32,1,ramp_R_D_E,9,0,544.04,1293.52,,,37.13222
h11_canon0905_lcd1000_x18_20260907,1651,32,1,ramp_R_D_W,8,0,82.86,996.11,,,42.158752
h11_canon0905_lcd1000_x18_20260907,1651,32,1,signal_or_other,43,27,565.53,1953.94,1276.6400146484375,1953.93994140625,12.300233
h11_canon0905_lcd1000_x18_20260907,1651,32,2,ramp_R_D_E,1,0,31.59,31.59,,,42.82
h11_canon0905_lcd1000_x18_20260907,1651,32,2,ramp_R_D_W,11,0,107.34,943.63,,,40.340908
h11_canon0905_lcd1000_x18_20260907,1651,32,2,signal_or_other,50,28,85.19,1953.71,1484.68994140625,1953.7099609375,12.547
