tie,link,hop,kind,old_owner,nearest_node,nearest_dist_m,candidates
downstream,31,2,램프,-,SC1001,60,고속 24 | 고속 26 | 신호 79→SC2001
downstream,68,2,램프,-,SC1004,35,고속 2 | 고속 26
downstream,69,2,램프,-,SC9103,2009,고속 26 | 신호 71→SC1004
downstream,70,2,램프,-,SC9105,151,고속 2 | 신호 71→SC1004
downstream,78,4,램프,-,SC2001,19,고속 24 | 고속 26 | 신호 79→SC2001
downstream,141,4,도시,SC12,SC10,39,신호 1210018302→SC6 | 신호 1220015000→SC12
downstream,224,4,도시,SC11,SC3,80,신호 1220012102→SC3 | 신호 1220012001→SC11
downstream,225,2,도시,SC11,SC3,62,신호 1220012102→SC3 | 신호 1220012001→SC11
downstream,236,2,도시,SC2,SC11,104,신호 1210008203→SC2 | 신호 1210008303→SC11
downstream,360,2,도시,SC9001,SC9001,89,신호 358→SC9001 | 신호 353→SC9002
downstream,385,4,도시,SC1004,SC107,31,신호 52→SC1004 | 신호 62→SC1005
downstream,10119,3,램프,-,SC1001,70,고속 24 | 고속 26 | 신호 79→SC2001
downstream,10121,3,램프,-,SC1001,72,고속 24 | 고속 26 | 신호 79→SC2001
downstream,10479,3,램프,-,SC9108,76,고속 24 | 고속 26 | 신호 79→SC2001
downstream,10483,3,램프,-,SC9101,51,고속 24 | 고속 26 | 신호 79→SC2001
downstream,10610,5,도시,SC1004,SC107,39,신호 52→SC1004 | 신호 62→SC1005
downstream,10611,3,도시,SC1004,SC107,29,신호 52→SC1004 | 신호 62→SC1005
downstream,10618,3,도시,SC1004,SC107,27,신호 52→SC1004 | 신호 62→SC1005
downstream,10619,3,도시,SC1004,SC107,22,신호 52→SC1004 | 신호 62→SC1005
downstream,10625,3,램프,-,SC1004,45,고속 2 | 고속 26
downstream,10629,3,램프,-,SC1004,36,고속 2 | 고속 26
downstream,10633,3,램프,-,SC1004,30,고속 2 | 고속 26
downstream,10637,3,램프,-,SC9103,279,고속 2 | 신호 71→SC1004
downstream,10638,3,램프,-,SC9105,50,고속 2 | 신호 71→SC1004
downstream,10643,3,램프,-,SC9105,219,고속 2 | 신호 71→SC1004
downstream,10645,3,램프,-,SC9106,41,고속 2 | 고속 26
downstream,10682,3,램프,-,SC9103,46,고속 2 | 고속 26
downstream,10698,3,램프,-,SC1001,37,고속 24 | 고속 26 | 신호 79→SC2001
downstream,10703,3,램프,-,SC9107,322,고속 24 | 고속 26 | 신호 79→SC2001
downstream,10721,5,램프,-,SC2001,19,고속 24 | 고속 26 | 신호 79→SC2001
downstream,10723,5,램프,-,SC2001,27,고속 24 | 고속 26 | 신호 79→SC2001
downstream,10726,5,램프,-,SC2001,20,고속 24 | 고속 26 | 신호 79→SC2001
downstream,1220000102,2,도시,SC1004,SC107,22,신호 52→SC1004 | 신호 62→SC1005
upstream,52,4,도시,SC1004,SC1005,453,"SC1005, SC107"
upstream,387,4,도시,SC107,SC107,347,"SC1004, SC1005"
upstream,10613,5,도시,SC107,SC107,121,"SC1004, SC1005"
upstream,10614,5,도시,SC107,SC107,122,"SC1004, SC1005"
upstream,10615,5,도시,SC107,SC107,122,"SC1004, SC1005"
upstream,1220000201,6,도시,SC107,SC107,108,"SC1004, SC1005"
