simsec,sc,states
1,1,RGRRRGRR
1,5,RRRGRRRGRRRRRRRRRRRGRRRG
1,6,RGRRRGRR
1,11,GRRRGRRR
1,12,RRGRRRGR
1,101,RGRRRGRR
1,105,RRRGRRRG
1,107,RGRRRGRR
1,108,RGRRRGRR
1,109,RGRRRGRR
1,1001,RRRGRRRG
1,1002,RRRGRRRG
1,1003,RRRGRRRG
1,1004,RRRGRRRG
1,1005,RRRGRRRG
2,1,RGRRRGRR
2,5,RRRGRRRGRRRRRRRRRRRGRRRG
2,6,RGRRRGRR
2,11,GRRRGRRR
2,12,RRARRRAR
2,101,RGRRRGRR
2,105,RRRGRRRG
2,107,RGRRRGRR
2,108,RGRRRGRR
2,109,RGRRRGRR
2,1001,RRRGRRRG
2,1002,RRRGRRRG
2,1003,RRRGRRRG
2,1004,RRRGRRRG
2,1005,RRRGRRRG
3,1,RGRRRGRR
3,5,RRRGRRRGRRRRRRRRRRRGRRRG
3,6,RGRRRGRR
3,11,GRRRGRRR
3,12,RRARRRAR
3,101,RGRRRGRR
3,105,RRRGRRRG
3,107,RGRRRGRR
3,108,RGRRRGRR
3,109,RGRRRGRR
3,1001,RRRGRRRG
3,1002,RRRGRRRG
3,1003,RRRGRRRG
3,1004,RRRGRRRG
3,1005,RRRGRRRG
4,1,RGRRRGRR
4,5,RRRGRRRGRRRRRRRRRRRGRRRG
4,6,RGRRRGRR
4,11,GRRRGRRR
4,12,RRARRRAR
4,101,RGRRRGRR
4,105,RRRGRRRG
4,107,RGRRRGRR
4,108,RGRRRGRR
4,109,RGRRRGRR
4,1001,RRRGRRRG
4,1002,RRRGRRRG
4,1003,RRRGRRRG
4,1004,RRRGRRRG
4,1005,RRRGRRRG
5,1,RGRRRGRR
5,5,RRRGRRRGRRRRRRRRRRRGRRRG
5,6,RGRRRGRR
5,11,GRRRGRRR
5,12,RGRRRGRR
5,101,RGRRRGRR
5,105,RRRGRRRG
5,107,RGRRRGRR
5,108,RGRRRGRR
5,109,RGRRRGRR
5,1001,RRRGRRRG
5,1002,RRRGRRRG
5,1003,RRRGRRRG
5,1004,RRRGRRRG
5,1005,RRRGRRRG
6,1,RGRRRGRR
6,5,RRRGRRRGRRRRRRRRRRRGRRRG
6,6,RGRRRGRR
6,11,GRRRGRRR
6,12,RGRRRGRR
6,101,RGRRRGRR
6,105,RRRGRRRG
6,107,RGRRRGRR
6,108,RGRRRGRR
6,109,RGRRRGRR
6,1001,RRRGRRRG
6,1002,RRRGRRRG
6,1003,RRRGRRRG
6,1004,RRRGRRRG
6,1005,RRRGRRRG
7,1,RGRRRGRR
7,5,RRRARRRARRRRRRRRRRRGRRRG
7,6,RGRRRGRR
7,11,GRRRGRRR
7,12,RGRRRGRR
7,101,RGRRRGRR
7,105,RRRGRRRG
7,107,RGRRRGRR
7,108,RGRRRGRR
7,109,RGRRRGRR
7,1001,RRRGRRRG
7,1002,RRRGRRRG
7,1003,RRRGRRRG
7,1004,RRRGRRRG
7,1005,RRRGRRRG
8,1,RGRRRGRR
8,5,RRRARRRARRRRRRRRRRRGRRRG
8,6,RGRRRGRR
8,11,GRRRGRRR
8,12,RGRRRGRR
8,101,RGRRRGRR
8,105,RRRARRRA
8,107,RGRRRGRR
8,108,RGRRRGRR
8,109,RGRRRGRR
8,1001,RRRGRRRG
8,1002,RRRGRRRG
8,1003,RRRGRRRG
8,1004,RRRGRRRG
8,1005,RRRGRRRG
9,1,RGRRRGRR
9,5,RRRARRRARRRRRRRRRRRGRRRG
9,6,RGRRRGRR
9,11,GRRRGRRR
9,12,RGRRRGRR
9,101,RGRRRGRR
9,105,RRRARRRA
9,107,RGRRRGRR
9,108,RGRRRGRR
9,109,RGRRRGRR
9,1001,RRRGRRRG
9,1002,RRRGRRRG
9,1003,RRRGRRRG
9,1004,RRRGRRRG
9,1005,RRRGRRRG
10,1,RGRRRGRR
10,5,RRGRRRGRRGRRRGRRRRRGRRRG
10,6,RGRRRGRR
10,11,GRRRGRRR
10,12,RGRRRGRR
10,101,RGRRRGRR
10,105,RRRARRRA
10,107,RGRRRGRR
10,108,RGRRRGRR
10,109,RGRRRGRR
10,1001,RRRGRRRG
10,1002,RRRGRRRG
10,1003,RRRGRRRG
10,1004,RRRGRRRG
10,1005,RRRGRRRG
11,1,RGRRRGRR
11,5,RRGRRRGRRGRRRGRRRRRGRRRG
11,6,RGRRRGRR
11,11,GRRRGRRR
11,12,RGRRRGRR
11,101,RGRRRGRR
11,105,RRGRRRGR
11,107,RGRRRGRR
11,108,RGRRRGRR
11,109,RGRRRGRR
11,1001,RRRGRRRG
11,1002,RRRGRRRG
11,1003,RRRGRRRG
11,1004,RRRGRRRG
11,1005,RRRGRRRG
12,1,RGRRRGRR
12,5,RRGRRRGRRGRRRGRRRRRGRRRG
12,6,RGRRRGRR
12,11,GRRRGRRR
12,12,RGRRRGRR
12,101,RGRRRGRR
12,105,RRGRRRGR
12,107,RGRRRGRR
12,108,RGRRRGRR
