sim_sec,urban_state_vehicles,urban_state_aligned_accumulation_veh,urban_state_aligned_production_veh_km_h,urban_state_aligned_mean_speed_kph,urban_core_accumulation_veh,urban_core_production_veh_km_h,urban_core_mean_speed_kph,total_vehicles,stopped_vehicles
900.0,1831.0,1831.0,51949.169991999974,28.372020749317297,1647.0,40710.17031199997,24.717771895567683,2741.0,694.0
960.0,1883.0,1883.0,55878.601185999985,29.675305993627184,1704.0,45530.952717999986,26.72004267488262,2837.0,613.0
1020.0,1958.0,1958.0,54899.261048000015,28.03843771603678,1785.0,44582.39463000002,24.97613144537816,2901.0,734.0
1080.0,2001.0,2001.0,54467.35716200004,27.220068546726655,1821.0,43806.31860200002,24.05618813948381,2966.0,770.0
1140.0,2041.0,2041.0,62849.81302400002,30.79363695443411,1850.0,50942.73569500002,27.536613889189198,3011.0,630.0
1200.0,2065.0,2065.0,55411.59334199999,26.833701376271183,1869.0,43243.86473399999,23.137434314606736,3081.0,834.0
1260.0,2069.0,2069.0,60558.735172999994,29.269567507491537,1888.0,49632.46871999999,26.2883838559322,3097.0,770.0
1320.0,2108.0,2108.0,53631.57989500004,25.441925946394704,1951.0,44527.60519500004,22.8229652460277,3122.0,834.0
1380.0,2169.0,2169.0,55946.39095599999,25.79363345136007,1962.0,44072.386989999985,22.46299031090723,3231.0,867.0
1440.0,2198.0,2198.0,62544.93634499994,28.455385052320263,2007.0,51065.907014999946,25.443899857996982,3287.0,804.0
1500.0,2228.0,2228.0,57445.26939699999,25.783334558797122,2033.0,45640.146066999994,22.44965374667978,3362.0,895.0
1560.0,2277.0,2277.0,58100.73849200001,25.516354190601675,2050.0,44646.87162000001,21.778961765853666,3426.0,984.0
1620.0,2284.0,2284.0,61132.15164699995,26.765390388353744,2083.0,47576.27185899995,22.84026493470953,3423.0,921.0
1680.0,2252.0,2252.0,56644.527849000006,25.15298749955595,2096.0,45686.235465000005,21.7968680653626,3437.0,964.0
1740.0,2221.0,2221.0,61810.00911400002,27.8298104970734,2058.0,50241.745731000025,24.412898800291558,3437.0,867.0
1800.0,2266.0,2266.0,55339.12204399999,24.42150134333627,2096.0,44520.10257399999,21.24050695324427,3483.0,1006.0
1860.0,2286.0,2286.0,58007.83151499997,25.37525438101486,2104.0,46743.90429499997,22.2166845508555,3501.0,958.0
1920.0,2437.0,2437.0,65828.467157,27.012091570373414,2197.0,52288.06507700003,23.79975652116524,3585.0,982.0
1980.0,2461.0,2461.0,58009.58087,23.571548504672897,2261.0,45492.926269999996,20.120710424590886,3629.0,1119.0
2040.0,2484.0,2484.0,61107.29132299997,24.600358825684367,2280.0,48310.80135499996,21.18894796271928,3721.0,1110.0
2100.0,2547.0,2547.0,62771.37941400002,24.645221599528863,2321.0,49149.96798200002,21.17620335286515,3731.0,1202.0
2160.0,2564.0,2564.0,63160.748252000005,24.633677165366617,2334.0,49074.82720200001,21.026061354755786,3670.0,1150.0
2220.0,2647.0,2647.0,67139.24438199995,25.364278194937643,2444.0,54081.938876,22.128452895253684,3762.0,1117.0
2280.0,2611.0,2611.0,58150.281585000026,22.271268320566843,2420.0,45438.11939200002,18.77608239338844,3723.0,1251.0
2340.0,2603.0,2603.0,63168.08947699999,24.267418162504796,2422.0,51204.683611999986,21.141487866226253,3759.0,1147.0
2400.0,2725.0,2725.0,67140.89259999998,24.638859669724763,2534.0,55277.580438000005,21.814356921073404,3847.0,1237.0
2460.0,2667.0,2667.0,56213.01994600001,21.07724782377203,2500.0,45179.039366000005,18.071615746400003,3829.0,1394.0
2520.0,2732.0,2732.0,61238.20044000001,22.415153894582726,2547.0,50197.730480000006,19.708571056144486,3935.0,1365.0
2580.0,2724.0,2724.0,63220.94366300002,23.20886331240823,2525.0,49726.40481600002,19.69362566970298,3895.0,1337.0
